video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
bWjNcMDHRc0,https://www.youtube.com/watch?v=bWjNcMDHRc0,"[#태풍상사] 척하면 척, 벌써부터 완벽 케미 자랑하는 태풍상사 능력 모음.zip✨ | #번개클립",tvN D ENT,2025-10-14T22:30:10Z,PT9M28S,Clip,1291,120,17
eAm0NKdytM0,https://www.youtube.com/watch?v=eAm0NKdytM0,반박 불가 이과 미선🧐 #태풍상사,tvN DRAMA,2025-10-15T02:01:13Z,PT25S,Shorts,357,14,0
_wTsdKF-Q7Q,https://www.youtube.com/watch?v=_wTsdKF-Q7Q,김민하가 입만 열어도 웃음 터지는 이준호🤣 #태풍상사,tvN DRAMA,2025-10-15T02:02:00Z,PT41S,Shorts,5460,48,4
XMxjazE-_xo,https://www.youtube.com/watch?v=XMxjazE-_xo,"[ 3-4화 예고 ] 💥태풍상사 폐업 위기! 젊은 사장 강태풍, IMF 속 최악의 덫에 빠지다 [태풍상사]",드라마 집사,2025-10-14T23:45:03Z,PT6M24S,Clip,2,0,0
yWYFcgZOK8w,https://www.youtube.com/watch?v=yWYFcgZOK8w,"[#태풍상사] ""사랑하는 아들에게.."" 아버지가 떠나고 나서야 뒤늦게 깨달은 진심💧 | #번개클립",tvN D ENT,2025-10-14T22:30:18Z,PT9M23S,Clip,842,68,12
ZhNhKI1HDYM,https://www.youtube.com/watch?v=ZhNhKI1HDYM,[스페셜 선공개] 표박호가 꾸민 끔찍한 음모 #태풍상사,리뷰하는 직장인,2025-10-15T01:38:41Z,PT1M17S,Clip,2,0,0
EmiIAuSHSqw,https://www.youtube.com/watch?v=EmiIAuSHSqw,[스페셜 선공개] 태풍이 꼭 태국으로 가야만 하는 이유 #태풍상사,리뷰하는 직장인,2025-10-15T02:20:52Z,PT1M12S,Clip,0,0,0
5z8zE2IoXVQ,https://www.youtube.com/watch?v=5z8zE2IoXVQ,믹스커피 후~후~~불어 마시는 태풍이🌀태풍상사 3화 선공개  #이준호 #LEEJUNHO #태풍상사 #typhoonfamily,Giant_Tree ,2025-10-15T00:42:26Z,PT36S,Shorts,2594,154,8
tNLB5k3Qs6g,https://www.youtube.com/watch?v=tNLB5k3Qs6g,[태풍상사 3화 예고] 태풍의 미친 직감! 태풍이 찾은 대박 아이템은? #태풍상사 #이준호 #김민하,짱드라마,2025-10-14T22:01:15Z,PT11M53S,Clip,27,6,1
p-72v-oEQmY,https://www.youtube.com/watch?v=p-72v-oEQmY,3초 만에 주인공이 바뀌는 #태풍상사 😎,tvN DRAMA,2025-10-15T01:10:00Z,PT6S,Shorts,8666,237,33
FkIPsIHkHMw,https://www.youtube.com/watch?v=FkIPsIHkHMw,콘서트 100회 이상 한 아이돌 짬바 인간 턴테이블💛 #이준호 #LEEJUNHO #준호브이로그 #태풍상사 #typhoonfamily,Giant_Tree ,2025-10-14T23:09:29Z,PT34S,Shorts,2041,290,11
smwu1RWqI2M,https://www.youtube.com/watch?v=smwu1RWqI2M,태풍상사3회.4회예고#drama #kdrama #tvN #드라마 #한국드라마 #드라마예고 #예상줄거리#태풍상사 @픽무비박,픽무비박,2025-10-14T15:45:40Z,PT5M54S,Clip,9,0,0
V2p-Ed17Wd8,https://www.youtube.com/watch?v=V2p-Ed17Wd8,"(태풍상사) 1-2화 리뷰 아버지의 죽음, IMF의 시작",드라마유미,2025-10-15T00:00:41Z,PT4M31S,Clip,3,0,0
MuUbQNFs5vo,https://www.youtube.com/watch?v=MuUbQNFs5vo,태풍상사3회.4회예고#drama #kdrama #tvN #드라마 #한국드라마 #드라마예고 #예상줄거리#태풍상사 @픽무비박,픽무비박,2025-10-14T15:50:05Z,PT23S,Shorts,909,0,0
_Xl6jE-_x5o,https://www.youtube.com/watch?v=_Xl6jE-_x5o,"""돌머리""여도 현준과 비교 당하기는 싫은 태풍ㅋㅋ #태풍상사",tvN DRAMA,2025-10-15T02:00:46Z,PT18S,Shorts,3968,32,4
nI4IsUukrvQ,https://www.youtube.com/watch?v=nI4IsUukrvQ,regret always comes at the end💔[typhoon family]#leejunho #kdrama #sad,KdramaMoment,2025-10-14T16:01:36Z,PT1M,Shorts,7221,0,6
u8Qe0iFQ8ro,https://www.youtube.com/watch?v=u8Qe0iFQ8ro,압스트리트보이즈🌀  연습실주너  넘 잊뽀😍태풍상사1회 #leejunho #태풍상사#강태풍 ##ジュノ#李俊昊  #태풍상사#TyphoonFamile#tvN태풍상사,사랑둥잊💛,2025-10-15T01:46:49Z,PT59S,Shorts,689,26,0
9a7AWr-hF_Y,https://www.youtube.com/watch?v=9a7AWr-hF_Y,이준호의 땐스 땐스 #태풍상사 #압스트리트보이즈,잇츠업,2025-10-14T23:41:05Z,PT42S,Shorts,1035,2,0
ZDJ7vzadgbo,https://www.youtube.com/watch?v=ZDJ7vzadgbo,"안당하면 모르는 빚이 무서운 이유..ㄷㄷ, 어디에 있나요 #태풍상사 #이준호 #김민하 #드라마 #k드라마",Neonix Studios,2025-10-14T23:22:27Z,PT32S,Shorts,767,5,1
ZObwevaPL64,https://www.youtube.com/watch?v=ZObwevaPL64,"안당하면 모르는 빚이 무서운 이유..ㄷㄷ, 걸 파워 #태풍상사 #이준호 #김민하 #드라마 #k드라마",Neonix Studios,2025-10-14T23:18:25Z,PT50S,Shorts,734,9,1
bYX49O5ElTs,https://www.youtube.com/watch?v=bYX49O5ElTs,"안당하면 모르는 빚이 무서운 이유..ㄷㄷ, 시간 없다 #태풍상사 #이준호 #김민하 #드라마 #k드라마",Neonix Studios,2025-10-14T23:04:54Z,PT44S,Shorts,1112,2,2
apcZPe5zyBc,https://www.youtube.com/watch?v=apcZPe5zyBc,"태풍상사 3회 예고 충격 ""아버지의 진짜 유산"" 위임장에 숨겨진 비밀 | 폐업 위기 직전 태풍의 선택은? [완벽 분석] #태풍상사 #태풍상사3회 #태풍상사예고 #이준호 #김민하",드라마예고합니다,2025-10-14T22:00:04Z,PT5M47S,Clip,2,2,0
qzmwFG8K7gk,https://www.youtube.com/watch?v=qzmwFG8K7gk,[태풍상사 3화 예측] 차 앞에 눕는 강태풍! 충격적인 반전은? | 넷플릭스/TVING 드라마 AI 예측 스토리,씬스틸러,2025-10-14T21:04:16Z,PT15M11S,Clip,2,1,0
D1j8pVs7mTE,https://www.youtube.com/watch?v=D1j8pVs7mTE,name: typhoon family🫶🏻 #shorts #kdrama,dramaworld,2025-10-14T16:30:11Z,PT41S,Shorts,2655,121,0
o9wQkfvbqSM,https://www.youtube.com/watch?v=o9wQkfvbqSM,"안당하면 모르는 빚이 무서운 이유..ㄷㄷ, 가자 #태풍상사 #이준호 #김민하 #드라마 #k드라마",Neonix Studios,2025-10-14T23:09:55Z,PT40S,Shorts,876,5,0
9gHouGi6NA4,https://www.youtube.com/watch?v=9gHouGi6NA4,[씬스틸러] 태풍상사 숏츠 | 과연 태풍이 불까? 1. 2화 요약,씬스틸러,2025-10-14T21:52:22Z,PT45S,Shorts,2308,1,0
ljRtfJZyt1U,https://www.youtube.com/watch?v=ljRtfJZyt1U,El nuevo K-Drama de Netflix #typhoonfamily #korea #corea #series #drama #netflix #serie #kdrama,Fabio Andres,2025-10-14T19:49:23Z,PT59S,Shorts,1109,75,2
aMXnaCBT_Ro,https://www.youtube.com/watch?v=aMXnaCBT_Ro,Lee Junho in Typhoon family!! #newkdrama #youtubeshorts #kdrama #shorts #leejunho,Lheny buzz,2025-10-14T23:40:59Z,PT15S,Shorts,968,32,0
xcdx0CUDaKw,https://www.youtube.com/watch?v=xcdx0CUDaKw,The Way He Looks At Her🫴😍 Typhoon Family 🎞️ #kdrama #typhoonfamily #leejunho #kimminha,K editz-drama,2025-10-14T15:16:00Z,PT19S,Shorts,2728,254,5
jTj2NBXfsJ0,https://www.youtube.com/watch?v=jTj2NBXfsJ0,"그시절 사랑의 스튜디오, 서울사투리 깔롱져 #이준호#김민하#태풍상사",드라마 맛있게 쪄요.,2025-10-14T23:13:11Z,PT1M1S,Clip,65,1,0
XF4B52nQLGI,https://www.youtube.com/watch?v=XF4B52nQLGI,"오열 성동일, 아들 이준호에게 통장으로 남긴 마지막 메시지 #태풍상사 EP 2   tvN 251012 방송 #드라마 #drama",나인이커머스,2025-10-14T16:34:10Z,PT57S,Shorts,0,0,0
Bo1lUIchAgw,https://www.youtube.com/watch?v=Bo1lUIchAgw,[해외반응]“단 2회 만에 넷플릭스 1위 한국이 또 하나의 명작 K드라마가 나왔다!”“한국은 쉼없이 명작을 쏟아내고 있다!”,한류클라쓰TV,2025-10-14T22:00:24Z,PT27M24S,Clip,354,39,8
gN9m8aZDho0,https://www.youtube.com/watch?v=gN9m8aZDho0,She fell… and he had no idea ✨ #newkdrama #typhoonfamily #leejunho #ytshorts,Kdrama Delight ,2025-10-14T16:09:52Z,PT35S,Shorts,7286,719,6
GCUSImSaTDA,https://www.youtube.com/watch?v=GCUSImSaTDA,#typhoonfamily #netflix #netflixkdrama #kdrama #edit #love #leejunho #2pm #2pmjunho #kimminha,ThenoobEditor,2025-10-14T19:31:36Z,PT27S,Shorts,2200,67,0
