video_id,video_title,shortType,comment_id,parent_id,isReply,author,text,publishedAt,likeCount
guAPZXlDgb8,"[#폭군의셰프] 대왕대비의 눈시울을 붉히게 한 임윤아의 된장국, 단순한 음식이 아닌 특별한 사연이?!",Clip,UgynrjX0pe9Gb7A7Gw14AaABAg,,0,@juanmari8068,Very good ❤❤❤,2025-10-10T15:28:13Z,2
guAPZXlDgb8,"[#폭군의셰프] 대왕대비의 눈시울을 붉히게 한 임윤아의 된장국, 단순한 음식이 아닌 특별한 사연이?!",Clip,UgzG1phpPcHJBsTaKAx4AaABAg,,0,@YeonwooPark-f5z,아 ㅠㅠ 이렇게 계속 편집본 올려 줄 거면 그냥 더 하지 ㅠㅠ 왜 12부작에 끝내냐고 ㅠㅠ,2025-10-10T02:39:03Z,4
guAPZXlDgb8,"[#폭군의셰프] 대왕대비의 눈시울을 붉히게 한 임윤아의 된장국, 단순한 음식이 아닌 특별한 사연이?!",Clip,UgySkv9JWdSWFNH5eDt4AaABAg,,0,@lol-e9o7c,솔직히 바이럴아니면 아무것도 아니었을 드라마.,2025-10-09T06:24:10Z,0
guAPZXlDgb8,"[#폭군의셰프] 대왕대비의 눈시울을 붉히게 한 임윤아의 된장국, 단순한 음식이 아닌 특별한 사연이?!",Clip,Ugzl_yDw5B_FOXcK13Z4AaABAg,,0,@김태윤-s3g,이렇게 1화부터 명장면 보여주시다니❤ 너무 좋아렴,2025-10-09T02:37:05Z,2
9V-Y8xlBvpY,"좀 많이 늦은 폭군의 셰프 11-12화 리액션 | 최종화, 임윤아, 이채민, 리뷰",Clip,Ugwfg4LggMVcSWEmyTN4AaABAg,,0,@hahaitsseony,"영상은 종영 다음날 찍어놓고.. 이제야 편집해온 저를 용서해쥬세요😂..
여튼 폭군의 셰프 덕분에 9월 넘모 재미있었땅!!!!
여러분 다 이루어질지니도 함 보세요 비슷한 결로 재미있음 ㅋㅎㅋㅎ
다음 리액션은.. 아마도 환승연애 5-6화로 올 거 가타욤!! 담쭈에 만나자고요 하하",2025-10-10T08:05:11Z,15
9V-Y8xlBvpY,"좀 많이 늦은 폭군의 셰프 11-12화 리액션 | 최종화, 임윤아, 이채민, 리뷰",Clip,UgxvfpLFgjlYboSaGrZ4AaABAg,,0,@말티즈-z4h,완전 퓨전사극이라 생각하고 봐도 결말이 너무 산으로 가게 만든거 같습니다. 차라리 끝까지 판타지개그로 가지 갑자기 그로테스크한 연출? 그리고 아는 만큼 보인다고 역사를 꼬아 버리니까 좀 보기 싫어지더라구요 류순정은 반정3대장중 한명으로 반정의 대장격인데 제안대군 방패막이로화살 맞고 죽고 제안대군 역시 실제로는 죽을때 까지 바보짓 하면서 목숨 구걸하면서 그냥 자연사 하는데 너무 악마로 만들었음오히려 박원종이 재산대군 같은 역할 했다고 볼 수 있읍니다. 거의 주도하다 싶지 했고 역사기록 대로면 임사홍임숭재 부자가 진짜 간신중에 간신이고 저 인수대비도 살해 당하는게 아니라 연산군 폭정질에 화병나서 죽음 그리고 진성(진명)대군은 왕되서 연산군 보다 사람 더 죽이는 왕이 됨 ㅎㅎ,2025-10-13T13:01:27Z,0
9V-Y8xlBvpY,"좀 많이 늦은 폭군의 셰프 11-12화 리액션 | 최종화, 임윤아, 이채민, 리뷰",Clip,Ugx_ZB4Z_Vy9GsLAYpx4AaABAg,,0,@피아농안피아농,7:29 리뷰하는 산영님 우는 리뷰 보고도 또 같이 운 나 …,2025-10-11T11:49:22Z,3
9V-Y8xlBvpY,"좀 많이 늦은 폭군의 셰프 11-12화 리액션 | 최종화, 임윤아, 이채민, 리뷰",Clip,UgxCWDLNl6Abze4vQWp4AaABAg,,0,@kaisy1,"수랏간사람들이랑 스티브임은 후손들이고 
이헌은 자기가넘어온거라 기억함",2025-10-11T11:18:43Z,2
9V-Y8xlBvpY,"좀 많이 늦은 폭군의 셰프 11-12화 리액션 | 최종화, 임윤아, 이채민, 리뷰",Clip,Ugyy8152sPbXz3p6jOR4AaABAg,,0,@ramiya4848,"윤아, 채민 캐미 못잃어ㅜㅜㅜ
현대 드라마 하나찍어주면 소원이 없겠다😂😂",2025-10-11T01:17:21Z,11
9V-Y8xlBvpY,"좀 많이 늦은 폭군의 셰프 11-12화 리액션 | 최종화, 임윤아, 이채민, 리뷰",Clip,Ugww9hugKff4LJ3vz894AaABAg,,0,@extraleague01,"정말 좋으면서도 회피엔딩이긴 하지만, 원작 스핀오프 엔딩에서 이헌이 어떻게 현대로 와서 저렇게 양복까지 차려입고 지영이와 재회하게 됐는지 보여준다네요. 
그래서 그 이야기라를 특집 외전으로 찍었으면 하죠 ㅎㅎㅎ",2025-10-10T20:24:15Z,2
