video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
qVMZUY0ol0g,https://www.youtube.com/watch?v=qVMZUY0ol0g,"기억이 안 나서... (백야행, 실락원, 눈의 꽃, 폭군의 셰프, 닥터 진, 이소룡, 척 노리스)",흑자헬스 SurplusHealth,2025-10-14T22:30:11Z,PT1H5M17S,Clip,9879,252,58
guAPZXlDgb8,https://www.youtube.com/watch?v=guAPZXlDgb8,"[#폭군의셰프] 대왕대비의 눈시울을 붉히게 한 임윤아의 된장국, 단순한 음식이 아닌 특별한 사연이?!",디글 :Diggle,2025-10-09T02:30:29Z,PT9M35S,Clip,3949,55,4
9V-Y8xlBvpY,https://www.youtube.com/watch?v=9V-Y8xlBvpY,"좀 많이 늦은 폭군의 셰프 11-12화 리액션 | 최종화, 임윤아, 이채민, 리뷰",샨영,2025-10-10T08:00:11Z,PT11M31S,Clip,2085,106,28
OcJ-Yj5OVYE,https://www.youtube.com/watch?v=OcJ-Yj5OVYE,조선시대 가마솥 수비드 스테이크 만들어 먹어보자!! (feat.폭군의쉐프),배말랭,2025-10-09T11:00:45Z,PT10M46S,Clip,342177,3885,236
OKpMqLHgJ0c,https://www.youtube.com/watch?v=OKpMqLHgJ0c,[사건파일24] 해외 팬들이 '폭군의 셰프' 레시피 재현···새로운 비빔밥에 '엄지 척',뉴스TVCHOSUN,2025-10-10T08:15:15Z,PT1M30S,Clip,2066,0,0
hzIjz12ckVM,https://www.youtube.com/watch?v=hzIjz12ckVM,폭군의 셰프 몰랐던 사실 3가지 #윤아 #이채민,연예계 비하인드,2025-10-09T12:06:00Z,PT38S,Shorts,55682,760,3
rGOz2GSCnxM,https://www.youtube.com/watch?v=rGOz2GSCnxM,폭군의 셰프 비프부르기뇽?! 갈비찜이 레벨업,gonet 고네뜨 GOOD ONE TABLE,2025-10-14T23:01:14Z,PT10S,Shorts,1370,0,1
sJyNvK9svC0,https://www.youtube.com/watch?v=sJyNvK9svC0,"[폭군의 셰프] 너의 온기(Your Warmth) 허각(HUHGAK) -  FMV | Bon Appétit, Your Majesty  |  이헌x지영",SODA,2025-10-08T05:02:54Z,PT4M4S,Clip,6866,172,9
VExSHjHIzFw,https://www.youtube.com/watch?v=VExSHjHIzFw,#폭군의셰프 #폭군의쉐프 #드라마각색  #kdrama #라디오드라마 #사건사고,힐링인생극장,2025-10-12T09:43:09Z,PT2M27S,Clip,494,1,1
5gwARycqONc,https://www.youtube.com/watch?v=5gwARycqONc,폭군의 셰프 길금 윤서아가 대단한 이유 ㄷㄷ,연예계 비하인드,2025-10-08T13:54:01Z,PT32S,Shorts,13492,225,1
ihPF2KUzctQ,https://www.youtube.com/watch?v=ihPF2KUzctQ,해외에서 화제된 폭군의셰프에 나온 마카롱,홍컷,2025-10-10T02:57:01Z,PT15S,Shorts,42592,401,14
70fmmDrot2I,https://www.youtube.com/watch?v=70fmmDrot2I,배우 이채민 레전드 변천사 #폭군의셰프,인물타임랩스,2025-10-08T09:08:42Z,PT1M,Shorts,8481,296,9
mj0edFsK-hI,https://www.youtube.com/watch?v=mj0edFsK-hI,[폭군의 셰프] 성형외과 의사가 본 연산군·장녹수의 실제 역사속 얼굴은?! 드라마 속 배우 얼굴 분석까지!,나나TV - 나나성형외과,2025-10-08T09:01:10Z,PT5M47S,Clip,152,7,4
Ozo6cPjvx9Q,https://www.youtube.com/watch?v=Ozo6cPjvx9Q,폭군의셰프 윤아 ‘가방이’ 단독 할인이요..?👜💛   #가을코디 #데일리룩 #ootd,말리 Molie,2025-10-11T14:02:24Z,PT56S,Shorts,94226,1573,24
g0tGIPzsIsk,https://www.youtube.com/watch?v=g0tGIPzsIsk,이채민 얼굴에 숨겨진 비밀? 폭군의 셰프,연예계 비하인드,2025-10-13T14:44:38Z,PT28S,Shorts,15649,312,2
2dxqc2jnwNA,https://www.youtube.com/watch?v=2dxqc2jnwNA,'폭군의셰프' 드라마와 다른결말 폭군의셰프 진짜엔딩,몰입쩜,2025-10-08T03:00:04Z,PT43S,Shorts,51058,1058,13
gDjIO1J6qd0,https://www.youtube.com/watch?v=gDjIO1J6qd0,폭군이 현대로 간 방법 | 덕상 #shorts,요주의 영화,2025-10-09T10:25:01Z,PT59S,Shorts,46134,1349,21
SfUvEo7EYWs,https://www.youtube.com/watch?v=SfUvEo7EYWs,'폭군의셰프' 화제의 드라마 폭군의 셰프 90초요약,몰입쩜,2025-10-10T09:59:27Z,PT1M36S,Clip,16238,443,8
3QitPfgsY00,https://www.youtube.com/watch?v=3QitPfgsY00,폭군의 셰프 11~12화(최종화) 리뷰 - 과거와 현재를 사랑으로 극복,드라마헌터쓰,2025-10-10T01:02:42Z,PT5M30S,Clip,89,1,0
qZd1q5izIsc,https://www.youtube.com/watch?v=qZd1q5izIsc,더현대서울 폭군의셰프 팝업스토어 - BonAppétitYourMajesty pop-up store,푸드파이 FOODPIE,2025-10-08T13:57:23Z,PT26S,Shorts,31184,1052,19
_KZi3f_Ye-o,https://www.youtube.com/watch?v=_KZi3f_Ye-o,리사도 반한 남자 ‘폭군의 셰프’ 이채민 향한 팬심 폭발 #리사 #블랙핑크 #이채민 #폭군의셰프 #shorts #이슈,Shorts-ent,2025-10-14T11:30:36Z,PT35S,Shorts,1070,9,0
8NSuklTiks4,https://www.youtube.com/watch?v=8NSuklTiks4,#이채민#윤아 가까워서🤩yoona leechaemin 폭군의셰프 kdrama bonappetityourmajesty เมนูรักพิชิตใจราชา อิมยุนอา 林允儿 ユナ,통통젤리,2025-10-14T08:02:46Z,PT10S,Shorts,13452,487,3
rQwZ5aDo-Po,https://www.youtube.com/watch?v=rQwZ5aDo-Po,"폭군의셰프 임윤아 변천사 Im Yoon-ah’s Transformation in Bon Appétit, Your Majesty",그때리즈,2025-10-09T01:02:33Z,PT15S,Shorts,1540,19,0
hHyFjmbzYqo,https://www.youtube.com/watch?v=hHyFjmbzYqo,폭군의 셰프 연지영으로 대박난 소녀시대 윤아 오늘 공항 패션 (251011) #윤아 #폭군의셰프 #shorts,구찬성,2025-10-11T05:06:06Z,PT23S,Shorts,14603,352,7
BjAgKL29GiE,https://www.youtube.com/watch?v=BjAgKL29GiE,#이채민#윤아 특별하게😝yoona leechaemin 폭군의셰프 kdrama bonappetityourmajesty เมนูรักพิชิตใจราชา อิมยุนอา 林允儿 ユナ,통통젤리,2025-10-15T00:50:31Z,PT9S,Shorts,1490,88,0
fMoh8Hlw3H8,https://www.youtube.com/watch?v=fMoh8Hlw3H8,#이채민#윤아 손은기본😌yoona leechaemin 폭군의셰프 kdrama bonappetityourmajesty เมนูรักพิชิตใจราชา อิมยุนอา 林允儿 ユナ,통통젤리,2025-10-13T09:45:16Z,PT9S,Shorts,23016,800,14
jHV-wD9LHNE,https://www.youtube.com/watch?v=jHV-wD9LHNE,#폭군의셰프,K-Drama love,2025-10-09T02:42:15Z,PT28S,Shorts,6838,0,1
f7PzBJywNaM,https://www.youtube.com/watch?v=f7PzBJywNaM,폭군의 셰프🩷 #폭군의셰프 #이채민 #윤아 #추천 #가지마,신콩쓰ꢭ,2025-10-10T21:51:25Z,PT11S,Shorts,3742,69,2
trYB7K6vwXs,https://www.youtube.com/watch?v=trYB7K6vwXs,모두가 인정한 폭군의셰프 남배우의 군면제 사유..ㅎㄷㄷ,숏람쥐,2025-10-13T11:35:35Z,PT34S,Shorts,19722,67,3
7BULnBKuPRA,https://www.youtube.com/watch?v=7BULnBKuPRA,#이채민#윤아 무한찬사😘yoona leechaemin 폭군의셰프 kdrama bonappetityourmajesty เมนูรักพิชิตใจราชา อิมยุนอา 林允儿 ユナ,통통젤리,2025-10-14T02:32:43Z,PT10S,Shorts,20760,743,4
eiW1oAluXMQ,https://www.youtube.com/watch?v=eiW1oAluXMQ,아니... 이 맛은? | TVING | #폭군의셰프 #BonappetitYourMajesty,TVING,2025-10-08T03:00:46Z,PT54S,Shorts,21637,662,10
8BPZrFx2J1k,https://www.youtube.com/watch?v=8BPZrFx2J1k,#이채민#윤아 케미터져😙yoona leechaemin 폭군의셰프 이 드라마에서 이채민 진짜 잘생겼다… 😭💘 bonappetityourmajesty,K-Pop Buzz Hub,2025-10-09T13:52:27Z,PT16S,Shorts,110182,2985,54
J5CBhrcGkGE,https://www.youtube.com/watch?v=J5CBhrcGkGE,'폭군의셰프' 터질께 터진 임윤아 인성,몰입쩜,2025-10-09T03:00:19Z,PT31S,Shorts,84372,1467,19
RXNojzin66E,https://www.youtube.com/watch?v=RXNojzin66E,"《풀리액션》중국사신의 도발을 통해 새롭게 조명되는 조선시대의 모습, 해외반응 에피소드 6화, Bon Appetit, Your Majesty Ep 6 reaction",리액션나이트 ReactionNight,2025-10-10T11:26:46Z,PT1H18M19S,Clip,20933,626,35
F6CTyiklsR0,https://www.youtube.com/watch?v=F6CTyiklsR0,#이채민#윤아 10살😘 yoona leechaemin 폭군의셰프 kdrama bonappetityourmajesty เมนูรักพิชิตใจราชา อิมยุนอา 林允儿 ユナ,통통젤리,2025-10-12T01:30:43Z,PT10S,Shorts,21391,767,15
ZF8DoAUfYaE,https://www.youtube.com/watch?v=ZF8DoAUfYaE,#이채민#윤아 손잡아?😊yoona leechaemin 폭군의셰프 kdrama bonappetityourmajesty เมนูรักพิชิตใจราชา อิมยุนอา 林允儿 ユナ,통통젤리,2025-10-13T07:41:44Z,PT10S,Shorts,20912,670,1
uv0aOAd7KYI,https://www.youtube.com/watch?v=uv0aOAd7KYI,유배길 떠나는 이헌 몰래 찾아온 윤아 #폭군의셰프 #요리드라마 #tvN드라마 #드라마쇼츠 #넷플릭스드라마,막조준,2025-10-09T09:28:52Z,PT35S,Shorts,120246,2088,41
