video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
VzqZHEKMLnA,https://www.youtube.com/watch?v=VzqZHEKMLnA,공짜 밥에 돈까지 주는 신세계를 발견한 지니,꿀맛드라마,2025-10-04T03:59:51Z,PT1M,Shorts,13045017,153158,859
Dy86eYKWLTM,https://www.youtube.com/watch?v=Dy86eYKWLTM,램프의 요정 지니가 음주 단속에서 튀는 방법 #다이루어질지니 #수지 #김우빈,호돌극장,2025-10-06T09:00:16Z,PT57S,Shorts,12127087,140777,538
T6eDO3S-7SU,https://www.youtube.com/watch?v=T6eDO3S-7SU,할머니의 최고의 손녀 교육,숏까네,2025-10-03T14:49:00Z,PT44S,Shorts,11365789,126132,558
_H703K5VSLE,https://www.youtube.com/watch?v=_H703K5VSLE,사패의 루틴을 방해한 램프 요정 지니의 최후,꿀맛드라마,2025-10-03T10:29:25Z,PT1M,Shorts,10232240,120800,655
LFRLeW7YhDE,https://www.youtube.com/watch?v=LFRLeW7YhDE,관상 이정재로 왕림해 지옥 맛을 보여주는 지니,꿀맛드라마,2025-10-05T08:01:37Z,PT1M,Shorts,9831336,72611,636
HNf0YCCEUIs,https://www.youtube.com/watch?v=HNf0YCCEUIs,친구한테 협박당해 의사됐어요,숏까네,2025-10-03T22:45:00Z,PT51S,Shorts,10306399,77274,662
vdAxZfcKm_U,https://www.youtube.com/watch?v=vdAxZfcKm_U,구 여친들의 외모 전쟁 #다이루어질지니 #송혜교,멜로컷,2025-10-05T09:26:01Z,PT56S,Shorts,8820973,91416,1351
5kVHybekeTM,https://www.youtube.com/watch?v=5kVHybekeTM,금쪽이 손녀 참교육 하는 할머니,무비반장,2025-10-03T12:59:23Z,PT47S,Shorts,9422687,112271,1925
O4vlqFD3ckk,https://www.youtube.com/watch?v=O4vlqFD3ckk,지니가 되어 나타난 기가영 #다이루어질지니 #수지 #지니 #이주영,샤인무비,2025-10-04T09:50:02Z,PT59S,Shorts,7883052,85510,546
_7tXpAzKav8,https://www.youtube.com/watch?v=_7tXpAzKav8,지니와 가영의 마지막 순간#다이루어질지니,멜로컷,2025-10-07T08:24:00Z,PT59S,Shorts,8068668,101284,608
s1yNZCNKebs,https://www.youtube.com/watch?v=s1yNZCNKebs,허세 문신남 참교육 #다이루어질지니,라마의드라마,2025-10-04T09:58:10Z,PT47S,Shorts,8257151,57826,480
_g-8hfNi8_E,https://www.youtube.com/watch?v=_g-8hfNi8_E,궁지에 몰리자 드러난 동창의 본색#다이루어질지니,멜로컷,2025-10-05T06:00:27Z,PT59S,Shorts,8057230,62791,595
fB0d0ccyZCQ,https://www.youtube.com/watch?v=fB0d0ccyZCQ,[EN]가을바람은 핑계고 ㅣ EP.89,뜬뜬 DdeunDdeun,2025-09-27T00:00:06Z,PT1H2M47S,Clip,3887933,50967,2093
ml-iqVUqaZY,https://www.youtube.com/watch?v=ml-iqVUqaZY,미모로 압살하는 지니 전여친 송혜교,숏킹핫,2025-10-03T17:37:27Z,PT52S,Shorts,7654352,90118,2542
CB923wPpyWE,https://www.youtube.com/watch?v=CB923wPpyWE,뽀삐의 마지막 소원(슬픔주의)#다이루어질지니,멜로컷,2025-10-06T02:00:12Z,PT1M1S,Clip,7618603,76699,590
32N8sgulhCk,https://www.youtube.com/watch?v=32N8sgulhCk,주인이 죽든 살든 관심 없는 초롱이 #다이루어질지니,드짱,2025-10-08T06:20:29Z,PT56S,Shorts,6963102,63021,167
uxZ6CmtN7wA,https://www.youtube.com/watch?v=uxZ6CmtN7wA,지니에게 마지막 소원을 빌고 오열하는 수지 #다이루어질지니 #수지 #김우빈 #지니,샤인무비,2025-10-03T13:37:04Z,PT59S,Shorts,6647323,93358,959
