video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
E42yFkzi4mk,https://www.youtube.com/watch?v=E42yFkzi4mk,[#태풍상사] 감금당한 표박호를 풀어주러 온 사람? 아들이 아닌 강태풍...ㄷㄷ | #산지직송,디글 클래식 :Diggle Classic,2025-11-30T15:31:00Z,PT9M23S,Clip,35371,168,16
vgIzGVLlZJU,https://www.youtube.com/watch?v=vgIzGVLlZJU,“앞장서!!!” 오미호 결별 소식에 난리 난 집안ㅋㅋㅋ #태풍상사 EP.15 | tvN 251129 방송,tvN DRAMA,2025-11-29T12:38:16Z,PT2M29S,Clip,144353,882,98
IS_NVT9tvFs,https://www.youtube.com/watch?v=IS_NVT9tvFs,"웰컴 투 태풍상사! 두 번째 인터뷰, 폭풍 성장한 태풍상사 #태풍상사 EP.16 | tvN 251130 방송",tvN DRAMA,2025-11-30T13:39:59Z,PT3M15S,Clip,23695,407,53
b6c8X59wmUQ,https://www.youtube.com/watch?v=b6c8X59wmUQ,[#태풍상사] 부자는 못 돼도 평생 네 옆에 있어줄게💗 미호를 향한 남모의 박력 넘치는 공개 고백🤭 | #번개클립,tvN D ENT,2025-11-30T15:30:32Z,PT8M52S,Clip,6565,75,2
3qBlMlmEt4k,https://www.youtube.com/watch?v=3qBlMlmEt4k,[#태풍상사] 꽃보다 아름다운 나의 사람들🌸 함께라면 어떤 어려움도 이겨낼 수 있는 태풍상사 완전체 😊☘️,디글 :Diggle,2025-11-30T15:31:00Z,PT9M20S,Clip,9722,139,5
PBoY816PM8Y,https://www.youtube.com/watch?v=PBoY816PM8Y,[#태풍상사] 생각도 못 한 곳에서 숨겨져 있던 차용증을 발견함 ㄷㄷ | #산지직송,디글 클래식 :Diggle Classic,2025-11-29T15:31:00Z,PT9M30S,Clip,11050,49,1
MZHxWsYc-2g,https://www.youtube.com/watch?v=MZHxWsYc-2g,[#태풍상사] 표상선에 들이닥친 경찰?!🚨 회사 팔아먹고 방화까지 저지른 아들 경찰에 넘기는 표박호😔,디글 :Diggle,2025-11-30T15:30:13Z,PT8M46S,Clip,12910,85,12
bty2ugdRO4U,https://www.youtube.com/watch?v=bty2ugdRO4U,(아른아른) 집을 보러 와도 자꾸 생각나는 분이씨와 범이 #태풍상사 EP.16 | tvN 251130 방송,tvN DRAMA,2025-11-30T13:31:43Z,PT2M54S,Clip,127759,1146,80
RaGE09LP6bM,https://www.youtube.com/watch?v=RaGE09LP6bM,"과장님, 손만 잡았게요? 😏💗ㅣTVINGㅣ#태풍상사 #Typhoonfamily",TVING,2025-12-02T11:01:02Z,PT1M16S,Clip,17339,328,4
GLtXfAD4b6M,https://www.youtube.com/watch?v=GLtXfAD4b6M,[#태풍상사] 아버지 명패에서 발견된 종이 한 장?!📄 그토록 찾아 헤매던 차용증 찾은 강태풍 ㄷㄷ🫢,디글 :Diggle,2025-11-29T15:31:00Z,PT8M15S,Clip,9382,49,3
RWSzi3TBz5c,https://www.youtube.com/watch?v=RWSzi3TBz5c,#이준호#イジュノ #LEEJUNHO#캐셔로#태풍상사 #강태풍 #TyphoonFamily,준호🌪️🌀,2025-12-02T22:24:45Z,PT31S,Shorts,3301,422,22
-UVe1AGEfJ0,https://www.youtube.com/watch?v=-UVe1AGEfJ0,★강태풍 복귀★ 태풍상사의 진짜 사장 귀환! #태풍상사 EP.16 | tvN 251130 방송,tvN DRAMA,2025-11-30T13:10:30Z,PT2M14S,Clip,21267,368,47
2N-ohhNCNI8,https://www.youtube.com/watch?v=2N-ohhNCNI8,IMF 졸업 선언🌟 더 찬란해질 태풍상사의 내일 #태풍상사 EP.16 | tvN 251130 방송,tvN DRAMA,2025-11-30T13:44:43Z,PT1M36S,Clip,16221,329,51
k9Fcwe_YYeY,https://www.youtube.com/watch?v=k9Fcwe_YYeY,[#태풍상사] 사랑 고백과 동시에 달콤한 키스...💋 이제는 더 이상 마음을 숨기지 않고 표현하는 두 사람🩷,디글 :Diggle,2025-11-28T22:30:21Z,PT9M58S,Clip,4657,57,2
