video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
zyDDBR9aPk4,https://www.youtube.com/watch?v=zyDDBR9aPk4,인성파탄난 선생이 고아라고 무시한 학생의 삼촌이 하필 어깨형님들의 총대장이라고..? 미쳤다.. 동네를 집어삼킨 개미친 전투력의 안보현! 근데 이 드라마가 멜로라고? [스프링피버],고몽,2026-01-07T08:01:19Z,PT23M12S,Clip,460128,2815,286
z874ZvKbcvI,https://www.youtube.com/watch?v=z874ZvKbcvI,"와.. 못된 짓 당한 퀸카 선생이 힘이 너무 쎈 두목(?)을 만나는데, 사실 전교1등 학생의 삼촌으로 동네 짱, 역대급 설렘 순도 99% 코미디 로맨스 ≪스프링 피버≫ 1~2화",김시선,2026-01-07T08:01:23Z,PT23M22S,Clip,305564,1678,120
M7I4tttUYRQ,https://www.youtube.com/watch?v=M7I4tttUYRQ,[#스프링피버] 알고 보면 순둥이인 안보현(?)🫨 무서운 외모와 상반되는 모습에 멍해진 이주빈ㅋㅋ💦,디글 :Diggle,2026-01-05T15:31:01Z,PT14M10S,Clip,203843,913,90
pG9a3Hb4Dzs,https://www.youtube.com/watch?v=pG9a3Hb4Dzs,얼음 같은 여자와🧊 불꽃 같은 남자의🔥 온도차 로맨스💕,TVING,2026-01-05T03:01:05Z,PT4M37S,Clip,71101,484,22
1rFYdvmB2us,https://www.youtube.com/watch?v=1rFYdvmB2us,New drama alert 🚨 | Spring fever | kdrama #kdrama #newkdrama #shorts #romcom,Dramaditzz,2026-01-06T17:44:38Z,PT20S,Shorts,95911,2327,18
cKUqyQuLVKw,https://www.youtube.com/watch?v=cKUqyQuLVKw,[3화 예고] 백조도 한 쌍인데🦢❤️…봄쌤 반쪽 안 잃어버릿습니까? (그린라이트 예고👀?) #스프링피버 EP.3,tvN DRAMA,2026-01-06T13:14:09Z,PT36S,Shorts,32533,270,10
bPE_122QO-c,https://www.youtube.com/watch?v=bPE_122QO-c,[2화 예고] 웬수남편미 있으시다 (positive) 🤭 #스프링피버 EP.2,tvN DRAMA,2026-01-05T13:23:03Z,PT36S,Shorts,24302,246,18
Ln7hB2WBRfk,https://www.youtube.com/watch?v=Ln7hB2WBRfk,[#스프링피버] 눈보라를 헤치고 저벅저벅 걸어오는 한 남자?!🌪️ 존재만으로 교무실 장악해 버린 안보현 ㄷㄷ🔥,디글 :Diggle,2026-01-05T15:30:13Z,PT12M38S,Clip,23006,133,4
xQcW-Argn5E,https://www.youtube.com/watch?v=xQcW-Argn5E,[#스프링피버] 테토남에게 한 정거장 쯤이야😏 빛의 속도로 날아가 이주빈 따라잡은 안보현ㅋㅋ☄️,디글 :Diggle,2026-01-06T15:31:00Z,PT13M51S,Clip,21630,141,11
CLg5zFx0vzk,https://www.youtube.com/watch?v=CLg5zFx0vzk,🌸 냉미녀 이주빈 연쇄XX마 시골교사로 내려온 이유는 #스프링피버 #안보현 #이주빈 #1화,드라마보고가,2026-01-06T22:15:01Z,PT22S,Shorts,25746,70,5
