video_id,video_title,shortType,comment_id,parent_id,isReply,author,text,publishedAt,likeCount
gVhrlO_EW-k,[#얄미운사랑] 오늘 본 걸 모두 잊게 해 주시옵소서..🙏 누나의 첫 연애 현장을 직관한 남동생의 현실 반응ㅋㅋㅋ😵,Clip,Ugw1TpT8itRs5wpd7lp4AaABAg,,0,@황동구-k4y,귀엽누 ㅋ,2025-12-23T04:20:32Z,1
gVhrlO_EW-k,[#얄미운사랑] 오늘 본 걸 모두 잊게 해 주시옵소서..🙏 누나의 첫 연애 현장을 직관한 남동생의 현실 반응ㅋㅋㅋ😵,Clip,UgzeX0uRHNI_7zbUox54AaABAg,,0,@jjisokay,"9:10 위정신한테 집중하려고?

정답!!!!!",2025-12-22T17:23:32Z,1
yK__E-K3U9Y,"[#얄미운사랑] 김지훈♥서지혜, 마침내 재결합 성공 후 부부로 시작하는 첫걸음!👩‍❤️‍👨",Clip,UgyZ9j4p2dKkxlhLNFh4AaABAg,,0,@Diggle,"첫 만남부터 앙숙 케미 확정💢

형사 전문 국민 배우 임현준 🆚 집념 빼면 시체인 기자 위정신 
거침없는 디스가 오고 가는 코미디💥💦

〈얄미운 사랑〉
스트리밍은 TVINGㅣ웨이브

#얄미운사랑 #NiceToNotMeetYou
#이정재 #임지연 #김지훈 #서지혜 #LeeJungJae #LimJiYeon #KimJiHun #SeoJiHye
#스트리밍은TVING #웨이브 #Wavve",2025-12-31T00:54:16Z,1
yK__E-K3U9Y,"[#얄미운사랑] 김지훈♥서지혜, 마침내 재결합 성공 후 부부로 시작하는 첫걸음!👩‍❤️‍👨",Clip,UgyT3e_nW2tutAL0Egx4AaABAg,,0,@가나다-7,"김지훈,서지혜가 더 재밌다!!!!",2026-01-01T14:23:36Z,0
yK__E-K3U9Y,"[#얄미운사랑] 김지훈♥서지혜, 마침내 재결합 성공 후 부부로 시작하는 첫걸음!👩‍❤️‍👨",Clip,UgzrVRQQyF5UxqhB-l14AaABAg,,0,@100yearlife0,"방송 찾아보고 분량이 짧은 클립이 다라는게 사기~
두 사람이 이 드라마에 왜 출연결정을 하신건지 의아함",2026-01-01T11:01:45Z,1
yK__E-K3U9Y,"[#얄미운사랑] 김지훈♥서지혜, 마침내 재결합 성공 후 부부로 시작하는 첫걸음!👩‍❤️‍👨",Clip,UgwgeINQuAoydydsQxl4AaABAg,,0,@junmomh6665,"단란한 가정, 사랑스럽네~.",2026-01-01T05:43:25Z,3
yK__E-K3U9Y,"[#얄미운사랑] 김지훈♥서지혜, 마침내 재결합 성공 후 부부로 시작하는 첫걸음!👩‍❤️‍👨",Clip,UgwaXbT5aLzZUbEVOBh4AaABAg,,0,@존도라미,늙다리 아저씨 꺼져라 김지훈 서지헤 이 커플 넘나 사랑스러워,2025-12-31T05:17:51Z,13
yK__E-K3U9Y,"[#얄미운사랑] 김지훈♥서지혜, 마침내 재결합 성공 후 부부로 시작하는 첫걸음!👩‍❤️‍👨",Clip,UgwfIatW3JNHG6SeOH94AaABAg,,0,@존도라미,두사람 케미 너무좋다 주연인줄,2025-12-31T05:15:48Z,9
yK__E-K3U9Y,"[#얄미운사랑] 김지훈♥서지혜, 마침내 재결합 성공 후 부부로 시작하는 첫걸음!👩‍❤️‍👨",Clip,UgwP-VpKYdj9cCgAdfx4AaABAg,,0,@별이엄마-v3p,김지훈 서지혜 커플 제일 재미 있어는데 너무적게 나와서 아쉽워서요 김지훈 서지혜 두분 응원합니다,2025-12-31T02:25:27Z,25
yK__E-K3U9Y,"[#얄미운사랑] 김지훈♥서지혜, 마침내 재결합 성공 후 부부로 시작하는 첫걸음!👩‍❤️‍👨",Clip,Ugw0Tvune5wGowYna_R4AaABAg,,0,@영자-l4d,임지연이  이렇게 안이뻤나?,2025-12-31T01:59:09Z,2
yK__E-K3U9Y,"[#얄미운사랑] 김지훈♥서지혜, 마침내 재결합 성공 후 부부로 시작하는 첫걸음!👩‍❤️‍👨",Clip,UgzC0wwB4ZFcTqd0utN4AaABAg,,0,@jj777-77,드라마가 뭔가 이씨 띄우려고 만든 작품? 김지훈. 서지혜분 빼고 나머지는 더럽게 재미 없는데.,2025-12-31T01:25:57Z,10
yK__E-K3U9Y,"[#얄미운사랑] 김지훈♥서지혜, 마침내 재결합 성공 후 부부로 시작하는 첫걸음!👩‍❤️‍👨",Clip,UgymxWisQxJDkTfujhR4AaABAg,,0,@뾸라,김지훈 서지혜는 순식간에 지나가네..머야,2025-12-31T01:20:05Z,30
yK__E-K3U9Y,"[#얄미운사랑] 김지훈♥서지혜, 마침내 재결합 성공 후 부부로 시작하는 첫걸음!👩‍❤️‍👨",Clip,UgxuOdydW7cyoGg-kXh4AaABAg,,0,@jeanniecho8433,"김 지훈.서지혜 넘 넘 잘 어울려
!!!!
둘이 또 멜로커풀로 나왓으면!!",2025-12-30T23:44:54Z,24
yK__E-K3U9Y,"[#얄미운사랑] 김지훈♥서지혜, 마침내 재결합 성공 후 부부로 시작하는 첫걸음!👩‍❤️‍👨",Clip,UgxO4GNoc2pCZ760W_x4AaABAg,,0,@Immbliss,훈훈해서 좋아요,2025-12-30T22:52:38Z,7
yK__E-K3U9Y,"[#얄미운사랑] 김지훈♥서지혜, 마침내 재결합 성공 후 부부로 시작하는 첫걸음!👩‍❤️‍👨",Clip,UgwgKkhXkcnyMfy9I314AaABAg,,0,@Ann-zw7mo,"그래서 재하는 원래 김지훈 아들이였던건가요? 서지혜 전남편 아들이 아니구요? 그럼 서지혜는 김지훈 아들 생기고 결혼했던건가요?
재결합 외의 내용이 안나와서 궁굼해서 물어봅니당",2025-12-30T20:39:34Z,5
yK__E-K3U9Y,"[#얄미운사랑] 김지훈♥서지혜, 마침내 재결합 성공 후 부부로 시작하는 첫걸음!👩‍❤️‍👨",Clip,Ugx_J28hfZYtXJgZmIJ4AaABAg,,0,@ilIiIllliIIIIllIliIiiiI,"7:40 여기부터 40초만 나옴
완전사기영상ㅋㅋ",2025-12-30T19:36:53Z,19
yK__E-K3U9Y,"[#얄미운사랑] 김지훈♥서지혜, 마침내 재결합 성공 후 부부로 시작하는 첫걸음!👩‍❤️‍👨",Clip,UgxM9NywLTypL6PMnBd4AaABAg,,0,@ilIiIllliIIIIllIliIiiiI,"김지훈서지혜로 어그로 끌고 거의 안나오네
매번 낚시질",2025-12-30T19:36:24Z,18
