video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
0mcDmdvy6sc,https://www.youtube.com/watch?v=0mcDmdvy6sc,기자의 질문에 답하는 배우 #얄미운사랑,드라마트,2025-12-26T08:00:01Z,PT1M2S,Clip,993646,15049,274
0xpRn3LIc00,https://www.youtube.com/watch?v=0xpRn3LIc00,[#얄미운사랑] 왜 내 어릴 적 사진에서 전 여친 아들의 모습이?!ㄷㄷ | #산지직송,디글 클래식 :Diggle Classic,2025-12-22T15:31:00Z,PT13M41S,Clip,124510,524,52
C1X4-ISCCx8,https://www.youtube.com/watch?v=C1X4-ISCCx8,[#얄미운사랑] 혹시나 했는데 역시나?! 서지혜에게 아들 출생의 진실 묻는 김지훈 | #산지직송,디글 클래식 :Diggle Classic,2025-12-29T15:30:08Z,PT13M34S,Clip,56408,288,31
wQlDX9VtwC0,https://www.youtube.com/watch?v=wQlDX9VtwC0,[#얄미운사랑] 내 친형이 날 죽이려 했다고?💥 처음 듣게 되는 그날의 진실에 분노하는 김지훈,디글 :Diggle,2025-12-23T15:30:44Z,PT12M27S,Clip,58132,252,8
sCJZ7DPXGTE,https://www.youtube.com/watch?v=sCJZ7DPXGTE,[#얄미운사랑] 진실에 한 발짝 다가선 김지훈?!😯 전 여친의 아이가 자기 아들인지 묻자 굳어버린 서지혜💥,디글 :Diggle,2025-12-29T15:30:38Z,PT13M1S,Clip,35552,198,18
yK__E-K3U9Y,https://www.youtube.com/watch?v=yK__E-K3U9Y,"[#얄미운사랑] 김지훈♥서지혜, 마침내 재결합 성공 후 부부로 시작하는 첫걸음!👩‍❤️‍👨",디글 :Diggle,2025-12-30T15:31:00Z,PT12M24S,Clip,30574,167,17
CZaT4bj2ERY,https://www.youtube.com/watch?v=CZaT4bj2ERY,[#얄미운사랑] 하필 중고 거래를 한 대상이 임지연?! 이정재의 충격 고백에 빵 터진 서지혜 | #산지직송,디글 클래식 :Diggle Classic,2025-12-25T14:00:18Z,PT14M9S,Clip,28075,124,7
lckOfqgnMFQ,https://www.youtube.com/watch?v=lckOfqgnMFQ,"[#얄미운사랑] ""이 자리에 제가 좋아하는 사람이 있습니다"" 드라마 간담회 자리에서 썸남이 공개 고백을 했다..?!😳",디글 :Diggle,2025-12-23T15:30:36Z,PT13M15S,Clip,29654,154,5
bX6DTkyed0Y,https://www.youtube.com/watch?v=bX6DTkyed0Y,[#얄미운사랑] 말 한마디로 들었다 놨다 하는 능청 갑 전 여친🤭 여전히 손바닥 안인 김지훈이 귀여운 서지혜ㅋㅋㅋ,디글 :Diggle,2025-12-25T13:01:11Z,PT12M13S,Clip,23403,122,9
mTXrSLSXBog,https://www.youtube.com/watch?v=mTXrSLSXBog,[#얄미운사랑] 드디어 기다리고 기다리던 그날! 전쟁터 파견 갔다 온 위정신과 다시 만난 임현준 | #산지직송,디글 클래식 :Diggle Classic,2025-12-30T15:31:00Z,PT14M42S,Clip,20789,124,7
YUby0aYFdcU,https://www.youtube.com/watch?v=YUby0aYFdcU,[#얄미운사랑] 위정신의 정면 돌파ㄷㄷ 생방송 뉴스에서 회장에 대해 다 폭로해 버림 | #산지직송,디글 클래식 :Diggle Classic,2025-12-30T15:30:22Z,PT16M28S,Clip,20620,123,4
GoxaMLrC0N0,https://www.youtube.com/watch?v=GoxaMLrC0N0,좋아하는 티를 내고는 싶은데 #얄미운사랑,드라마트,2025-12-27T08:00:30Z,PT1M1S,Clip,28159,388,0
kk4lCYdzd-A,https://www.youtube.com/watch?v=kk4lCYdzd-A,[#얄미운사랑] 필사적인 입술 사수;;🤫 전 여친과의 키스신만은 피하고 싶은 이정재의 발악ㅋㅋ💥,디글 :Diggle,2025-12-22T15:30:37Z,PT11M46S,Clip,13801,62,11
uw2OLqxGF_Q,https://www.youtube.com/watch?v=uw2OLqxGF_Q,[얄미운 사랑 최종회 예고] 국민배우💛정치부기자 부부 탄생ㅋㅋ 최종빌런 이대호의 비참한 최후까지,고비디오,2025-12-24T10:34:56Z,PT8M36S,Clip,13339,99,11
gVhrlO_EW-k,https://www.youtube.com/watch?v=gVhrlO_EW-k,[#얄미운사랑] 오늘 본 걸 모두 잊게 해 주시옵소서..🙏 누나의 첫 연애 현장을 직관한 남동생의 현실 반응ㅋㅋㅋ😵,디글 :Diggle,2025-12-22T15:30:34Z,PT12M43S,Clip,12941,78,2
Zz1Pcm5zfzg,https://www.youtube.com/watch?v=Zz1Pcm5zfzg,[15화 예고] 살벌한 본성 드러내는 김재철과 그의 타겟이 된 위정신!😱(((도와줘요 강필구))) #얄미운사랑 EP.15,tvN DRAMA,2025-12-23T13:10:13Z,PT31S,Shorts,13149,108,13
p7YjGiziSmo,https://www.youtube.com/watch?v=p7YjGiziSmo,"[#얄미운사랑] 충격, 임현준의 공개 고백?!ㄷㄷ 기자 간담회에서 속마음 밝힌 임현준 | #산지직송",디글 클래식 :Diggle Classic,2025-12-23T15:31:00Z,PT14M21S,Clip,10420,64,10
Bqly5DF_lE8,https://www.youtube.com/watch?v=Bqly5DF_lE8,[#얄미운사랑] 전기충격기 들고 위정신 위협하는 괴한 보자마자 달려가는 임현준 | #산지직송,디글 클래식 :Diggle Classic,2025-12-29T15:31:00Z,PT11M46S,Clip,9085,38,1
YLrQnKnGamk,https://www.youtube.com/watch?v=YLrQnKnGamk,[#얄미운사랑] 그깟 협박에 그만둘 위정신이 아니지... 이대호의 위협에도 굴하지 않는 위정신 | #산지직송,디글 클래식 :Diggle Classic,2025-12-23T15:30:24Z,PT14M34S,Clip,9466,62,2
pkKD3pc8DVo,https://www.youtube.com/watch?v=pkKD3pc8DVo,"[#얄미운사랑] ""정재계의 추악한 민낯을 밝히고자 합니다😠"" 굳은 결심 하고 생방송 뉴스에 등장한 임지연💥",디글 :Diggle,2025-12-30T15:30:42Z,PT11M57S,Clip,8247,47,3
q_qqZR5JNwA,https://www.youtube.com/watch?v=q_qqZR5JNwA,[최종화 예고] 이대호 회장을 완벽하게 무찌르기 위해⚔️각자의 결단을 내리는 이정재X임지연! #얄미운사랑 EP.16,tvN DRAMA,2025-12-29T13:16:41Z,PT31S,Shorts,7553,101,17
EiGQo-GfjRA,https://www.youtube.com/watch?v=EiGQo-GfjRA,[#얄미운사랑] 직장 상사에게 연애 상담할 때 국룰 : 이거 제 친구 얘기인데요... | #산지직송,디글 클래식 :Diggle Classic,2025-12-22T15:30:10Z,PT13M33S,Clip,6226,28,2
c_BF78GX8_0,https://www.youtube.com/watch?v=c_BF78GX8_0,썸 타는 누나 #얄미운사랑,드라마트,2025-12-25T08:00:51Z,PT1M1S,Clip,10216,121,0
pj01NnJw9JE,https://www.youtube.com/watch?v=pj01NnJw9JE,[#얄미운사랑] 화난 거 같아 보여도 사실 걱정하는 거임ㅇㅇ 출근 안 한 임지연 챙기는 서지혜 | #산지직송,디글 클래식 :Diggle Classic,2025-12-26T13:01:43Z,PT14M53S,Clip,5843,28,1
ZAucjTDiQxs,https://www.youtube.com/watch?v=ZAucjTDiQxs,#얄미운사랑 우리 처남은 하고 싶은 거 다~ 해!👌🏻 처남 사랑은 #임지연 을 '미치게 만들어',MUSIC&NEW 뮤직앤뉴,2025-12-24T08:00:55Z,PT53S,Shorts,9876,113,1
nZcegjab4fs,https://www.youtube.com/watch?v=nZcegjab4fs,[#얄미운사랑] 위정신까지 들먹였다?🤨 목숨 위협하는 이대호 회장에 지지 않고 맞서는 임현준⚡,디글 :Diggle,2025-12-29T15:31:00Z,PT12M54S,Clip,4895,28,2
54l5tBMB754,https://www.youtube.com/watch?v=54l5tBMB754,필구는 못말려..🤦🏻‍♂️ 분노의 질주 시작🚗💥 #임지연 향해 달려가는 #이정재 #얄미운사랑,MUSIC&NEW 뮤직앤뉴,2025-12-27T08:00:17Z,PT58S,Shorts,6819,72,0
s1wOIjOu_6Q,https://www.youtube.com/watch?v=s1wOIjOu_6Q,[#얄미운사랑] 🌸네가 왜 여기서 나와..?🌸 익명으로 연락하던 정체가 이정재인 걸 알게 된 임지연😵,디글 :Diggle,2025-12-24T13:01:57Z,PT11M47S,Clip,3849,23,0
8JYjyuSmhno,https://www.youtube.com/watch?v=8JYjyuSmhno,[#얄미운사랑] 중고 거래자가 이게 왜 궁금함? 자꾸 꼬치꼬치 묻는 구매자가 귀찮은 임지연ㅋㅋ | #산지직송,디글 클래식 :Diggle Classic,2025-12-25T14:01:48Z,PT13M11S,Clip,3608,17,2
