video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
YSqKppB9p3g,https://www.youtube.com/watch?v=YSqKppB9p3g,딸깍!👉 멸문 확정! 하필 망나니 일진 양반이 정체를 숨긴 왕족 거지를 건드린 순간 벌어지는 일 [은애하는 도적님아] 1~2화,고몽,2026-01-05T08:00:46Z,PT33M31S,Clip,257759,2027,166
xZ0jvfC654Q,https://www.youtube.com/watch?v=xZ0jvfC654Q,"각시탈의 선배가.. 이렇게 이쁜 연예인이라고? 독재자 폭군에 의해 도탄에 빠진 백성들, 탐관오리들의 쌀을 훔쳐 나눠주는 의적 길동, 쫓는 한량 왕족의 위험한 ≪은애하는 도적님아≫",김시선,2026-01-05T08:01:15Z,PT32M42S,Clip,158016,1009,118
Epd5ox0vjMY,https://www.youtube.com/watch?v=Epd5ox0vjMY,궁궐의 귀염둥이(?) 처소내시 등장! #은애하는도적님아 #김선제 #k드라마  #은애하는도적님아,김선제,2026-01-04T07:37:49Z,PT34S,Shorts,51110,129,2
O-xRc7ruBcw,https://www.youtube.com/watch?v=O-xRc7ruBcw,[은애하는 도적님아 3화 예고]🚨나한테 수작 거는 거야?!🚨입술도 마음도 다 뺏긴 대군 문상민의 대놓고 수작 걸기! 설렘 폭주 로맨스 터졌다!,드라마씬,2026-01-07T01:00:35Z,PT10M5S,Clip,18933,253,18
sLUjFlk9rK8,https://www.youtube.com/watch?v=sLUjFlk9rK8,이복형제의 말로 #은애하는도적님아,케슛슛,2026-01-06T10:30:42Z,PT30S,Shorts,22092,201,2
krKAHrCeJQI,https://www.youtube.com/watch?v=krKAHrCeJQI,[#은애하는도적님아] 잡았다 꽃신🌸,KBS 한국방송,2026-01-06T07:50:01Z,PT13S,Shorts,32834,633,17
AIF1hF75fkg,https://www.youtube.com/watch?v=AIF1hF75fkg,"[은애하는 도적님아 3회 예고] ""칠순 노인의 소실로?"" 가문을 위해 사랑을 포기한 그녀의 처절한 눈물 - 뇌피셜 소설",드사세 : 드라마로 사랑과 세상을 배웠어요!,2026-01-05T14:39:16Z,PT17M2S,Clip,10879,91,4
Vz-DSN1CYrI,https://www.youtube.com/watch?v=Vz-DSN1CYrI,엄마로 협박하는 형 ㄷㄷ #은애하는도적님아,케슛슛,2026-01-06T12:30:53Z,PT25S,Shorts,19874,90,1
EbtCybf94gg,https://www.youtube.com/watch?v=EbtCybf94gg,은애하는도적님아 문상민은 누구? #은애하는도적님아 #문상민 #shorts,영티드,2026-01-05T12:28:16Z,PT30S,Shorts,8473,71,2
IcGApGVdbcw,https://www.youtube.com/watch?v=IcGApGVdbcw,“은애하는 도적님아” 맨발 플러팅→입술 도둑 반전! 남지현 문상민 키스신 😱💋 #은애하는도적님아 #남지현 #문상민 #입술도둑 #맨발플러팅 #꽃비키스 #사극로맨스#kdrama#,드덕의 수다방 (Korean drama fan's chatroom),2026-01-06T14:06:47Z,PT1M13S,Clip,2776,36,0
bkIrqwxM8fc,https://www.youtube.com/watch?v=bkIrqwxM8fc,엄마 미소 짓게 되는 사랑스러움의 인간화 남지현의 KBS 연기대상 축하 공연 무대 (feat.박형식) #은애하는도적님아 | KBS 141231 방송,KBS StarTV: 인물사전,2026-01-07T06:00:40Z,PT3M20S,Clip,1484,35,5
7xK_mBPAkxw,https://www.youtube.com/watch?v=7xK_mBPAkxw,20251230 이은지의가요광장 kbs 드라마 은애하는 도적님아 싸인해주는 홍민기 배우 퇴근길 #홍민기 #은애하는도적님아 #kbs드라마,뚝딱이 PD,2026-01-03T14:23:08Z,PT42S,Shorts,1255,5,0
vDVyqNsFr7I,https://www.youtube.com/watch?v=vDVyqNsFr7I,신이 사람에게 준 선물 #은애하는도적님아,케슛슛,2026-01-07T12:31:40Z,PT1M,Shorts,1585,8,0
bOpX7l4Q3jk,https://www.youtube.com/watch?v=bOpX7l4Q3jk,은애하는 도적님아 3회4회예고# drama #kdrama #kbs #KBS2 #드라마 #한국드라마 #드라마예고 #예상줄거리 #은애하는도적님아 @픽무비박,픽무비박,2026-01-06T16:30:31Z,PT17S,Shorts,933,3,0
X6uqrjks-Po,https://www.youtube.com/watch?v=X6uqrjks-Po,은애하는 도적님아 3회4회예고# drama #kdrama #kbs #KBS2 #드라마 #한국드라마 #드라마예고 #예상줄거리 #은애하는도적님아 @픽무비박,픽무비박,2026-01-06T16:15:04Z,PT4M58S,Clip,367,5,0
WS8u7jVOY9U,https://www.youtube.com/watch?v=WS8u7jVOY9U,2025 HA SUNG WOON FANMEETING 은애하는 도적님아 ost #하성운 #HASUNGWOON #팬미팅 #ost #은애하는도적님아 #lovingyou #하늘,caramelmilk,2026-01-05T13:57:17Z,PT40S,Shorts,530,10,0
7SO_-Pq9pHw,https://www.youtube.com/watch?v=7SO_-Pq9pHw,내 남편이 60대 노인? #은애하는도적님아,케슛슛,2026-01-07T10:00:11Z,PT42S,Shorts,17995,64,0
h7xUfIZIGYk,https://www.youtube.com/watch?v=h7xUfIZIGYk,꼭 너여야만 했느냐? #은애하는도적님아,2Scene어때,2026-01-07T09:01:12Z,PT52S,Shorts,16,1,0
CZv4XTdMzDY,https://www.youtube.com/watch?v=CZv4XTdMzDY,whatttttt🤭🤭 #tomybelovedthief #moonsangmin #hongmingi #kdrama #은애하는도적님아 #hongminki,YoYo ,2026-01-04T12:44:46Z,PT58S,Shorts,24,1,0
LzTBKANu7yk,https://www.youtube.com/watch?v=LzTBKANu7yk,내 여친 지키는 내 남친 #은애하는도적님아,케슛슛,2026-01-07T10:30:15Z,PT56S,Shorts,3194,2,0
