video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
stzipb163zA,https://www.youtube.com/watch?v=stzipb163zA,Couples indeed #choisooyoung #최수영 #jungkyungho #정경호,DramaVert,2025-03-05T14:30:29Z,PT13S,Shorts,17708265,341970,274
JfBVCgq1O28,https://www.youtube.com/watch?v=JfBVCgq1O28,홍어 처음 먹는 사람 찐반응ㅋㅋㅋㅋ #짠한형 #설인아 #차학연 #정경호,일분컷,2025-05-20T14:10:00Z,PT1M,Shorts,11127947,74546,2298
wAZb5xOQJBY,https://www.youtube.com/watch?v=wAZb5xOQJBY,새우 논쟁ㅋㅋㅋ #shorts #아이돌,더+이슈,2025-04-19T06:30:30Z,PT55S,Shorts,5616353,59623,158
CzcCW3eXQMM,https://www.youtube.com/watch?v=CzcCW3eXQMM,[ENG SUB] 정경호 설인아 차학연 {짠한형} EP. 92 이 회차 대화 없음. 그냥 정경호만 있음ㅋㅋ(혼자만의 세계관이 있었어요),짠한형 신동엽,2025-05-12T09:00:07Z,PT47M58S,Clip,2139470,25136,1494
1MZ_juyUh2A,https://www.youtube.com/watch?v=1MZ_juyUh2A,poor kid.🤣🤣 #hospitalplaylist #kdrama #유연석 #조정석 #전미도 #정경호 #김대명 #안은진 #edit #fyp #shorts #shortvideo,Inside Asia with Alex,2025-04-16T13:00:03Z,PT47S,Shorts,2712001,81070,352
yAQXvxP2-K8,https://www.youtube.com/watch?v=yAQXvxP2-K8,[ENG] 그냥 아는 경호 오빠랑 낮술 한잔 했습니다 / 밥사효2 EP.16 정경호 편,효연의 레벨업 Hyo's Level Up,2025-12-10T09:01:42Z,PT24M31S,Clip,1302402,15565,473
jWAbfc60F6I,https://www.youtube.com/watch?v=jWAbfc60F6I,🔥3시간 순삭!!🔥무려 30년을 뛰어넘는 개꿀잼 타임슬립 레트로 수사극!! 결말까지 몰아보기,드라마니아,2025-04-22T08:00:58Z,PT3H1M42S,Clip,913071,5452,134
fFo-3l3lRuA,https://www.youtube.com/watch?v=fFo-3l3lRuA,첫.손님은 너무 어!려!워! ☕️유바리토크바리 | 영업 1일차 | 정경호 설인아 차학연 (EN),유연석의 '주말연석극',2025-05-24T13:10:36Z,PT43M9S,Clip,658267,16143,1305
tX0vAuW_2V4,https://www.youtube.com/watch?v=tX0vAuW_2V4,돈 많다고 함부로 밥 사주면 안 되는 이유,1분순삭,2025-12-10T13:16:18Z,PT1M14S,Clip,825935,8181,348
8dFAVKBe_Tw,https://www.youtube.com/watch?v=8dFAVKBe_Tw,"밑바닥 출신이라 개 독종에 성공지향, 기회주의 천재 판사가 불의에 개빡쳐서 프로보노(무료변론) 변호사가 돼버렸다? 판사출신이라 모든사건의 공략법을 꿰뚫어보는 사기스펙 변호사 등장!",고몽,2025-12-09T08:01:58Z,PT23M55S,Clip,498185,2919,366
wsC1fMu6JvE,https://www.youtube.com/watch?v=wsC1fMu6JvE,조정석이 날 당황하게 한 순간,하루한쪼가리,2025-05-26T21:01:03Z,PT48S,Shorts,856825,3101,29
vvExQKzd6h8,https://www.youtube.com/watch?v=vvExQKzd6h8,형님 오셨습니까! #보스 #절찬상영중 #이성민 #박지환 #정경호 #조우진 #영화 #추석영화,무비콕 (Movie cok),2025-10-07T03:45:05Z,PT47S,Shorts,711389,4362,123
UFBD-LNVlc0,https://www.youtube.com/watch?v=UFBD-LNVlc0,세상에 이런 일이💥 심장 이식 후 베테랑 형사로 빙의해 진범까지 잡는 상위 0.001% 초능력자 정경호👀｜순정에 반하다｜JTBC 150523 방송 외,DRAMA Voyage,2025-02-28T01:47:43Z,PT1H52M54S,Clip,404572,2285,30
snIgjIxJwtw,https://www.youtube.com/watch?v=snIgjIxJwtw,정경호가 슬의생 촬영이 힘들었던 이유,이것저것그것,2025-05-12T11:29:58Z,PT37S,Shorts,589643,5371,31
oq9pnziXXSs,https://www.youtube.com/watch?v=oq9pnziXXSs,𝑫𝒐𝒄𝒕𝒐𝒓! 𝑫𝒐𝒄𝒕𝒐𝒓! #정경호 선생님 Help me! 🫢 It's the L-O-V-Emergency ❤‍🩹,ZEROBASEONE,2025-01-20T13:01:07Z,PT18S,Shorts,279052,48750,406
