video_id,video_title,shortType,comment_id,parent_id,isReply,author,text,publishedAt,likeCount
mDqA0GSjGgc,"#판사이한영 지성 VS 엄마, 너 보이스피싱이지? #MBC #지성 #박희순 #원진아 #ZbjG1",Shorts,Ugx3TJsLajG5Ivc_dPJ4AaABAg,,0,@Imhere-bm3rr,진짜 모자같다.,2026-01-07T00:24:52Z,0
mDqA0GSjGgc,"#판사이한영 지성 VS 엄마, 너 보이스피싱이지? #MBC #지성 #박희순 #원진아 #ZbjG1",Shorts,UgwBGRS3Op_Vtu6ipr54AaABAg,,0,@김재임-y7b,장난ㅡ하는거,2026-01-06T13:30:01Z,0
mDqA0GSjGgc,"#판사이한영 지성 VS 엄마, 너 보이스피싱이지? #MBC #지성 #박희순 #원진아 #ZbjG1",Shorts,UgyQHpz1DYVTdbU7Eel4AaABAg,,0,@mjsuk670,얼마나 전화를 안했으면 저러냐?,2026-01-06T11:39:46Z,30
mDqA0GSjGgc,"#판사이한영 지성 VS 엄마, 너 보이스피싱이지? #MBC #지성 #박희순 #원진아 #ZbjG1",Shorts,UgyQHpz1DYVTdbU7Eel4AaABAg.ARdFV7D6oW9ARdUmAporkx,UgyQHpz1DYVTdbU7Eel4AaABAg,1,@이경석-w7r,저거 드라마는 모르겠는데 원작웹툰은 저판사가 재벌집막내마냥 과거로 회귀하는 내용이라서 엄마목소리 그리워서 전화한거임,2026-01-06T13:53:18Z,0
mDqA0GSjGgc,"#판사이한영 지성 VS 엄마, 너 보이스피싱이지? #MBC #지성 #박희순 #원진아 #ZbjG1",Shorts,UgwGtax_4Z-pdIc2dMN4AaABAg,,0,@김길태-e2e,어머니좀신경쓰지,2026-01-06T02:18:58Z,18
mDqA0GSjGgc,"#판사이한영 지성 VS 엄마, 너 보이스피싱이지? #MBC #지성 #박희순 #원진아 #ZbjG1",Shorts,UgyfK0vJ2HjYAX1B9XF4AaABAg,,0,@aoch5766,그럼 뭐라불렀지? 애미야 라고 불렀나,2026-01-04T23:47:53Z,17
mDqA0GSjGgc,"#판사이한영 지성 VS 엄마, 너 보이스피싱이지? #MBC #지성 #박희순 #원진아 #ZbjG1",Shorts,UgyfK0vJ2HjYAX1B9XF4AaABAg.AR_PEHX3VabARaLzSaHAln,UgyfK0vJ2HjYAX1B9XF4AaABAg,1,@사울-hp2fm7rx2c,엄마,2026-01-05T08:38:45Z,6
mDqA0GSjGgc,"#판사이한영 지성 VS 엄마, 너 보이스피싱이지? #MBC #지성 #박희순 #원진아 #ZbjG1",Shorts,UgyfK0vJ2HjYAX1B9XF4AaABAg.AR_PEHX3VabARcHqGun5uK,UgyfK0vJ2HjYAX1B9XF4AaABAg,1,@야후-e6j,"여사님~
이렇게 불렀더라구요~",2026-01-06T02:41:02Z,0
mDqA0GSjGgc,"#판사이한영 지성 VS 엄마, 너 보이스피싱이지? #MBC #지성 #박희순 #원진아 #ZbjG1",Shorts,UgyfK0vJ2HjYAX1B9XF4AaABAg.AR_PEHX3VabARcaCdl109p,UgyfK0vJ2HjYAX1B9XF4AaABAg,1,@안침착맨-m6h,느금...,2026-01-06T05:30:14Z,0
Euocv-QeJ4A,마지막까지 믿어보고 싶었던 어머니 #황영희 #판사이한영 #MBC #지성 #박희순 #원진아 #ZbjG1,Shorts,UgwDX1InIXsMmpoQIup4AaABAg,,0,@푸른바다사랑76,"요새는 판가, 검사 나오는 책, 드라마 다 별로라 멀리하고 있다. 아무리 소설 ㄷ라마라도 현실과의 괴리가 심해서",2026-01-07T03:45:08Z,0
Euocv-QeJ4A,마지막까지 믿어보고 싶었던 어머니 #황영희 #판사이한영 #MBC #지성 #박희순 #원진아 #ZbjG1,Shorts,UgxQC3p4dXq8f04lDGx4AaABAg,,0,@user-zj8zl3pb3b,"사법고시
부활해야함",2026-01-07T03:32:35Z,2
