video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
Qu_1l_IZ1gM,https://www.youtube.com/watch?v=Qu_1l_IZ1gM,지성이 대형로펌 딸내미와 이혼하는 방법 ㄷㄷ #판사이한영 #MBC #지성 #박희순 #원진아 #ZbjG1,엔터키,2026-01-02T23:59:00Z,PT40S,Shorts,4427390,26474,716
XGE7uwD8Pg4,https://www.youtube.com/watch?v=XGE7uwD8Pg4,징역6년 벌금120억으로 만족해? #판사이한영 #MBC #지성 #박희순 #원진아 #MBC금토드라마 #ZbjG1,숏까네,2026-01-03T07:20:24Z,PT59S,Shorts,1207833,6300,374
3enNIaUimZM,https://www.youtube.com/watch?v=3enNIaUimZM,"사상 최초 ""비리 판사""라는 역대급 소재로, 시청률 개떡상중인 2026 새해 최고의 신작 ≪판사 이한영≫",지무비 : G Movie,2026-01-04T01:01:25Z,PT39M15S,Clip,556552,3886,608
w-6h8wrk5xA,https://www.youtube.com/watch?v=w-6h8wrk5xA,같은 편도 속이는 연막작전 #김동준 #판사이한영 #MBC #지성 #박희순 #원진아 #ZbjG1,시스코드,2026-01-04T00:03:00Z,PT1M,Shorts,930298,3443,235
O_wjuNyBXRM,https://www.youtube.com/watch?v=O_wjuNyBXRM,"#판사이한영 지성 VS 아내, 돈이면 다 되는 줄 알아? #MBC #지성 #박희순 #원진아 #ZbjG1",엔터키,2026-01-04T12:57:01Z,PT28S,Shorts,1031468,3461,130
WRs7GWvWimA,https://www.youtube.com/watch?v=WRs7GWvWimA,"인생 2회 차, ""배우 지성""이 10년 전 과거로 회귀했는데, 미래를 아는 IQ190 + 얼짱 + 판사가 됐다..! 노예 판사로 부려먹던 비리 갑질 나쁜놈들 재판으로 참교육 ㄷㄷ",김시선,2026-01-04T01:00:45Z,PT39M36S,Clip,357926,2303,347
Euocv-QeJ4A,https://www.youtube.com/watch?v=Euocv-QeJ4A,마지막까지 믿어보고 싶었던 어머니 #황영희 #판사이한영 #MBC #지성 #박희순 #원진아 #ZbjG1,시스코드,2026-01-03T12:30:31Z,PT58S,Shorts,608228,3082,56
mDqA0GSjGgc,https://www.youtube.com/watch?v=mDqA0GSjGgc,"#판사이한영 지성 VS 엄마, 너 보이스피싱이지? #MBC #지성 #박희순 #원진아 #ZbjG1",엔터키,2026-01-04T10:31:00Z,PT31S,Shorts,597409,1818,9
daOZK_GCrWY,https://www.youtube.com/watch?v=daOZK_GCrWY,와.. 지성 개판사 연기 미쳤다ㅋㅋ 비리판결로 인생 종친 판사가 회귀하여 인생의 속죄를 위해 범죄자는 무조건 사형시켜버리는 개쩌는 사이다 회귀물 떴다 [판사 이한영],고몽,2026-01-04T01:01:01Z,PT37M38S,Clip,244702,1560,363
m0iF4zDtUrI,https://www.youtube.com/watch?v=m0iF4zDtUrI,#판사이한영 비리 부장판사 지성의 최후 ㄷㄷ #MBC #지성 #박희순 #원진아 #ZbjG1,엔터키,2026-01-02T22:55:00Z,PT47S,Shorts,438295,923,43
