video_id,video_title,shortType,comment_id,parent_id,isReply,author,text,publishedAt,likeCount
6k0JZUDY4l0,[#프로보노] 임원으로 부당한 업무를 맡느니 내 회사를 설립한다⭐ 결국 새 로펌 세운 강다윗 | #산지직송,Clip,Ugwt0l0Q1L-C4SinfE94AaABAg,,0,@DiggleClassic,"💥 충격 💥 주먹보다 강한 법 진짜 있음❗

신입 변호사로 다시 태어난 정경호와
공익 전담 팀 프로보노의 
정의 구현 법정 팀플레이 ⚖🥊

tvN  〈프로보노〉",2026-01-13T08:53:34Z,2
WdogkVKFV7M,[#프로보노] 그토록 원하던 대법관 제안도 거절했다?!🫸 만천하에 오규장 녹취록 공개하고 실체 폭로한 강다윗😏,Clip,Ugxryo2rcw2ggrTvOW54AaABAg,,0,@Diggle,"출세에 목맨 속물 판사, 본의 아니게 공익변호사 되다(?)! 
초대형 로펌 구석방, 매출 제로 공익팀에 갇힌 전직 판사의 좌충우돌 휴먼 법정물

tvN 〈프로보노〉

#tvN #프로보노 #PROBONO
#정경호 #소주연 #이유영 #윤나무 #서혜원 #강형석
#같이달려tvN #스트리밍은TVING",2026-01-13T06:49:49Z,1
1y7GKRUlxiM,[#프로보노] 더러운 거래의 대상이 되는 자리? 줘도 안 가집니다^^ 법정에서 김갑수의 실체 폭로한 정경호ㄷㄷ | #번개클립,Clip,UgwYkalFdnsfDZlHMdN4AaABAg,,0,@꿈똘이-d5y,우리 산수 출세했구나😊,2026-01-13T12:01:59Z,0
rEcye3iDLRM,[#프로보노] 자고로 판사라면 공평해야지~ 판사의 경고에도 당당히 할 말 하는 강다윗 | #산지직송,Clip,UgwWNr9eLG3YgUVU9Hd4AaABAg,,0,@DiggleClassic,"💥 충격 💥 주먹보다 강한 법 진짜 있음❗

신입 변호사로 다시 태어난 정경호와
공익 전담 팀 프로보노의 
정의 구현 법정 팀플레이 ⚖🥊

tvN  〈프로보노〉",2026-01-13T08:53:15Z,0
rEcye3iDLRM,[#프로보노] 자고로 판사라면 공평해야지~ 판사의 경고에도 당당히 할 말 하는 강다윗 | #산지직송,Clip,Ugzzf7IHIockdP5fO3J4AaABAg,,0,@강쥐냥이2025,"새끼 공변들 보면 속터져
알지도 못하면서 진상 떨고
팀이 아니고 방청객 모드
그러다 이기면 엄지척
저런 능력도 없으면서 공명심만 가득한 케이스들이 저렇게 공변하다 정치하면서 욕심 부리고 나라 망치지",2026-01-14T01:38:31Z,0
rEcye3iDLRM,[#프로보노] 자고로 판사라면 공평해야지~ 판사의 경고에도 당당히 할 말 하는 강다윗 | #산지직송,Clip,UgztfpFepqzWMMaty9h4AaABAg,,0,@c2g-q9x,강원철 검사장님?,2026-01-13T14:08:45Z,1
rEcye3iDLRM,[#프로보노] 자고로 판사라면 공평해야지~ 판사의 경고에도 당당히 할 말 하는 강다윗 | #산지직송,Clip,UgxzY_9Vs-O4U41PTMN4AaABAg,,0,@qhadloo22,나는 판사라는 사람 믿도 안해 엄청나다 이 세상 미친 드라마 판사가 더 낫다,2026-01-13T11:32:06Z,0
0u1uVU_6AeU,[#프로보노] 프로보노 팀의 계획에 완벽히 걸려들었다 ^ㅁ^ AI로 조작한 영상에 제대로 이간질당한 두 사람💢,Clip,UgxwwYgk5Bhyl--SoN14AaABAg,,0,@Diggle,"출세에 목맨 속물 판사, 본의 아니게 공익변호사 되다(?)! 
초대형 로펌 구석방, 매출 제로 공익팀에 갇힌 전직 판사의 좌충우돌 휴먼 법정물

tvN 〈프로보노〉

#tvN #프로보노 #PROBONO
#정경호 #소주연 #이유영 #윤나무 #서혜원 #강형석
#같이달려tvN #스트리밍은TVING",2026-01-13T06:49:33Z,0
byTB8k6VWIg,프로보노 최종리뷰! : 법은 누구의 편인가? 우리 사회에 묵직한 울림을 남긴 결말😭 #프로보노 #드라마리뷰 #드라마결말,Clip,UgzdAQO10tX2u4wDLiB4AaABAg,,0,@순대렐라-x2j,시즌2 나와라,2026-01-13T18:25:14Z,1
byTB8k6VWIg,프로보노 최종리뷰! : 법은 누구의 편인가? 우리 사회에 묵직한 울림을 남긴 결말😭 #프로보노 #드라마리뷰 #드라마결말,Clip,UgzdAQO10tX2u4wDLiB4AaABAg.ARw-T-zOUC9ARwwBEOLTZz,UgzdAQO10tX2u4wDLiB4AaABAg,1,@드라마스포하는늘하랑,저도 나왔으면 좋겠어요 법정드라마 치고 너무 무겁지도 너무 가볍지도 않아서 좋았거든요,2026-01-14T03:07:06Z,0
