video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
rEcye3iDLRM,https://www.youtube.com/watch?v=rEcye3iDLRM,[#프로보노] 자고로 판사라면 공평해야지~ 판사의 경고에도 당당히 할 말 하는 강다윗 | #산지직송,디글 클래식 :Diggle Classic,2026-01-13T08:01:18Z,PT9M57S,Clip,10278,40,4
6k0JZUDY4l0,https://www.youtube.com/watch?v=6k0JZUDY4l0,[#프로보노] 임원으로 부당한 업무를 맡느니 내 회사를 설립한다⭐ 결국 새 로펌 세운 강다윗 | #산지직송,디글 클래식 :Diggle Classic,2026-01-13T08:01:17Z,PT9M43S,Clip,8652,49,1
0u1uVU_6AeU,https://www.youtube.com/watch?v=0u1uVU_6AeU,[#프로보노] 프로보노 팀의 계획에 완벽히 걸려들었다 ^ㅁ^ AI로 조작한 영상에 제대로 이간질당한 두 사람💢,디글 :Diggle,2026-01-13T05:30:00Z,PT9M4S,Clip,4889,24,1
WdogkVKFV7M,https://www.youtube.com/watch?v=WdogkVKFV7M,[#프로보노] 그토록 원하던 대법관 제안도 거절했다?!🫸 만천하에 오규장 녹취록 공개하고 실체 폭로한 강다윗😏,디글 :Diggle,2026-01-13T05:31:00Z,PT9M4S,Clip,2873,14,1
agiCBZtDoFw,https://www.youtube.com/watch?v=agiCBZtDoFw,[#프로보노] ⭐우리 이제부터 독립합니다⭐ 새로 설립한 공익 로펌에서 화려하게 다시 출발하는 TEAM 프로보노 ❛‿˂̵✧ | #번개클립,tvN D ENT,2026-01-13T08:00:05Z,PT8M15S,Clip,2271,14,0
1y7GKRUlxiM,https://www.youtube.com/watch?v=1y7GKRUlxiM,[#프로보노] 더러운 거래의 대상이 되는 자리? 줘도 안 가집니다^^ 법정에서 김갑수의 실체 폭로한 정경호ㄷㄷ | #번개클립,tvN D ENT,2026-01-13T08:00:03Z,PT9M9S,Clip,1693,12,1
byTB8k6VWIg,https://www.youtube.com/watch?v=byTB8k6VWIg,프로보노 최종리뷰! : 법은 누구의 편인가? 우리 사회에 묵직한 울림을 남긴 결말😭 #프로보노 #드라마리뷰 #드라마결말,늘하랑,2026-01-13T17:16:04Z,PT3M,Clip,1826,7,2
USmraC6tqFk,https://www.youtube.com/watch?v=USmraC6tqFk,"정지소 논란의 진짜 배후, 충격 반전 #드라마 #드라마추천 #배우정보 #드라마리뷰 #드라마정보 #드라마프로보노 #프로보노 #정경호 #넷플릭스 #넷플릭스드라마 #정지소 #소주연",님들그거아심?,2026-01-13T15:01:04Z,PT35S,Shorts,2108,5,0
fntdY7ty7mc,https://www.youtube.com/watch?v=fntdY7ty7mc,[Mr. Coffee รีวิว] คลิปเสียง รีวิวซีรีส์ Pro Bono สู้สุดใจทนายอาสา,Mr. Coffee KDrama Review,2026-01-13T09:31:53Z,PT3M,Clip,364,0,0
gcIFsibCJLI,https://www.youtube.com/watch?v=gcIFsibCJLI,"프로보노 최종리뷰! : 거대 로펌 박차고 나간 강다윗, 그가 선택한 '진짜 정의'의 정체👍 #프로보노 #드라마리뷰 #드라마결말",늘하랑,2026-01-13T17:16:00Z,PT15M33S,Clip,38,1,0
