video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
jCbg3YdMXdw,https://www.youtube.com/watch?v=jCbg3YdMXdw,정경호가 추는 소원을 말해봐🕺ㅣTVINGㅣ#프로보노 #PROBONO,TVING,2025-12-29T10:15:03Z,PT40S,Shorts,26413,161,4
OFysILBgWlA,https://www.youtube.com/watch?v=OFysILBgWlA,뇌물 수수 사건의 진실🍎수면 마취? #프로보노,멜있슈,2025-12-29T05:15:01Z,PT54S,Shorts,9203,67,0
iZa3FLT7bxA,https://www.youtube.com/watch?v=iZa3FLT7bxA,해체 위기의 프로보노 팀 🔥마지막 기회 #프로보노,멜있슈,2025-12-29T07:01:02Z,PT59S,Shorts,7951,54,0
CYdC9X9P22M,https://www.youtube.com/watch?v=CYdC9X9P22M,가족이라서 처벌할 수 없다고요? 🤬ㅣTVINGㅣ#프로보노 #PROBONO,TVING,2025-12-29T10:05:00Z,PT56S,Shorts,9654,59,0
2tUwtdXmzmU,https://www.youtube.com/watch?v=2tUwtdXmzmU,tvN 프로보노 이원종배우 #이원종 #프로보노 #tvn #broomstick #브룸스틱 #드라마 #kdrama,브룸스틱 broomstick,2025-12-29T10:08:36Z,PT59S,Shorts,3680,24,2
CwbXfaftZHI,https://www.youtube.com/watch?v=CwbXfaftZHI,충격에 빠진 팀원들 #프로보노,드라마디포,2025-12-30T01:24:05Z,PT35S,Shorts,1363,3,0
ORJej8hbxO0,https://www.youtube.com/watch?v=ORJej8hbxO0,유기견 첫 사건으로 프로보노 팀을 살린 강다윗,시네버스JK,2025-12-29T09:00:43Z,PT1M4S,Clip,1810,3,0
fSzh7G_EpWU,https://www.youtube.com/watch?v=fSzh7G_EpWU,VOCÊ PRECISA ASSISTIR ESSE DORAMA: PRO BONO! #dorama #viral,Papo Dorameira 🌸,2025-12-29T23:39:08Z,PT3M1S,Clip,2086,0,0
GA5YFLDRqUY,https://www.youtube.com/watch?v=GA5YFLDRqUY,다들 날 어떻게 생각한 겁니까 #프로보노,멜있슈,2025-12-29T09:00:34Z,PT31S,Shorts,1309,3,0
SIrRbBymwlM,https://www.youtube.com/watch?v=SIrRbBymwlM,프로보노9회10회예고#drama #kdrama #tvN #드라마 #한국드라마 #드라마예고 #예상줄거리#프로보노 @픽무비박,픽무비박,2025-12-29T23:00:41Z,PT19S,Shorts,1746,4,0
NrCMm7mVABU,https://www.youtube.com/watch?v=NrCMm7mVABU,하나님 고소하겠단 소년 웅산재단을 겨냥한 강다윗 프로보노 3화 요약,시네버스JK,2025-12-30T09:00:44Z,PT1M10S,Clip,1636,3,0
27jREtXmi7A,https://www.youtube.com/watch?v=27jREtXmi7A,[9화 예고] 유재범이 10년 동안 설계한 복수의 진실 #프로보노,리뷰하는 직장인,2025-12-29T05:11:06Z,PT2M,Clip,136,0,0
gT2mZaDa25A,https://www.youtube.com/watch?v=gT2mZaDa25A,🔥프로보노🔥옌예계의 어두운 이면🔥#정경호 #소주연 #정지소,K-Drama Hub,2025-12-30T16:49:50Z,PT1M,Shorts,2009,1,0
6YHgv-7sDoA,https://www.youtube.com/watch?v=6YHgv-7sDoA,🔥프로보노🔥츤데레 정의 판사 강다윗🔥#정경호 #소주연 #정지소,K-Drama Hub,2025-12-30T22:55:30Z,PT58S,Shorts,369,1,0
qVG0ATWuRSU,https://www.youtube.com/watch?v=qVG0ATWuRSU,[프로보노 9화 예고 뇌피셜] 🔥👿 최종빌런 유재범 등장!👿🔥 10년을 갈아 넣은 복수전..위기의 강다윗 💣 #프로보노,엔딩요정씬,2025-12-30T07:46:04Z,PT5M10S,Clip,336,1,0
u1cTgcNaA6U,https://www.youtube.com/watch?v=u1cTgcNaA6U,🔥[프로보노 7-8화 리뷰] 🔥연예계의 빛나는 무대 뒤 어두운 진실을 파헤친다🔥줄거리 분석/예측🔥#정경호 #소주연 #정지소,K-Drama Hub,2025-12-30T16:49:01Z,PT7M,Clip,7,0,0
INgzQk3MCuY,https://www.youtube.com/watch?v=INgzQk3MCuY,앞에선 다정했던 엄마가 사생활을 폭로했다❓❗#프로보노,샾잉 #ing,2025-12-30T08:06:00Z,PT55S,Shorts,3921,16,0
kM8VGewqtg0,https://www.youtube.com/watch?v=kM8VGewqtg0,그렇게 말 많던 악플러도 입 다물게 한 정경호의 질문💥 #프로보노,샾잉 #ing,2025-12-30T08:05:00Z,PT59S,Shorts,20750,67,2
4XAdo7ANScU,https://www.youtube.com/watch?v=4XAdo7ANScU,연예인 딸 위해서 열애설 폭로했다는 엄마..🙄💨#프로보노,샾잉 #ing,2025-12-30T08:04:00Z,PT46S,Shorts,9957,30,1
1OnfT0XjqR4,https://www.youtube.com/watch?v=1OnfT0XjqR4,국민 여동생의 브랜드 가치..❓사람을 상품으로만 보는 사람들 #프로보노,샾잉 #ing,2025-12-30T08:03:00Z,PT45S,Shorts,5498,23,1
RiiNHmo_prE,https://www.youtube.com/watch?v=RiiNHmo_prE,학벌로 밀리는 프로보노즈..👀 #프로보노,샾잉 #ing,2025-12-30T08:02:00Z,PT51S,Shorts,1446,17,0
KMexgkr55_A,https://www.youtube.com/watch?v=KMexgkr55_A,친동생의 돈 빼돌린 오빠🤬 #프로보노,샾잉 #ing,2025-12-30T08:01:20Z,PT59S,Shorts,11642,91,1
9g3visAgLU0,https://www.youtube.com/watch?v=9g3visAgLU0,자기만 살자고 딸 나락 보내려던 엄마 제대로 참교육당함ㅋㅋ #프로보노,샾잉 #ing,2025-12-30T08:00:17Z,PT58S,Shorts,1601,10,0
Qm-HxH_Vqjg,https://www.youtube.com/watch?v=Qm-HxH_Vqjg,친엄마가 직접 제보한 탑스타의 열애설😢#프로보노,디글 :Diggle,2025-12-30T07:36:00Z,PT55S,Shorts,6832,21,0
fjbwP-ZlyZw,https://www.youtube.com/watch?v=fjbwP-ZlyZw,아이돌이기 전에 사람이에요😥 #프로보노,디글 :Diggle,2025-12-30T07:35:01Z,PT45S,Shorts,4370,23,0
gr6nwnmlwMM,https://www.youtube.com/watch?v=gr6nwnmlwMM,공인...공인....그래서 공인이 뭔지는 압니까🥊 #프로보노,디글 :Diggle,2025-12-30T07:34:00Z,PT59S,Shorts,3965,22,0
mM2fdeJO5Do,https://www.youtube.com/watch?v=mM2fdeJO5Do,부모라는 이유로 딸 인생을 망쳐놓은 엄마🤬 #프로보노,디글 :Diggle,2025-12-30T07:33:00Z,PT46S,Shorts,5873,25,0
RYcBukpe_ls,https://www.youtube.com/watch?v=RYcBukpe_ls,아무리 의뢰인이지만 이런 것까지 물어본다고...? #프로보노,디글 :Diggle,2025-12-30T07:32:00Z,PT51S,Shorts,2195,9,0
0yMeywHOeJg,https://www.youtube.com/watch?v=0yMeywHOeJg,강다윗 변호사의 영원한 아이돌은 누구...❓ #프로보노,tvN DRAMA,2025-12-30T11:06:00Z,PT14S,Shorts,88165,421,11
AinottcDV3g,https://www.youtube.com/watch?v=AinottcDV3g,지는 것이 꼭 후퇴는 아니니까🌟 #프로보노,tvN DRAMA,2025-12-30T11:05:00Z,PT33S,Shorts,8079,47,0
xjtPwG0cRqg,https://www.youtube.com/watch?v=xjtPwG0cRqg,시대가 변하면 법도 바뀌어야 하는 이유💥 #프로보노,tvN DRAMA,2025-12-30T11:04:00Z,PT59S,Shorts,8847,70,0
oLS-YFtYt6Y,https://www.youtube.com/watch?v=oLS-YFtYt6Y,더 이상 가족이라는 이름으로 범죄를 덮어서는 안 됩니다🌟 #프로보노,tvN DRAMA,2025-12-30T11:03:00Z,PT1M,Shorts,8564,47,0
tPDWLJHUFAE,https://www.youtube.com/watch?v=tPDWLJHUFAE,내 최애도 감동한 나의 꿈✨ #프로보노,tvN DRAMA,2025-12-30T11:02:01Z,PT50S,Shorts,1490,20,0
SiXDpCovmmo,https://www.youtube.com/watch?v=SiXDpCovmmo,나를 믿어주는 나의 동료💟 #프로보노,tvN DRAMA,2025-12-30T11:02:00Z,PT49S,Shorts,1297,7,0
liBUOMN9nFE,https://www.youtube.com/watch?v=liBUOMN9nFE,고민을 함께 나눌 동료가 생겼다..🌟 #프로보노,tvN DRAMA,2025-12-30T11:01:34Z,PT58S,Shorts,5098,25,0
