video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
wGEeOlUL2IU,https://www.youtube.com/watch?v=wGEeOlUL2IU,"와..이태원클라쓰 감독이 ""실제 판사 출신 작가""와 각 잡고 만든 2025 역대급 법정드라마..",지무비 : G Movie,2025-12-09T14:01:41Z,PT23M41S,Clip,854108,5819,563
FODPU7NqiFM,https://www.youtube.com/watch?v=FODPU7NqiFM,시총 수조원 재벌제국의 황제회장에게 들이댄 공익변호사가 하필 초엘리트 판사출신 돌+I 정경호였을때 벌어지는 일 [프로보노] 3-4회,고몽,2025-12-15T13:10:00Z,PT23M38S,Clip,224799,1187,188
02mqij4WbPY,https://www.youtube.com/watch?v=02mqij4WbPY,정경호 발성&딕션 뭔데.. 귀에 바로 꽂아 넣는 700억 판결문! #프로보노,엔딩요정씬,2025-12-09T04:58:58Z,PT1M,Shorts,201479,1016,101
QlUijL5t2h8,https://www.youtube.com/watch?v=QlUijL5t2h8,[#프로보노] 본인이 쓴 악플 직.접 읽어드립니다^^ 뻔뻔한 악플러 말문 막히게 만드는 정경호의 참교육⚡ | #번개클립,tvN D ENT,2025-12-27T15:30:28Z,PT9M32S,Clip,106205,421,28
lQ-2ZlstaeE,https://www.youtube.com/watch?v=lQ-2ZlstaeE,[#프로보노] 기적같이 만난 인연에서 가족으로?!🫂 재판 중에 입양 선언하는 회장님ㄷㄷ | #번개클립,tvN D ENT,2025-12-14T15:31:01Z,PT8M32S,Clip,77447,391,59
bEh2K-tjSIg,https://www.youtube.com/watch?v=bEh2K-tjSIg,"판사 이원종의 인정, 정경호의 완벽 변호 #프로보노 EP.6 | tvN 251221 방송",tvN DRAMA,2025-12-21T13:24:16Z,PT3M26S,Clip,74176,492,117
G5wrVjzGIRw,https://www.youtube.com/watch?v=G5wrVjzGIRw,[#프로보노] 뛰는 최대훈 위에 나는 정경호🔥 손에 땀을 쥐게 하는 치열한 법정 싸움ㄷㄷ | #번개클립,tvN D ENT,2025-12-28T15:30:09Z,PT9M58S,Clip,61838,222,11
GBpCX_eDijU,https://www.youtube.com/watch?v=GBpCX_eDijU,드러난 이면.. 소속사 대표 엄마의 비밀 #프로보노 EP.8 | tvN 251228 방송,tvN DRAMA,2025-12-28T13:27:39Z,PT3M43S,Clip,61724,317,35
AFpf5f2Hvqw,https://www.youtube.com/watch?v=AFpf5f2Hvqw,처벌 못 합니다. #프로보노,드라마디포,2025-12-28T09:19:52Z,PT34S,Shorts,84525,648,20
0fGy4NVgs90,https://www.youtube.com/watch?v=0fGy4NVgs90,[#프로보노] 이대로 궁지에 몰릴 프로보노 팀이 아님^^ 재판의 흐름을 완전히 뒤바꿔 놓은 정경호의 결정적 증거😮 | #번개클립,tvN D ENT,2025-12-13T15:31:00Z,PT9M29S,Clip,42706,162,1
3HxwrD7NfBY,https://www.youtube.com/watch?v=3HxwrD7NfBY,"정경호가 요청한 현장 검증, 휠체어 타고 출근하는 판사 #프로보노 EP.4 | tvN 251214 방송",tvN DRAMA,2025-12-14T12:42:47Z,PT3M33S,Clip,38811,119,20
ugp5UC6oygs,https://www.youtube.com/watch?v=ugp5UC6oygs,[#프로보노] 법인 카드에 아파트까지 바쳤다 ㄷㄷ💳 남자에게 미쳐 딸이 번 돈을 애먼 데 쓴 엄마😩,디글 :Diggle,2025-12-28T15:31:00Z,PT9M17S,Clip,38529,145,11
X_Yoers7rNI,https://www.youtube.com/watch?v=X_Yoers7rNI,[#프로보노] 툭 건드니까 술술 불던데? 상대 변호사에게 핵심 정보 캔 정경호ㄷㄷ | #산지직송,디글 클래식 :Diggle Classic,2025-12-28T15:30:34Z,PT7M56S,Clip,36793,145,5
pUlIzmZxOIw,https://www.youtube.com/watch?v=pUlIzmZxOIw,프로보노에서도 계속되는 사랑꾼 정경호 🌹 #프로보노 #정경호 #소녀시대 #소원을말해봐 #수영,뫄봐TV,2025-12-28T01:50:24Z,PT12S,Shorts,85240,423,21
8JMmAEKXPOw,https://www.youtube.com/watch?v=8JMmAEKXPOw,🐶 연기대상감 왕크왕귀 댕댕이 볼래?🐶 사람이 탈 쓴거 아님ㅋㅋ🚫 #프로보노,엔딩요정씬,2025-12-12T08:56:27Z,PT53S,Shorts,61342,438,3
9cVCZQBhUMI,https://www.youtube.com/watch?v=9cVCZQBhUMI,The real reason she went into law #ProBono #Netflix,Netflix K-Content,2025-12-16T03:00:00Z,PT1M39S,Clip,46763,1243,12
CfmN8aPgRWk,https://www.youtube.com/watch?v=CfmN8aPgRWk,"🐿하나, 둘, 셋하면 프로보노 하고 다 같이 뛰는 거예요😆 #프로보노",tvN DRAMA,2025-12-12T08:00:18Z,PT23S,Shorts,61498,380,9
L7ODfkOqEbY,https://www.youtube.com/watch?v=L7ODfkOqEbY,"정지소, 횡령을 일삼았던 엄마와의 결단 #프로보노 EP.8 | tvN 251228 방송",tvN DRAMA,2025-12-28T13:37:09Z,PT2M29S,Clip,25088,158,13
oiSFTpbVyDY,https://www.youtube.com/watch?v=oiSFTpbVyDY,"[#프로보노] ""아비로 받아주시겠습니까?"" 재판장에 있던 모두를 놀라게 한 재벌 회장의 돌발 선언😲",디글 :Diggle,2025-12-14T15:31:01Z,PT9M53S,Clip,24801,184,34
R8yxFh7dgjY,https://www.youtube.com/watch?v=R8yxFh7dgjY,[#프로보노] 역사적인 헌법 불합치의 순간😮 소송 사건에서 기적을 만들어 낸 프로보노 팀💫 | #번개클립,tvN D ENT,2025-12-28T15:30:16Z,PT9M53S,Clip,25023,101,11
H0eS_Y4AZbA,https://www.youtube.com/watch?v=H0eS_Y4AZbA,[#프로보노] 직접 겪어보지 않으면 모르는 법☝️ 얼떨결에 휠체어 타고 현장 검증하게 된 현직 판사와 변호사😦 | #번개클립,tvN D ENT,2025-12-14T15:30:08Z,PT9M49S,Clip,24369,90,21
DATnhFs4c-Q,https://www.youtube.com/watch?v=DATnhFs4c-Q,믿고 보는 배우 정경호도 존경을 표한 연기 #프로보노,디글 클래식 :Diggle Classic,2025-12-16T14:45:04Z,PT1M,Shorts,59515,396,24
bFCLuo3XqvA,https://www.youtube.com/watch?v=bFCLuo3XqvA,''동영상 봤다면서요?' 속마음을 털어놓는 정경호X소주연 #프로보노 EP.6 | tvN 251221 방송,tvN DRAMA,2025-12-21T12:41:17Z,PT3M17S,Clip,20288,160,11
3AO3vV4gfl8,https://www.youtube.com/watch?v=3AO3vV4gfl8,공익 사건에 법원장 출신 등장?! 정경호의 경력 나오는 큰 그림 #프로보노 EP.2 | tvN 251207 방송,tvN DRAMA,2025-12-07T12:43:07Z,PT3M53S,Clip,19992,98,8
wv9VvO73FMg,https://www.youtube.com/watch?v=wv9VvO73FMg,[#프로보노] 프로 변호사도 당황하게 만드는 말빨ㄷㄷ 언변 실력 뛰어난 공익 변호사 정경호 | #산지직송,디글 클래식 :Diggle Classic,2025-12-18T14:30:51Z,PT9M55S,Clip,19527,85,1
DshNg0u0XfA,https://www.youtube.com/watch?v=DshNg0u0XfA,[#프로보노] 프로보노 팀 해체라고?! 바로 로펌 대표 찾아가서 거래하는 강다윗ㄷㄷ | #산지직송,디글 클래식 :Diggle Classic,2025-12-27T15:30:19Z,PT9M27S,Clip,19538,101,1
VwInJh-hU7c,https://www.youtube.com/watch?v=VwInJh-hU7c,[7화 예고] 프로보노 팀 해고 통보..💥 최대훈과의 경쟁 PT에서 이겨야만 한다! #프로보노 EP.7,tvN DRAMA,2025-12-21T13:35:45Z,PT44S,Shorts,19294,126,23
Wx3yoITavJA,https://www.youtube.com/watch?v=Wx3yoITavJA,"🔥두 얼굴의 학씨 부인🔥 앞에선 온갖 아부떨더니, 뒷통수 칠 준비 하고 있던 동료.. #프로보노",엔딩요정씬,2025-12-19T06:47:30Z,PT49S,Shorts,30243,81,2
qvBdOnU4EKw,https://www.youtube.com/watch?v=qvBdOnU4EKw,짖음 방지 목걸이 직접 해보실래요?ㅣTVINGㅣ#프로보노 #PROBONO,TVING,2025-12-08T11:40:02Z,PT1M53S,Clip,36517,200,7
84oY09TX_4c,https://www.youtube.com/watch?v=84oY09TX_4c,"""Pro Bono,"" ""Surely Tomorrow,"" And ""Our Golden Days"" All Hit New Ratings Highs",Kcdrama_news ,2025-12-29T02:45:08Z,PT7S,Shorts,39347,434,7
6uQHlews01U,https://www.youtube.com/watch?v=6uQHlews01U,[#프로보노] 회사 책상 보면 사람 성격이 그려짐✔️ 동료들 성향 파악하는 정경호 | #산지직송,디글 클래식 :Diggle Classic,2025-12-12T14:00:19Z,PT9M48S,Clip,15827,72,1
QcSuopVuih8,https://www.youtube.com/watch?v=QcSuopVuih8,[#프로보노] 이거 완전 큰 실수다;;; 직장 동료 가정사 알고 본인이 뱉은 말에 후회하는 정경호 | #산지직송,디글 클래식 :Diggle Classic,2025-12-18T14:31:03Z,PT9M59S,Clip,15163,57,4
LSIj9ZxvqVw,https://www.youtube.com/watch?v=LSIj9ZxvqVw,"[8화 예고] 엄마가 대표인 소속사, '전속 계약 해지 소송'이 친족상도례?! #프로보노 EP.8",tvN DRAMA,2025-12-27T13:47:01Z,PT49S,Shorts,17725,106,14
jCbg3YdMXdw,https://www.youtube.com/watch?v=jCbg3YdMXdw,정경호가 추는 소원을 말해봐🕺ㅣTVINGㅣ#프로보노 #PROBONO,TVING,2025-12-29T10:15:03Z,PT40S,Shorts,31096,195,4
z7gdR9C3A0I,https://www.youtube.com/watch?v=z7gdR9C3A0I,[#프로보노] 불합리한 법을 바꾸기 위해서라면... 유명세 이용해서 법 개정하려는 아이돌의 다짐 | #산지직송,디글 클래식 :Diggle Classic,2025-12-28T15:31:00Z,PT9M57S,Clip,13588,75,3
lbOzBFJuk4c,https://www.youtube.com/watch?v=lbOzBFJuk4c,"엄마를 상대로 한 소송, 전속계약의 실체 #프로보노 EP.8 | tvN 251228 방송",tvN DRAMA,2025-12-28T12:39:09Z,PT3M25S,Clip,13381,92,9
CKzakrkFyGc,https://www.youtube.com/watch?v=CKzakrkFyGc,[#프로보노] 장애인 소년의 사건을 맡게 된 시각 장애인 판사... 모두가 주목한 판결은?,디글 :Diggle,2025-12-13T15:31:00Z,PT9M26S,Clip,12826,91,18
VZClwdBPf2c,https://www.youtube.com/watch?v=VZClwdBPf2c,"해체를 건 승부, 프로보노 팀 VS 최대훈 로펌 #프로보노 EP.7 | tvN 251227 방송",tvN DRAMA,2025-12-27T13:03:55Z,PT3M56S,Clip,13120,84,2
YHEcwYGphn4,https://www.youtube.com/watch?v=YHEcwYGphn4,[#프로보노] 대중이라는 거짓 가면 뒤에 숨어서 저지른 만행들😡 할 짓 없는 사이버 렉카 제대로 참교육한 변호사🔥,디글 :Diggle,2025-12-27T15:31:00Z,PT9M32S,Clip,11681,43,8
