video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
gXQw0JtUrtU,https://www.youtube.com/watch?v=gXQw0JtUrtU,"아, 니가 우리 지우 버리고 바람피운 쓰레기 남편이구나?ㅋ #shorts #경도를기다리며",1분드라마모음zip,2025-12-15T09:33:00Z,PT39S,Shorts,9467339,62050,843
E3g8NQvczRM,https://www.youtube.com/watch?v=E3g8NQvczRM,생돌아이 여자친구랑 사귀면 생기는 일ㅋㅋㅋ #shorts #경도를기다리며,1분드라마모음zip,2025-12-08T05:55:00Z,PT50S,Shorts,2622255,23914,1013
Hbkv4VYoRWU,https://www.youtube.com/watch?v=Hbkv4VYoRWU,너 때문에 나 퇴사하니까 꼭 기억하길 바랄게ㅋ #shorts #경도를기다리며,1분드라마모음zip,2025-12-10T09:33:00Z,PT54S,Shorts,2376328,11369,141
N7Fu1fKQXzg,https://www.youtube.com/watch?v=N7Fu1fKQXzg,"경도야, 내가 같이 자 줄까?ㅋ #shorts #경도를기다리며",1분드라마모음zip,2025-12-06T17:47:00Z,PT59S,Shorts,2269841,14279,472
Y77p9ja9d6o,https://www.youtube.com/watch?v=Y77p9ja9d6o,잘생긴 새끼는 과팅 필참이다 #shorts #경도를기다리며 #박서준 #원지안 #ost #drama #성시경,드라마라마,2025-12-10T13:01:16Z,PT40S,Shorts,1859318,6433,110
qeRyoqN9S88,https://www.youtube.com/watch?v=qeRyoqN9S88,애틋한 동거였어 #경도를기다리며,웃웃티비 #드라마 #SHORTS,2025-12-15T00:06:23Z,PT1M,Shorts,1522632,9523,123
XR5PwWnOZi0,https://www.youtube.com/watch?v=XR5PwWnOZi0,"부장님, 여기 회사인데 존칭 사용 부탁드립니다… #shorts #경도를기다리며",1분드라마모음zip,2025-12-10T08:31:00Z,PT54S,Shorts,1576478,6919,75
X_P_D0tDxgk,https://www.youtube.com/watch?v=X_P_D0tDxgk,전남친한테 비싼 파인다이닝 사줬다가 언짢아진 이유 #shorts #경도를기다리며,1분드라마모음zip,2025-12-23T12:31:29Z,PT56S,Shorts,1517995,9433,173
Q0yu-hqydKU,https://www.youtube.com/watch?v=Q0yu-hqydKU,"사진 속에 있는 사람, 이경도인가 #경도를기다리며",웃웃티비 #드라마 #SHORTS,2025-12-09T23:00:31Z,PT59S,Shorts,1242694,6574,81
dcT0KOPP6OM,https://www.youtube.com/watch?v=dcT0KOPP6OM,영국 가기 전에 수습하고 가 #경도를기다리며,웃웃티비 #드라마 #SHORTS,2025-12-10T03:24:20Z,PT57S,Shorts,1004512,5617,146
NpeAilOetxg,https://www.youtube.com/watch?v=NpeAilOetxg,박서준 번호 따는 원지안 #경도를기다리며,웃웃티비 #드라마 #SHORTS,2025-12-08T23:00:40Z,PT59S,Shorts,898015,6357,211
Sxvn800nhA8,https://www.youtube.com/watch?v=Sxvn800nhA8,노안 취급당하는 박서준 #경도를기다리며,웃웃티비 #드라마 #SHORTS,2025-12-08T00:10:09Z,PT59S,Shorts,839881,5383,132
-K1u8DpFVNc,https://www.youtube.com/watch?v=-K1u8DpFVNc,선배들에게 사랑받는 동아리 신입생 #shorts #경도를기다리며 #박서준 #원지안 #ost #drama #성시경,드라마라마,2025-12-08T13:00:01Z,PT50S,Shorts,776401,2846,39
Vs1KQriq_O4,https://www.youtube.com/watch?v=Vs1KQriq_O4,10년 만에 다시 만난 첫사랑의 진심을 알게 된 순간 #shorts #경도를기다리며,1분드라마모음zip,2025-12-09T08:31:00Z,PT45S,Shorts,679294,3933,108
LUF0NYLYYV8,https://www.youtube.com/watch?v=LUF0NYLYYV8,네가 먼저잖아 사람을 막 데리고 들어간 거 #경도를기다리며,웃웃티비 #드라마 #SHORTS,2025-12-09T23:14:53Z,PT1M1S,Clip,532730,3877,104
wXkA2XNmK14,https://www.youtube.com/watch?v=wXkA2XNmK14,라이벌 회사에 기삿거리 되어준 박서준 #shorts #경도를기다리며 #박서준 #원지안 #ost #drama #성시경,드라마라마,2025-12-10T21:01:20Z,PT1M,Shorts,460635,2410,21
FUDCAetv3vo,https://www.youtube.com/watch?v=FUDCAetv3vo,10년전 여친의 이혼기사를 쓰게 된 남자 #shorts #경도를기다리며 #박서준 #원지안 #ost #drama #성시경,드라마라마,2025-12-10T02:00:14Z,PT1M,Shorts,400721,1889,15
06_wJfNOjIo,https://www.youtube.com/watch?v=06_wJfNOjIo,전여친이 내 집에서 내 옷을 입고 술에 취해 있다... #경도를기다리며 #박서준 #원지안 #이엘 #드라마 #shorts,드라마 극장 ,2025-12-15T12:00:01Z,PT1M,Shorts,300061,2556,48
43AzuLZQFFE,https://www.youtube.com/watch?v=43AzuLZQFFE,"경도를 기다리며 ""너 해봤냐? 나! 나이가 38이야 #경도를 기다리며 #박서준 #원지안",토파리뷰,2025-12-18T02:49:47Z,PT43S,Shorts,288604,1797,34
tSwRdl9HmUE,https://www.youtube.com/watch?v=tSwRdl9HmUE,좀도둑이 바로 제 아들내미입니다 #shorts #경도를기다리며 #박서준 #원지안 #ost #drama,드라마라마,2025-12-19T21:01:07Z,PT47S,Shorts,290496,1103,7
3BaBh_jLSII,https://www.youtube.com/watch?v=3BaBh_jLSII,전여친??? 현여친!!! #경도를 기다리며,드라마디포,2025-12-22T03:46:45Z,PT26S,Shorts,326196,1561,15
Xmi71_lfdB0,https://www.youtube.com/watch?v=Xmi71_lfdB0,"[경도를기다리며 7회 예고 ]🔥강민우 감옥행! 빌런 싹 다 털어버린 경도, 자림어패럴 사장 취임?! 6회 줄거리 요약 7화 예고 하이라이트 드라마팬픽 결말 선공개 #박서준 #원지안",세모순,2025-12-23T23:10:15Z,PT10M31S,Clip,117041,0,34
