video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
vfDQ_25xx98,https://www.youtube.com/watch?v=vfDQ_25xx98,"[예고] 윤두준X김슬기, 퐁당퐁당 부부의 냥육권 전쟁이 시작된다 😾💥#오프닝2025",tvN DRAMA,2025-08-07T23:01:05Z,PT46S,Shorts,174120,4116,320
W7fTHqa3cmg,https://www.youtube.com/watch?v=W7fTHqa3cmg,윤두준X김슬기의 커플 챌린지 Let's go😆 #냥육권전쟁,tvN DRAMA,2025-08-15T03:00:28Z,PT40S,Shorts,242269,2506,33
gWN4KzuMq30,https://www.youtube.com/watch?v=gWN4KzuMq30,노란 우산과 함께 돌아온 윤두준X김슬기💛 #냥육권전쟁,tvN DRAMA,2025-08-13T09:30:32Z,PT12S,Shorts,61225,1529,54
pD-EbpjxmC4,https://www.youtube.com/watch?v=pD-EbpjxmC4,얘들아 ... 퐁당퐁당러브 이도와 영싫 단비 10년만에 환생이 실화라고 ... #윤두준 #김슬기 #퐁당퐁당러브 #퐁퐁럽 #냥육권전쟁,플,2025-08-11T07:44:56Z,PT22S,Shorts,39669,1064,5
bTIx4iizf-8,https://www.youtube.com/watch?v=bTIx4iizf-8,"떠난 아이가 보낸 선물, 집앞에서 부부를 기다리고 있었다",꿀잼절도단,2025-08-20T03:57:27Z,PT45S,Shorts,36057,180,2
Gv_RPCEkA4U,https://www.youtube.com/watch?v=Gv_RPCEkA4U,[#띵] CJ ENM 8월 지금 신작! #폭군의셰프 #BonappetitYourMajesty #냥육권전쟁 #tvN,CJ ENM,2025-08-14T08:00:18Z,PT1M9S,Clip,32489,339,1
6JClQ1KdweM,https://www.youtube.com/watch?v=6JClQ1KdweM,#냥육권전쟁 | 신분증 두고왔어♡,아콰마린 : aquamarine,2025-08-21T10:56:04Z,PT12S,Shorts,32010,131,0
vXBK5Ec_Mw8,https://www.youtube.com/watch?v=vXBK5Ec_Mw8,10년 만에 만난 윤두준 X 김슬기 #shorts,다 잇슈(DA ISSUE),2025-08-17T06:00:46Z,PT34S,Shorts,24985,596,6
vIE9Id97YwA,https://www.youtube.com/watch?v=vIE9Id97YwA,10년 만에 다시 만난 윤두준 김슬기,더 셀럽스,2025-08-12T13:50:40Z,PT1M5S,Clip,24409,491,1
BjAiBa1vBl8,https://www.youtube.com/watch?v=BjAiBa1vBl8,계속 보게 되는 윤두준X김슬기 영상통화😂 #냥육권전쟁,tvN DRAMA,2025-08-17T03:00:10Z,PT11S,Shorts,27601,314,4
FTNqcgXbEFs,https://www.youtube.com/watch?v=FTNqcgXbEFs,"[고양이 티저] 나 노리... 아빠 윤두준, 엄마 김슬기 다툼에 고민이 많다냥...😿#오프닝",tvN DRAMA,2025-08-14T00:00:15Z,PT28S,Shorts,12401,405,18
