video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
mSKqJwEQHjQ,https://www.youtube.com/watch?v=mSKqJwEQHjQ,싸패 기가영 앞에서 밑장 빼다가 걸린 정령 #다이루어질지니,영화한입하실,2025-10-15T09:34:00Z,PT1M,Shorts,3824922,34061,101
5qi2acsKgoI,https://www.youtube.com/watch?v=5qi2acsKgoI,모두들 기겁하는 가영의 남다른 문제해결능력 #다이루어질지니,버스안에서,2025-10-16T05:00:12Z,PT1M,Shorts,3485528,43372,87
n53YTqB9PXo,https://www.youtube.com/watch?v=n53YTqB9PXo,가영이를 없애려 한 불멸자에게 열받은 천사 #다이루어질지니 #수지 #김우빈,호돌극장,2025-10-13T07:00:44Z,PT58S,Shorts,2519827,27533,189
hRk5jg8m-Ic,https://www.youtube.com/watch?v=hRk5jg8m-Ic,가영이 부자가 된 비결 #다이루어질지니,멜로컷,2025-10-15T08:00:50Z,PT56S,Shorts,3000827,31881,153
gMALMOliXYU,https://www.youtube.com/watch?v=gMALMOliXYU,"논란의 유방암 캠페인 참석했다가 ""황급히 집으로"" 일찍 떠난 배우 / YTN star",YTN star,2025-10-17T01:48:46Z,PT1M16S,Clip,1212633,10696,4769
0YIXBsm6cLA,https://www.youtube.com/watch?v=0YIXBsm6cLA,결국 소원을 이루게 된 구보경,멍스토리,2025-10-13T01:00:00Z,PT38S,Shorts,2021071,27217,35
YjDuVKFQlQw,https://www.youtube.com/watch?v=YjDuVKFQlQw,왕따당하던 민지가 치과의사가 될 수 있었던 이유 #다이루어질지니,영화한입하실,2025-10-13T09:13:00Z,PT59S,Shorts,1676439,14174,87
sIsL7u2rX0A,https://www.youtube.com/watch?v=sIsL7u2rX0A,다 이루어질지니의 숨겨진 뒷이야기... #수지 #김우빈,어바웃타임 (About time),2025-10-16T08:06:34Z,PT58S,Shorts,1414628,16351,87
QGhC3Xk3nM8,https://www.youtube.com/watch?v=QGhC3Xk3nM8,썸녀도 잃고 목숨도 잃은 초롱이의 마지막 전투 #다이루어질지니 #수지 #김우빈,호돌극장,2025-10-17T07:00:25Z,PT1M,Shorts,1397694,19654,111
n8FPgBxKqIg,https://www.youtube.com/watch?v=n8FPgBxKqIg,기가영은 최민지와 계속 해물탕을 먹을까? #다이루어질지니,톡잇업TV,2025-10-14T22:49:37Z,PT37S,Shorts,1732420,19374,68
4B1_hsGNDyU,https://www.youtube.com/watch?v=4B1_hsGNDyU,"지니와 수지 괴롭히다 혼자 독박 쓴 천사 ""다이루어질지니"" #shorts",지금무비,2025-10-15T15:37:29Z,PT2M23S,Clip,1393234,14940,69
gZw0PZamp5I,https://www.youtube.com/watch?v=gZw0PZamp5I,"자선행사에 연예인 불러 '초호화 술파티' 논란…박은빈은 달랐다 ""황급히 집으로""",뉴스1 연예TV,2025-10-17T08:42:52Z,PT5M30S,Clip,796655,11633,9488
3dbnwFDpy_8,https://www.youtube.com/watch?v=3dbnwFDpy_8,무시당하던 구보경이 자신 있었던 이유 #다이루어질지니,영화한입하실,2025-10-17T07:29:18Z,PT46S,Shorts,1459413,10843,65
1LMN37zCOwQ,https://www.youtube.com/watch?v=1LMN37zCOwQ,"지니와 수지의 인생을 신이 철저히 기획한 이유 ""다이루어질지니"" #shorts",지금무비,2025-10-17T04:31:39Z,PT2M53S,Clip,1409190,20507,170
074X9RadQMo,https://www.youtube.com/watch?v=074X9RadQMo,가영의 직설적인 말에 상처받는 지니와 판금 #다이루어질지니,버스안에서,2025-10-15T08:00:01Z,PT1M,Shorts,1312042,14611,39
QhyPHf7Il0w,https://www.youtube.com/watch?v=QhyPHf7Il0w,썸녀한테 차여가지고 귀가 삐져나온 초롱이 #다이루어질지니 #수지 #김우빈,호돌극장,2025-10-15T01:00:36Z,PT47S,Shorts,1148483,15454,67
SHJYQtYhb30,https://www.youtube.com/watch?v=SHJYQtYhb30,하찮다던 인간에게 멘탈 털린 사탄ㅋㅋ #다이루어질지니 #넷플릭스,한입만봐,2025-10-13T16:19:29Z,PT59S,Shorts,1184005,17887,90
cgVjap2Um0M,https://www.youtube.com/watch?v=cgVjap2Um0M,다가오는 이별에 대비해 작별 인사를 하는 지니 #다이루어질지니 #수지 #김우빈,호돌극장,2025-10-14T13:01:20Z,PT1M,Shorts,954525,12608,47
T4ZzeT7gqW4,https://www.youtube.com/watch?v=T4ZzeT7gqW4,저것은 넘의 생각은 일절 할 줄을 몰라 #다이루어질지니 #수지 #이주영 #신신애,건봉이티비,2025-10-17T14:30:31Z,PT52S,Shorts,979288,13933,46
1aHeSuUBw0E,https://www.youtube.com/watch?v=1aHeSuUBw0E,지니를 퇴치하는 방법 #다이루어질지니,멜로컷,2025-10-13T08:00:02Z,PT1M,Shorts,1006438,8305,40
eMdOOPcyNjk,https://www.youtube.com/watch?v=eMdOOPcyNjk,조선시대를 발칵 뒤집어놓은 지니의 최후 #다이루어질지니 #김우빈 #수지,씨네쇼츠,2025-10-15T06:45:01Z,PT1M,Shorts,904132,13941,52
g4PPjA6BAa4,https://www.youtube.com/watch?v=g4PPjA6BAa4,지니랑 내기 했다가 천사깃털 뽑은 썰  #다 이루어질 지니 #수지 #김우빈 #안은진 #고규필 #김미경 #노상현 #이주영 #우현진 #넷플릭스 #드라마,드라마샵,2025-10-13T09:01:03Z,PT57S,Shorts,888496,11657,68
Lxgq_5TMIWc,https://www.youtube.com/watch?v=Lxgq_5TMIWc,주인 지니 앞에서 맞는 말만 하는 초롱이ㅋㅋ #다이루어질지니,영화한입하실,2025-10-18T05:41:50Z,PT44S,Shorts,777622,4490,7
bdqcuZOaM3Y,https://www.youtube.com/watch?v=bdqcuZOaM3Y,인간에게 고개 숙인 악마의 최후 #다 이루어질 지니 #수지 #김우빈 #안은진 #고규필 #김미경 #노상현 #이주영 #우현진 #넷플릭스 #드라마,드라마샵,2025-10-18T05:00:41Z,PT1M,Shorts,840389,10903,85
5O6PzQKJ3ZM,https://www.youtube.com/watch?v=5O6PzQKJ3ZM,"20년만에 알게된 진실, 나는 할머니의 힘이다 #다이루어질지니 #럭키무비",럭키무비,2025-10-19T09:07:00Z,PT58S,Shorts,718592,6273,48
hwHCufyYN48,https://www.youtube.com/watch?v=hwHCufyYN48,983년 동안 고민한 게 이거라고?ㅋㅋ #다이루어질지니 #넷플릭스,한입만봐,2025-10-12T15:15:47Z,PT58S,Shorts,722589,7187,63
RZM_hTZc_Og,https://www.youtube.com/watch?v=RZM_hTZc_Og,다 이루어질지니 겁나 웃긴 촬영 현장 ㅋㅋㅋㅋㅋㅋ #수지 #김우빈,어바웃타임 (About time),2025-10-16T08:06:16Z,PT59S,Shorts,673835,4085,12
p-73shhHIEg,https://www.youtube.com/watch?v=p-73shhHIEg,983년 전 비밀을 알게 된 이렘이가 눈물 흘린 이유 #다이루어질지니,영화한입하실,2025-10-17T05:40:32Z,PT58S,Shorts,622266,3915,15
YqRNwUs0fIE,https://www.youtube.com/watch?v=YqRNwUs0fIE,983년 동안 품어온 지니의 고민 #다이루어질지니,멜로컷,2025-10-15T07:00:38Z,PT1M,Shorts,593944,5627,23
ptNfq2HLVRw,https://www.youtube.com/watch?v=ptNfq2HLVRw,"지니와 수지의 뒷배가 된 비선실세 안은진 ""다이루어질지니"" #shorts",지금무비,2025-10-13T00:02:30Z,PT2M25S,Clip,467140,4861,61
vh8fl_gfeN0,https://www.youtube.com/watch?v=vh8fl_gfeN0,네가 웃으면 내 심장이 가려워 #다이루어질지니 #럭키무비,럭키무비,2025-10-16T09:07:00Z,PT59S,Shorts,532783,5448,45
cbN6znBEOPw,https://www.youtube.com/watch?v=cbN6znBEOPw,샴푸 한 통 써도 변하지 않는 초롱이 #다이루어질지니,드짱,2025-10-13T22:00:46Z,PT55S,Shorts,533743,6389,23
9NDD9Je8_80,https://www.youtube.com/watch?v=9NDD9Je8_80,가영의 행복을 바랬던 민지와 판금 #다이루어질지니,버스안에서,2025-10-16T08:00:12Z,PT1M,Shorts,444233,4848,7
5QSoYtXQ6Fc,https://www.youtube.com/watch?v=5QSoYtXQ6Fc,전생의 기억을 찾기 위해 지니를 안아보는 지니 #다이루어질지니 #수지 #김우빈,호돌극장,2025-10-15T07:00:09Z,PT59S,Shorts,463168,6228,18
_wGuT5zjMiU,https://www.youtube.com/watch?v=_wGuT5zjMiU,또 다른 지니 천근만근 무게의 끈 #다이루어질지니,한스푼,2025-10-12T15:56:28Z,PT1M,Shorts,429292,4337,15
ItDqyOT9-Bc,https://www.youtube.com/watch?v=ItDqyOT9-Bc,송혜교가 첫눈에 알아본 그때 그녀 #다이루어질지니 #송혜교 #수지,씨네쇼츠,2025-10-16T07:45:01Z,PT1M,Shorts,457347,4269,15
e6mAqtZoFuY,https://www.youtube.com/watch?v=e6mAqtZoFuY,슬픔보다 분노가 빠른 싸이코패스 가영 #다 이루어질 지니 #수지 #김우빈 #안은진 #고규필 #김미경 #노상현 #이주영 #우현진 #넷플릭스 #드라마,드라마샵,2025-10-15T12:30:58Z,PT58S,Shorts,398181,4098,10
IV-Wa4FO834,https://www.youtube.com/watch?v=IV-Wa4FO834,뻔한 결말로 욕먹을까봐 시청자랑 밀당하는 지니 #다이루어질지니 #수지 #김우빈,호돌극장,2025-10-19T05:00:27Z,PT48S,Shorts,427195,7673,60
v8M7JZxL9PE,https://www.youtube.com/watch?v=v8M7JZxL9PE,가영과 벚꽃을 보며 속마음을 고백하는 지니 #다이루어질지니 #수지 #김우빈,호돌극장,2025-10-13T13:01:45Z,PT1M,Shorts,382794,4806,14
Mg_GXapsNl4,https://www.youtube.com/watch?v=Mg_GXapsNl4,비극적인 결말이라도 지니와 함께 간다는 가영 #다이루어질지니 #수지 #김우빈,호돌극장,2025-10-16T01:00:32Z,PT50S,Shorts,367462,4314,18
Z3Y4w5fRwTE,https://www.youtube.com/watch?v=Z3Y4w5fRwTE,싸패 기가영이 은행에서 전액 현금으로 가져간 이유 #다이루어질지니,영화한입하실,2025-10-17T09:29:00Z,PT51S,Shorts,417510,2963,19
CDUrjCk-TTM,https://www.youtube.com/watch?v=CDUrjCk-TTM,천원 만 달라고! 게임 중독에 빠진 지니,꿀맛드라마,2025-10-13T08:51:18Z,PT1M,Shorts,397522,2940,26
FxsGIVmMc44,https://www.youtube.com/watch?v=FxsGIVmMc44,그런 건 카센터 말고 네이버에 물어봐 #다이루어질지니 #수지 #고규필,건봉이티비,2025-10-18T03:30:25Z,PT57S,Shorts,427849,2829,4
e-z_R-LnZ4s,https://www.youtube.com/watch?v=e-z_R-LnZ4s,가영을 지키기 위해 천사의 날개를 자른 지니 #다이루어질지니 #수지 #김우빈,호돌극장,2025-10-15T13:01:21Z,PT1M,Shorts,343405,3742,24
u23B4Aco4q4,https://www.youtube.com/watch?v=u23B4Aco4q4,세상에 하나밖에 없는 지옥 에디션 #다이루어질지니,버스안에서,2025-10-15T11:01:49Z,PT1M,Shorts,358483,3664,11
7NfsHQ-RMsM,https://www.youtube.com/watch?v=7NfsHQ-RMsM,"수지와 초롱이 행동에 아픔 겪는 천사 신수 ""다이루어질지니"" #shorts",지금무비,2025-10-14T10:03:23Z,PT1M55S,Clip,293694,3189,20
M7Wtteb5BK8,https://www.youtube.com/watch?v=M7Wtteb5BK8,"김우빈, 수지의 감정 폭발신 비하인드🎬️ | 하이라이트 리액션 | 다 이루어질지니 | 넷플릭스",Netflix Korea 넷플릭스 코리아,2025-10-14T09:00:00Z,PT6M35S,Clip,142201,3362,295
zTlWRijdDsM,https://www.youtube.com/watch?v=zTlWRijdDsM,목소리 훔쳐서 전쟁난 썰 푼다 #다 이루어질 지니 #수지 #김우빈 #안은진 #고규필 #김미경 #노상현 #이주영 #우현진 #넷플릭스 #드라마,드라마샵,2025-10-16T08:01:10Z,PT59S,Shorts,221447,2371,23
YSTkr9e-oPk,https://www.youtube.com/watch?v=YSTkr9e-oPk,가영이 죽을 뻔한 순간에도 끝까지 소원을 빌지 않은 이유 #다 이루어질 지니 #수지 #김우빈 #안은진 #고규필 #김미경 #노상현 #이주영 #우현진 #넷플릭스 #드라마,드라마샵,2025-10-16T11:00:57Z,PT57S,Shorts,233309,2496,4
PBqviQWgx2M,https://www.youtube.com/watch?v=PBqviQWgx2M,설마 했다 비밀번호가 1004 라니 #다이루어질지니 #노상현,건봉이티비,2025-10-16T14:30:16Z,PT31S,Shorts,241963,1438,3
3nqpNAyuVio,https://www.youtube.com/watch?v=3nqpNAyuVio,끝까지 버틴자 영원을 멈춘자  #다 이루어질 지니 #수지 #김우빈 #안은진 #고규필 #김미경 #노상현 #이주영 #우현진 #넷플릭스 #드라마,드라마샵,2025-10-17T00:30:04Z,PT59S,Shorts,219396,2456,17
4oQjBcEovUA,https://www.youtube.com/watch?v=4oQjBcEovUA,오판금 여사의 실체를 알게된 지니 #다이루어질지니,버스안에서,2025-10-14T07:00:04Z,PT59S,Shorts,208553,1878,5
0Tg14VAPYxw,https://www.youtube.com/watch?v=0Tg14VAPYxw,"지니의 1,2번째 타겟. 강임선과 구보경",별나라 극장,2025-10-15T11:00:02Z,PT1M,Shorts,204879,1308,3
fw_UR8q9YXI,https://www.youtube.com/watch?v=fw_UR8q9YXI,이렘이 다시 살리라며 천사를 물러 간 초롱이 #다이루어질지니 #수지 #김우빈,호돌극장,2025-10-17T13:01:23Z,PT51S,Shorts,214037,2940,36
IbTGdhUMI5s,https://www.youtube.com/watch?v=IbTGdhUMI5s,그밤 불꽃보다 뜨거운 욕이 터졌다 #다 이루어질 지니 #수지 #김우빈 #안은진 #고규필 #김미경 #노상현 #이주영 #우현진 #넷플릭스 #드라마,드라마샵,2025-10-14T05:30:08Z,PT52S,Shorts,182124,1355,6
7U4p1st6mG4,https://www.youtube.com/watch?v=7U4p1st6mG4,내가 동생이라니 우주급 충격받은 할머니 #다 이루어질 지니 #수지 #김우빈 #안은진 #고규필 #김미경 #노상현 #이주영 #우현진 #넷플릭스 #드라마,드라마샵,2025-10-14T01:30:07Z,PT48S,Shorts,176783,1356,18
