video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
Z3Y4w5fRwTE,https://www.youtube.com/watch?v=Z3Y4w5fRwTE,싸패 기가영이 은행에서 전액 현금으로 가져간 이유 #다이루어질지니,영화한입하실,2025-10-17T09:29:00Z,PT51S,Shorts,417820,2964,19
u23B4Aco4q4,https://www.youtube.com/watch?v=u23B4Aco4q4,세상에 하나밖에 없는 지옥 에디션 #다이루어질지니,버스안에서,2025-10-15T11:01:49Z,PT1M,Shorts,358667,3666,11
tD0a2tludZM,https://www.youtube.com/watch?v=tD0a2tludZM,서로를 살리려던 엇갈림이 완성한 사랑 #다이루어질지니,시네드,2025-10-16T14:12:18Z,PT59S,Shorts,181930,2027,38
y_f1vTWzfHc,https://www.youtube.com/watch?v=y_f1vTWzfHc,가영을 보호하는 사람들 #다이루어질지니,버스안에서,2025-10-14T10:30:43Z,PT59S,Shorts,150123,1602,9
4oQjBcEovUA,https://www.youtube.com/watch?v=4oQjBcEovUA,오판금 여사의 실체를 알게된 지니 #다이루어질지니,버스안에서,2025-10-14T07:00:04Z,PT59S,Shorts,208704,1878,5
4B1_hsGNDyU,https://www.youtube.com/watch?v=4B1_hsGNDyU,"지니와 수지 괴롭히다 혼자 독박 쓴 천사 ""다이루어질지니"" #shorts",지금무비,2025-10-15T15:37:29Z,PT2M23S,Clip,1393965,14950,69
4lJbZJH6Vk4,https://www.youtube.com/watch?v=4lJbZJH6Vk4,교육보다 조련에 가까운 가영의 교육방식 #다이루어질지니,Dram G,2025-10-20T09:30:05Z,PT58S,Shorts,24928,272,2
M_zZc1XddcA,https://www.youtube.com/watch?v=M_zZc1XddcA,가족 건드리면 눈깔 돌아버리는 요술램프 지니 #다이루어질지니,드담,2025-10-15T08:00:23Z,PT1M,Shorts,22419,200,0
MzB1fDsu4Ww,https://www.youtube.com/watch?v=MzB1fDsu4Ww,미미네 다이루어질지니👍❣️,미미의 행복한 보호소,2025-10-19T12:00:42Z,PT55S,Shorts,2716,66,4
M7Wtteb5BK8,https://www.youtube.com/watch?v=M7Wtteb5BK8,"김우빈, 수지의 감정 폭발신 비하인드🎬️ | 하이라이트 리액션 | 다 이루어질지니 | 넷플릭스",Netflix Korea 넷플릭스 코리아,2025-10-14T09:00:00Z,PT6M35S,Clip,142226,3363,295
hNk_zu3p-Mc,https://www.youtube.com/watch?v=hNk_zu3p-Mc,판사 아들을 가지고도 열등감에 사로잡힌 할머니의 결말 #다이루어질지니,핏드라마,2025-10-14T09:01:08Z,PT59S,Shorts,30719,203,4
_DSqfGznGxo,https://www.youtube.com/watch?v=_DSqfGznGxo,진짜 억울헤 미치겠네 #다이루어질지니 #강채영,건봉이티비,2025-10-19T13:30:35Z,PT1M,Shorts,39607,182,1
6H_zm65V-PY,https://www.youtube.com/watch?v=6H_zm65V-PY,복수하려고 효도 중인 사탄ㅋㅋ #다이루어질지니,한입만봐,2025-10-14T14:20:39Z,PT54S,Shorts,148353,1735,20
074X9RadQMo,https://www.youtube.com/watch?v=074X9RadQMo,가영의 직설적인 말에 상처받는 지니와 판금 #다이루어질지니,버스안에서,2025-10-15T08:00:01Z,PT1M,Shorts,1312532,14613,39
dQLKaHTT1QE,https://www.youtube.com/watch?v=dQLKaHTT1QE,'젊음'뒤에 숨겨진 진실 알아버린 미주! #다이루어질지니,드담,2025-10-14T08:00:55Z,PT1M,Shorts,18272,221,6
h3dmn4eahJQ,https://www.youtube.com/watch?v=h3dmn4eahJQ,불량한 어른 참교육 하는 싸패 기가영 #다이루어질지니,영화한입하실,2025-10-19T12:23:36Z,PT42S,Shorts,85690,595,1
RZM_hTZc_Og,https://www.youtube.com/watch?v=RZM_hTZc_Og,다 이루어질지니 겁나 웃긴 촬영 현장 ㅋㅋㅋㅋㅋㅋ #수지 #김우빈,어바웃타임 (About time),2025-10-16T08:06:16Z,PT59S,Shorts,673835,4085,12
4mjTb240eNc,https://www.youtube.com/watch?v=4mjTb240eNc,다 이블리스의 작품이죠 #다이루어질지니 #김우빈 #수지 #노상현 #김윤슬,건봉이티비,2025-10-19T17:30:03Z,PT1M,Shorts,93179,593,4
mSKqJwEQHjQ,https://www.youtube.com/watch?v=mSKqJwEQHjQ,싸패 기가영 앞에서 밑장 빼다가 걸린 정령 #다이루어질지니,영화한입하실,2025-10-15T09:34:00Z,PT1M,Shorts,3825998,34067,101
1LMN37zCOwQ,https://www.youtube.com/watch?v=1LMN37zCOwQ,"지니와 수지의 인생을 신이 철저히 기획한 이유 ""다이루어질지니"" #shorts",지금무비,2025-10-17T04:31:39Z,PT2M53S,Clip,1409499,20508,170
hRk5jg8m-Ic,https://www.youtube.com/watch?v=hRk5jg8m-Ic,가영이 부자가 된 비결 #다이루어질지니,멜로컷,2025-10-15T08:00:50Z,PT56S,Shorts,3001443,31891,153
sIsL7u2rX0A,https://www.youtube.com/watch?v=sIsL7u2rX0A,다 이루어질지니의 숨겨진 뒷이야기... #수지 #김우빈,어바웃타임 (About time),2025-10-16T08:06:34Z,PT58S,Shorts,1414691,16352,87
NZibxH4O794,https://www.youtube.com/watch?v=NZibxH4O794,이쁜 싸이코패스 수지를 바보 만드는법 #다이루어질지니,핵심한컷,2025-10-13T09:36:00Z,PT1M,Shorts,24520,632,11
TnnkQ57KcfA,https://www.youtube.com/watch?v=TnnkQ57KcfA,독전 민지를 무시한 이블리스의 최후 #다이루어질지니,영화한입하실,2025-10-20T09:58:01Z,PT54S,Shorts,38700,341,0
Wwa_U1YnDhE,https://www.youtube.com/watch?v=Wwa_U1YnDhE,지니를 피눈물나게 한 소원 세가지 #다이루어질지니,핏드라마,2025-10-16T09:00:53Z,PT49S,Shorts,33767,432,4
UA95uumc4I8,https://www.youtube.com/watch?v=UA95uumc4I8,지니가 단발을 고집하는 이유 #다이루어질지니,한스푼,2025-10-20T10:47:01Z,PT44S,Shorts,22687,205,1
d9FkONOUlLU,https://www.youtube.com/watch?v=d9FkONOUlLU,보호자 오시면 가셔도 됩니다 #다이루어질지니 #김우빈 #수지,건봉이티비,2025-10-19T01:30:36Z,PT1M,Shorts,23009,141,0
zfyZgFQyRXQ,https://www.youtube.com/watch?v=zfyZgFQyRXQ,진짜 애드립이었다는 수지&김우빈의 닭다리 쟁취씬#다이루어질지니,리캡틴:RECAPTAIN,2025-10-14T07:00:59Z,PT50S,Shorts,30554,537,7
qqQDcAonemU,https://www.youtube.com/watch?v=qqQDcAonemU,너무 늦길래 #다이루어질지니 #김우빈 #수지 #안은진,건봉이티비,2025-10-20T07:30:22Z,PT37S,Shorts,4997,51,2
lPl9dyX_iZU,https://www.youtube.com/watch?v=lPl9dyX_iZU,네가 졌다 이블리스 #다이루어질지니 #김우빈 #노상현,건봉이티비,2025-10-19T19:30:07Z,PT47S,Shorts,22649,178,0
FL4wYgcC0OE,https://www.youtube.com/watch?v=FL4wYgcC0OE,💰싸이코패스가 작정하고 돈 쓰면 어떻게 될까? 💰#다이루어질지니,오늘도 숏주행,2025-10-14T02:44:43Z,PT1M53S,Clip,18175,249,0
kPFzz2cXpIQ,https://www.youtube.com/watch?v=kPFzz2cXpIQ,마지막 소원 의로운 걸로 무심한 듯 시크하게 툭 #다이루어질지니 #김우빈 #고규필,건봉이티비,2025-10-20T09:30:33Z,PT54S,Shorts,6359,48,0
NPQ49EWJGVo,https://www.youtube.com/watch?v=NPQ49EWJGVo,지니의 형제를 건드린 자의 최후 #다이루어질지니,훅플릭스,2025-10-16T12:00:46Z,PT54S,Shorts,13268,484,0
js_siqRz0Jg,https://www.youtube.com/watch?v=js_siqRz0Jg,치킨 먹다 말고 가버리는 남자 차이겠다 진짜#다이루어질지니,시네드,2025-10-19T08:20:21Z,PT1M5S,Clip,56725,439,11
3dbnwFDpy_8,https://www.youtube.com/watch?v=3dbnwFDpy_8,무시당하던 구보경이 자신 있었던 이유 #다이루어질지니,영화한입하실,2025-10-17T07:29:18Z,PT46S,Shorts,1461087,10851,65
2CFkSmPAP94,https://www.youtube.com/watch?v=2CFkSmPAP94,지니한테 막말 해놓고 태세 전환하는 가영이 #다이루어질지니 #수지 #김우빈,호돌극장,2025-10-20T09:00:06Z,PT56S,Shorts,81038,732,1
cgVjap2Um0M,https://www.youtube.com/watch?v=cgVjap2Um0M,다가오는 이별에 대비해 작별 인사를 하는 지니 #다이루어질지니 #수지 #김우빈,호돌극장,2025-10-14T13:01:20Z,PT1M,Shorts,954814,12609,47
dKI5AGT6nuE,https://www.youtube.com/watch?v=dKI5AGT6nuE,싸이코패스의 미소 #다이루어질지니,코코아무비,2025-10-15T09:03:00Z,PT59S,Shorts,18046,277,2
bdqcuZOaM3Y,https://www.youtube.com/watch?v=bdqcuZOaM3Y,인간에게 고개 숙인 악마의 최후 #다 이루어질 지니 #수지 #김우빈 #안은진 #고규필 #김미경 #노상현 #이주영 #우현진 #넷플릭스 #드라마,드라마샵,2025-10-18T05:00:41Z,PT1M,Shorts,842357,10918,85
Z2DVEjSwb6E,https://www.youtube.com/watch?v=Z2DVEjSwb6E,비빔밥을 먹다가 도망간 이유 #다이루어질지니,한스푼,2025-10-20T13:13:10Z,PT38S,Shorts,9703,58,0
r0PHpM4qP5k,https://www.youtube.com/watch?v=r0PHpM4qP5k,이렇게 예쁘게 컸는데 #다이루어질지니 #김우빈 #수지,건봉이티비,2025-10-17T12:31:10Z,PT43S,Shorts,152607,1444,7
Lxgq_5TMIWc,https://www.youtube.com/watch?v=Lxgq_5TMIWc,주인 지니 앞에서 맞는 말만 하는 초롱이ㅋㅋ #다이루어질지니,영화한입하실,2025-10-18T05:41:50Z,PT44S,Shorts,778364,4491,7
oomFO1SN2Ko,https://www.youtube.com/watch?v=oomFO1SN2Ko,나는 이제 너에게도 기다림을 주겠다 #다이루어질지니 #김우빈 #수지 #노상현 #김미경 #김윤ᄉ,건봉이티비,2025-10-20T03:30:43Z,PT58S,Shorts,10148,135,0
JzpXUEUFZT0,https://www.youtube.com/watch?v=JzpXUEUFZT0,20년만에 밝혀진 섬뜻한 비밀 #다이루어질지니,드라마 창고,2025-10-14T13:30:30Z,PT24S,Shorts,33229,156,1
0MIurcSop-Q,https://www.youtube.com/watch?v=0MIurcSop-Q,목격자가 누군지 궁금해서 #다이루어질지니 #김우빈 #꼬꼬영 #드라마,꼬리에 꼬리를 무는 영화,2025-10-20T11:15:00Z,PT59S,Shorts,10286,88,0
SHJYQtYhb30,https://www.youtube.com/watch?v=SHJYQtYhb30,하찮다던 인간에게 멘탈 털린 사탄ㅋㅋ #다이루어질지니 #넷플릭스,한입만봐,2025-10-13T16:19:29Z,PT59S,Shorts,1184206,17888,90
2HvSZ9hDeEc,https://www.youtube.com/watch?v=2HvSZ9hDeEc,세이드 욕설 논란 ㅇㅈㄹ 수차례 발언? #다이루어질지니,톡잇업TV,2025-10-20T12:30:42Z,PT30S,Shorts,8200,67,2
v8M7JZxL9PE,https://www.youtube.com/watch?v=v8M7JZxL9PE,가영과 벚꽃을 보며 속마음을 고백하는 지니 #다이루어질지니 #수지 #김우빈,호돌극장,2025-10-13T13:01:45Z,PT1M,Shorts,382883,4807,14
6c-L4gdl7Ko,https://www.youtube.com/watch?v=6c-L4gdl7Ko,그 여자 진짜를 보더라고 #다이루어질지니 #노상현 #우현진,건봉이티비,2025-10-20T06:30:05Z,PT41S,Shorts,17652,153,1
QGhC3Xk3nM8,https://www.youtube.com/watch?v=QGhC3Xk3nM8,썸녀도 잃고 목숨도 잃은 초롱이의 마지막 전투 #다이루어질지니 #수지 #김우빈,호돌극장,2025-10-17T07:00:25Z,PT1M,Shorts,1398709,19670,112
NIpofd_T178,https://www.youtube.com/watch?v=NIpofd_T178,악마 #다이루어질지니 #다지니 #shorts,푹씬,2025-10-19T12:30:28Z,PT50S,Shorts,28560,167,0
LqsPJM2HvJA,https://www.youtube.com/watch?v=LqsPJM2HvJA,지니의 마법이 불러온 슬픈 짝사랑😭 #다이루어질지니,오늘도 숏주행,2025-10-16T08:39:54Z,PT1M,Shorts,67102,730,7
P0tpph4_YNE,https://www.youtube.com/watch?v=P0tpph4_YNE,하늘이 버린 순간 기적이 떨어졌다  #다 이루어질 지니 #수지 #김우빈 #안은진 #고규필 #김미경 #노상현 #이주영 #우현진 #넷플릭스 #드라마,드라마샵,2025-10-19T05:15:01Z,PT1M,Shorts,153397,1609,27
5qi2acsKgoI,https://www.youtube.com/watch?v=5qi2acsKgoI,모두들 기겁하는 가영의 남다른 문제해결능력 #다이루어질지니,버스안에서,2025-10-16T05:00:12Z,PT1M,Shorts,3486078,43373,87
hwHCufyYN48,https://www.youtube.com/watch?v=hwHCufyYN48,983년 동안 고민한 게 이거라고?ㅋㅋ #다이루어질지니 #넷플릭스,한입만봐,2025-10-12T15:15:47Z,PT58S,Shorts,722649,7187,63
cbN6znBEOPw,https://www.youtube.com/watch?v=cbN6znBEOPw,샴푸 한 통 써도 변하지 않는 초롱이 #다이루어질지니,드짱,2025-10-13T22:00:46Z,PT55S,Shorts,533803,6391,23
5TN3Nm80YQY,https://www.youtube.com/watch?v=5TN3Nm80YQY,다시 만날 운명 수지❤️김우빈 키스 신  #다이루어질지니,드라마방송국,2025-10-16T23:30:01Z,PT55S,Shorts,16891,327,0
5Jb1foX4CZc,https://www.youtube.com/watch?v=5Jb1foX4CZc,뭘 자꾸 던지는 거야!! #다이루어질지니,숏핑하세요,2025-10-17T05:00:10Z,PT58S,Shorts,1034,5,0
n53YTqB9PXo,https://www.youtube.com/watch?v=n53YTqB9PXo,가영이를 없애려 한 불멸자에게 열받은 천사 #다이루어질지니 #수지 #김우빈,호돌극장,2025-10-13T07:00:44Z,PT58S,Shorts,2520058,27534,189
MadTod9rEAQ,https://www.youtube.com/watch?v=MadTod9rEAQ,맛이 없어요 #다이루어질지니 #노상현,건봉이티비,2025-10-15T06:30:22Z,PT1M,Shorts,21401,158,0
