video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
Ol0mw_AY-Io,https://www.youtube.com/watch?v=Ol0mw_AY-Io,돌아오지 말았어야 할 남자 | 당신이 죽였다 | 넷플릭스,Netflix Korea 넷플릭스 코리아,2025-11-14T09:00:00Z,PT4M40S,Clip,66085,285,64
3uN3L-h8Gy8,https://www.youtube.com/watch?v=3uN3L-h8Gy8,눈 돌아간 남편 사랑의 증표로 내리친 희수 #당신이죽였다,어서옵쇼츠,2025-11-17T03:29:40Z,PT41S,Shorts,388868,3591,27
2-Xzw8w-xlA,https://www.youtube.com/watch?v=2-Xzw8w-xlA,쏘시오패스 남편연기 1황 등극한 남자배우[끝에 인터뷰 포함],따따무비,2025-11-12T05:24:00Z,PT59S,Shorts,1063021,12258,130
m8UiIdAaPPw,https://www.youtube.com/watch?v=m8UiIdAaPPw,가정폭력을 외면하는 주변사람들 #당신이죽였다,멍스토리,2025-11-14T01:01:04Z,PT36S,Shorts,219227,1480,14
RNWXCiRIN8Y,https://www.youtube.com/watch?v=RNWXCiRIN8Y,은수를 만난 뒤 변하게 된 진소백 #당신이죽였다,멍스토리,2025-11-15T01:00:41Z,PT48S,Shorts,882007,8348,62
rDmek7Nktpg,https://www.youtube.com/watch?v=rDmek7Nktpg,평범한 일상의 소중함을 되찾은 희수 #당신이죽였다,멍스토리,2025-11-13T01:01:13Z,PT35S,Shorts,2672115,27481,131
fQtuui18V9Y,https://www.youtube.com/watch?v=fQtuui18V9Y,진소백이 사람을 대하는 자세 #당신이죽였다,멍스토리,2025-11-16T01:01:02Z,PT41S,Shorts,301058,2521,34
PtunHSqH3pU,https://www.youtube.com/watch?v=PtunHSqH3pU,진소백이 은수를 좋아할 수 밖에 없는 이유 #당신이죽였다,멍스토리,2025-11-11T11:00:51Z,PT39S,Shorts,1292933,10886,108
-DWJh9PLu5w,https://www.youtube.com/watch?v=-DWJh9PLu5w,출세에만 집착하다 몰락한 노진영 #당신이죽였다,멍스토리,2025-11-15T12:45:00Z,PT43S,Shorts,556453,3095,12
VlHo-G3uFhQ,https://www.youtube.com/watch?v=VlHo-G3uFhQ,진짜 남의 편이었던 시어머니의 민낯 #당신이죽였다,어서옵쇼츠,2025-11-18T04:30:20Z,PT50S,Shorts,7770,51,0
qGI-euVHRTE,https://www.youtube.com/watch?v=qGI-euVHRTE,죽기전에 친구 은수랑 먹고 싶었던 닭강정 #당신이죽였다,펀펀무비,2025-11-14T10:01:39Z,PT59S,Shorts,491924,4022,12
jFdB63gzy68,https://www.youtube.com/watch?v=jFdB63gzy68,복수때문에 격투기 배우는 걸 눈치챈 관장님 #당신이죽였다,멍스토리,2025-11-14T12:57:00Z,PT38S,Shorts,1466036,12586,86
7tnFbVUWvow,https://www.youtube.com/watch?v=7tnFbVUWvow,흔하지 않은 사장의 직원 지키는 법 | 당신이 죽였다 | 넷플릭스,Netflix Korea 넷플릭스 코리아,2025-11-11T12:00:00Z,PT2M18S,Clip,91030,622,99
s3J1IAjA_VY,https://www.youtube.com/watch?v=s3J1IAjA_VY,여성 경찰청장을 꿈꾸며 온갖 나쁜짓 다하는 여동생 #당신이죽였다,어서옵쇼츠,2025-11-11T06:20:46Z,PT44S,Shorts,1413795,8502,16
0xNVvJ2UROE,https://www.youtube.com/watch?v=0xNVvJ2UROE,남의 직원 함부로 건들면 안 되는 이유 | 당신이 죽였다,Netflix Korea 넷플릭스 코리아,2025-11-13T02:00:00Z,PT1M30S,Clip,82722,792,19
BrTh1A4JTkU,https://www.youtube.com/watch?v=BrTh1A4JTkU,희수가 다시 돌아올 수밖에 없었던 이유 #당신이죽였다,버스안에서,2025-11-11T08:30:06Z,PT53S,Shorts,460548,3272,59
35pHeCAFl3E,https://www.youtube.com/watch?v=35pHeCAFl3E,맞는 말만 하는 장강 내려친 준표 엄마 #당신이죽였다,어서옵쇼츠,2025-11-17T06:30:05Z,PT40S,Shorts,263676,1251,0
QSahVj4GKUc,https://www.youtube.com/watch?v=QSahVj4GKUc,여성운동가 시어머니의 소름끼치는 본모습 #당신이죽였다,심야의 짧은 극장,2025-11-16T23:30:07Z,PT1M2S,Clip,92602,413,2
tbjRmboRb-Y,https://www.youtube.com/watch?v=tbjRmboRb-Y,불안감에 시달리는 은수와 희수 #당신이죽였다,멍스토리,2025-11-16T13:33:00Z,PT35S,Shorts,92055,420,0
4IeKveMTPPU,https://www.youtube.com/watch?v=4IeKveMTPPU,자신의 죄를 끝까지 인정 안하는 아빠 #당신이죽였다,멍스토리,2025-11-13T12:20:01Z,PT39S,Shorts,1098411,9419,63
BvcNF9ZKHmc,https://www.youtube.com/watch?v=BvcNF9ZKHmc,가정폭력 오빠를 아내바보로 둔갑하려는 노진영 #당신이죽였다,멍스토리,2025-11-12T12:00:18Z,PT40S,Shorts,683165,4099,11
zcgbaKhksRQ,https://www.youtube.com/watch?v=zcgbaKhksRQ,안전벨트 풀고 폭주? 살인미수#당신이죽였다,시네드,2025-11-17T03:47:02Z,PT1M,Shorts,19077,255,2
IGpzw4-GrOg,https://www.youtube.com/watch?v=IGpzw4-GrOg,무심코 뱉은 진소백의 말에서 힌트를 얻는 은수 #당신이죽였다,심야의 짧은 극장,2025-11-14T02:30:28Z,PT1M12S,Clip,87307,867,1
TG8g0zWFZ7s,https://www.youtube.com/watch?v=TG8g0zWFZ7s,오빠의 불륜을 본 여동생이 제일 처음 한일 #당신이죽였다,어서옵쇼츠,2025-11-12T14:44:20Z,PT41S,Shorts,1212856,8816,22
Z8c7SHDZJ34,https://www.youtube.com/watch?v=Z8c7SHDZJ34,쓰레기사장 처리하는 이무생 #당신이죽였다,로코숏,2025-11-16T14:54:53Z,PT58S,Shorts,19099,194,0
GNodQ6vlY7s,https://www.youtube.com/watch?v=GNodQ6vlY7s,동생도 몰랐던 오빠의 은밀한 이중생활...? #이유미 #전소니 #당신이죽였다,어바웃타임 (About time),2025-11-11T12:11:53Z,PT46S,Shorts,1459610,11544,13
lkKCFleneR4,https://www.youtube.com/watch?v=lkKCFleneR4,장첸의 후계자 장강의 꿈 #당신이죽였다,멍스토리,2025-11-12T01:01:04Z,PT39S,Shorts,383268,1788,4
ZqPUXMZQruc,https://www.youtube.com/watch?v=ZqPUXMZQruc,뭐 하나 그냥 넘기는 법이 없는 숨막히는 남편 #당신이죽였다,어서옵쇼츠,2025-11-14T08:01:17Z,PT45S,Shorts,562759,3646,38
FaxDGQjDJJg,https://www.youtube.com/watch?v=FaxDGQjDJJg,죽기 전에 마지막으로 은수를 만난 희수 #당신이죽였다,톡잇업TV,2025-11-13T09:45:43Z,PT38S,Shorts,156419,814,10
OPL0b33cM5Q,https://www.youtube.com/watch?v=OPL0b33cM5Q,드디어 끝이 보이는 그들의 완벽 범죄 #이유미 #전소니 #당신이죽였다,어바웃타임 (About time),2025-11-11T12:18:05Z,PT55S,Shorts,372319,2046,1
3mPWxgqhwgk,https://www.youtube.com/watch?v=3mPWxgqhwgk,엄마가 아들 잘못 키우면 벌어지는 일 #당신이죽였다,펀펀무비,2025-11-13T07:00:05Z,PT59S,Shorts,544652,3875,15
A3S7Vpgyz_g,https://www.youtube.com/watch?v=A3S7Vpgyz_g,"[FULL] 벗어날 수 없는 현실 앞에서 살인을 결심한 두 여자👭 드라마 〈당신이 죽였다〉의 배우 전소니, 이유미 보는 라디오 | 12시엔 주현영 | 251113",SBS Radio 에라오,2025-11-13T07:11:16Z,PT39M22S,Clip,11648,0,9
iIWD3ctbRvY,https://www.youtube.com/watch?v=iIWD3ctbRvY,빛나던 희수를 무기력하게 만든 결혼 #당신이죽였다,어서옵쇼츠,2025-11-14T02:56:08Z,PT59S,Shorts,535254,6495,94
Fx9kByEyz8Q,https://www.youtube.com/watch?v=Fx9kByEyz8Q,희수의 자백에 눈물 흘리는 아래층 #당신이죽였다,어서옵쇼츠,2025-11-11T09:00:22Z,PT36S,Shorts,3819581,42687,237
yZVffwA88bc,https://www.youtube.com/watch?v=yZVffwA88bc,대통령실 파견 심사 앞두고 흑화해버린 형사 #당신이죽였다,어바웃타임 (About time),2025-11-12T14:48:57Z,PT58S,Shorts,240981,1161,2
CVd2zLtxxWU,https://www.youtube.com/watch?v=CVd2zLtxxWU,지리는 PTSD 연기하는 이유미 #당신이죽였다 #이유미 #전소니 #장승조,긴장시네마,2025-11-17T11:40:00Z,PT49S,Shorts,145909,1507,7
SW0TcqMZ0Js,https://www.youtube.com/watch?v=SW0TcqMZ0Js,시누의 거짓말에 속지않고 희수에게 사과한 경찰 #당신이죽였다,어서옵쇼츠,2025-11-12T04:01:17Z,PT48S,Shorts,1402317,12100,36
IOIzaKQZsSg,https://www.youtube.com/watch?v=IOIzaKQZsSg,희수가 쉴 수 있는 유일한 공간 #당신이죽였다,심야의 짧은 극장,2025-11-15T23:30:13Z,PT1M7S,Clip,49992,490,1
0NPNnKIDIg8,https://www.youtube.com/watch?v=0NPNnKIDIg8,지옥에서 벗어나 웃음을 되찾은 희수 #이유미 #전소니 #당신이죽였다,어바웃타임 (About time),2025-11-11T12:14:41Z,PT35S,Shorts,693904,6945,11
V5WggjyZhIw,https://www.youtube.com/watch?v=V5WggjyZhIw,당신이 죽였다 과몰입 방지 썰 | 당신이 죽였다 홍보하러 온 건 맞는데,Netflix Korea 넷플릭스 코리아,2025-11-11T10:00:00Z,PT50S,Shorts,101111,1002,11
cjYv1UzDTR4,https://www.youtube.com/watch?v=cjYv1UzDTR4,친구 남편과 닮은 남자를 보고 한 생각,중성마녀얍,2025-11-17T12:01:21Z,PT1M3S,Clip,58353,993,0
RgItjMRnYDQ,https://www.youtube.com/watch?v=RgItjMRnYDQ,자신의 출세를 위해 가정폭력을 무시하다 벌어진 일 #당신이죽였다,펀펀무비,2025-11-12T03:00:27Z,PT57S,Shorts,1293382,14268,81
e7Imh4IkSBU,https://www.youtube.com/watch?v=e7Imh4IkSBU,자기 사람 건드리는 건 절대 못 참는 진소백,꿀맛드라마,2025-11-12T03:08:49Z,PT1M,Shorts,698367,6483,36
gHr4YVyqBWU,https://www.youtube.com/watch?v=gHr4YVyqBWU,시끄러운 윗집만난 아랫집 #당신이죽였다 #넷플릭스,무비보트,2025-11-16T04:50:26Z,PT48S,Shorts,473404,7073,12
BPkyyxtZznM,https://www.youtube.com/watch?v=BPkyyxtZznM,친구의 도움보다 희수에게 더 중요한 것 #당신이죽였다,심야의 짧은 극장,2025-11-18T01:00:13Z,PT57S,Shorts,5037,24,1
lNBhQrjaqhQ,https://www.youtube.com/watch?v=lNBhQrjaqhQ,증거를 지워버리는 형사 노진영이 가려는 곳 #당신이죽였다,톡잇업TV,2025-11-11T09:20:35Z,PT38S,Shorts,433075,2838,31
r_Ou5ef5xhY,https://www.youtube.com/watch?v=r_Ou5ef5xhY,싸패 남편 사라지니 물도 맛있어진 희수 #당신이죽였다,어서옵쇼츠,2025-11-13T04:28:50Z,PT42S,Shorts,547157,4205,20
ixM_vm2zcak,https://www.youtube.com/watch?v=ixM_vm2zcak,〈당신이 죽였다〉 주인공들의 이름 디테일! | 12시엔 주현영,SBS Radio 에라오,2025-11-13T07:11:44Z,PT26S,Shorts,29551,0,1
8Fdv5F-ijyI,https://www.youtube.com/watch?v=8Fdv5F-ijyI,장강을 납치해가는 깡다구 쌔진 조은수 #당신이죽였다,톡잇업TV,2025-11-12T08:21:03Z,PT33S,Shorts,52714,292,1
8txUAy20Bec,https://www.youtube.com/watch?v=8txUAy20Bec,이거 안 없애면...폭행 피해 아내의 최후 협박 #당신이죽였다 #asyoustoodby #전소니 #이유미 #장승조 #이무생,픽플 ᴘɪᴄᴋ ᴘʟᴀʏ,2025-11-15T03:00:12Z,PT56S,Shorts,12284,61,1
rebI6MMzjEg,https://www.youtube.com/watch?v=rebI6MMzjEg,“담배 피우며 기다렸다… 새언니가 죽길” #당신이죽였다.,달기Pick,2025-11-14T04:00:52Z,PT52S,Shorts,15768,85,2
9ph9sy433SI,https://www.youtube.com/watch?v=9ph9sy433SI,여형사 대 살인범 혈투 끝 승자는? #당신이죽였다,톡잇업TV,2025-11-12T10:21:05Z,PT44S,Shorts,87047,381,0
uTm-R6PTd0U,https://www.youtube.com/watch?v=uTm-R6PTd0U,그리고 이제는 파도가 두렵지 않은 사람 #이유미 #전소니 #당신이죽였다,어바웃타임 (About time),2025-11-14T12:30:31Z,PT1M3S,Clip,1409712,14916,92
WeBRRsOF8i0,https://www.youtube.com/watch?v=WeBRRsOF8i0,"그 아들에 그 어머니, 계란 후라이 해먹었니? #당신이죽였다",어서옵쇼츠,2025-11-13T06:00:27Z,PT42S,Shorts,1456152,8551,44
gOjFQQdvhQo,https://www.youtube.com/watch?v=gOjFQQdvhQo,아버지를 떠난 엄마와 처음으로 속마음 나누는 은수 #당신이죽였다,어서옵쇼츠,2025-11-11T14:38:08Z,PT45S,Shorts,901947,8563,71
QYfCGY5gXtU,https://www.youtube.com/watch?v=QYfCGY5gXtU,희수를 꿈을 짓밟고 아무런 죄책감이 없는 남편 #당신이죽였다,버스안에서,2025-11-12T04:30:15Z,PT1M4S,Clip,1117205,15652,44
j8NcMuigKNk,https://www.youtube.com/watch?v=j8NcMuigKNk,은수가 희수를 도와줬던 이유 #당신이죽였다,어바웃타임 (About time),2025-11-13T10:45:44Z,PT59S,Shorts,92159,487,1
xuHVh5_Q_AE,https://www.youtube.com/watch?v=xuHVh5_Q_AE,눈빛 연기가 소름 돋는 배우 #당신이죽였다,드짱,2025-11-11T16:58:50Z,PT1M21S,Clip,96568,835,12
