video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
pByJ4wfPkko,https://www.youtube.com/watch?v=pByJ4wfPkko,"박민영, 당신이 몰랐던 5가지 사실",김팩트,2024-01-16T04:27:32Z,PT55S,Shorts,4738337,0,677
QKjBmRGsSbU,https://www.youtube.com/watch?v=QKjBmRGsSbU,너무 말라진 몸매로 팬들이 걱정하는 박민영 근황,또보패션,2025-09-04T11:35:17Z,PT33S,Shorts,526321,2088,1151
pWu1I33NYLo,https://www.youtube.com/watch?v=pWu1I33NYLo,내남편과 결혼해줘 배우 박민영 과거와 현재 #내남편과결혼해줘,알면 뭐하니?,2024-01-13T10:00:29Z,PT13S,Shorts,50070,151,7
f8kmK4db4a0,https://www.youtube.com/watch?v=f8kmK4db4a0,말라도 너무 마른 박민영,머길ㅣMUGIL,2025-09-01T14:48:46Z,PT19S,Shorts,98352,456,170
ocwaRZVyixw,https://www.youtube.com/watch?v=ocwaRZVyixw,"""뭐, 의사라도 돼요?"" 박민영-김선영 첫 만남부터 스파크 작렬⚡ | #컨피던스맨KR 5회 | TV CHOSUN 250920 방송",TVCHOSUN DRAMA,2025-09-20T14:40:01Z,PT5M4S,Clip,296445,953,98
ECnR4Kc52jA,https://www.youtube.com/watch?v=ECnR4Kc52jA,#박민영 배우 보고 하루종일 행복해 🥹💕키톤 행사 참석한 박민영 배우 #kiton #parkminyoung,포토제이림,2025-08-22T08:42:50Z,PT14S,Shorts,21285,100,12
P3FoYeRSgIs,https://www.youtube.com/watch?v=P3FoYeRSgIs,"나름 옷 잘 입었던 박민영, 어쩌다...",김팩트,2024-02-12T12:58:00Z,PT28S,Shorts,2105106,0,772
XEwCkBh6enI,https://www.youtube.com/watch?v=XEwCkBh6enI,"박민영 대변인 ""아직도 한동훈이 대통령 될 거 같아요?""",보수넘버원,2025-08-31T21:00:25Z,PT14S,Shorts,61130,2672,145
jhbHpSLfiXE,https://www.youtube.com/watch?v=jhbHpSLfiXE,박민영 충격 폭로! 한동훈 작년에 대통령에 이런 미친 짓 했다! 내부 사정 최초 공개! #한동훈 #박민영 #장동혁 #국민의힘,목격자K,2025-10-09T21:26:01Z,PT35M17S,Clip,81005,11429,1170
uWqqMZvFCDE,https://www.youtube.com/watch?v=uWqqMZvFCDE,한동훈을 사랑한 박민영 #shorts,매일신문,2025-02-12T07:52:04Z,PT49S,Shorts,18103,1880,177
AM1e7rxVjSU,https://www.youtube.com/watch?v=AM1e7rxVjSU,박민영 실물현장 후기,모두의 신 ,2024-04-07T11:00:09Z,PT1M1S,Clip,2592905,29310,910
yawJEHdXCZ8,https://www.youtube.com/watch?v=yawJEHdXCZ8,박민영 일병 구하기 (팬영상 수상작),감동란TV 4.0 GamdonglanTV,2025-11-21T16:07:18Z,PT12M32S,Clip,27395,2687,336
IFidAtEDJ2w,https://www.youtube.com/watch?v=IFidAtEDJ2w,"[지금뉴스] 국힘 대변인 ""푸하하"" 논란된 장면…장애인·노인 비하에 '엄중 경고' / KBS 2025.11.17.",KBS News,2025-11-17T07:22:00Z,PT1M50S,Clip,35619,711,1022
EHOr0FgT2Vc,https://www.youtube.com/watch?v=EHOr0FgT2Vc,보정없는 공항 연예인 비율현장 후기(김수현 박민영 김혜윤 하정우 제시 사나),모두의 신 ,2024-06-17T11:00:13Z,PT1M1S,Clip,142065,1552,41
g0za9B1zJxw,https://www.youtube.com/watch?v=g0za9B1zJxw,박민영 변천사 이렇게 변했을 줄은 몰랐다 #박민영 #배우박민영 #쇼츠 #shorts,LegendShots Archive,2025-09-07T12:25:06Z,PT1M,Shorts,605540,7709,115
UCXbKFyq3XA,https://www.youtube.com/watch?v=UCXbKFyq3XA,🔥백화점 진상 아줌마 떴다 ㄷㄷ VIP라고 갑질하는 욕쟁이 아줌마 참교육하는 상위 0.1% VVVIP 재벌 박민영《컨피던스맨 KR》 5-6화 몰아보기,리씨네,2025-09-22T08:00:37Z,PT20M10S,Clip,725173,3543,202
iRzgiSSm0Uw,https://www.youtube.com/watch?v=iRzgiSSm0Uw,"[뉴스 '꾹'] ""이건 쌍욕 나와..지가 뭔데?"" 국힘 대변인 '핵디스' 파문 (2025.11.17/MBC뉴스)",MBCNEWS,2025-11-17T08:01:29Z,PT2M39S,Clip,479632,8442,5371
TFe-RvpvPGw,https://www.youtube.com/watch?v=TFe-RvpvPGw,박민영 대변인이 전한 장동혁 당선이 기적인 이유,SnapNews,2025-08-27T01:24:04Z,PT51S,Shorts,315033,32853,824
6Uemovg5ZZQ,https://www.youtube.com/watch?v=6Uemovg5ZZQ,김예지에 박민영 구두 경고 어떻게 생각하나 묻자 [티조Clip],뉴스TVCHOSUN,2025-11-19T07:54:15Z,PT7M46S,Clip,9448,210,689
yhGKEmCQkxg,https://www.youtube.com/watch?v=yhGKEmCQkxg,"""박민영, 윤 전 대통령이 들인 사람""…장성철 ""약자 편견 저급한 발언""｜지금 이 뉴스",JTBC News,2025-11-18T03:30:41Z,PT1M42S,Clip,37914,834,290
oGMducqgKHc,https://www.youtube.com/watch?v=oGMducqgKHc,[LIVE 멸콩토크] 장예찬&박민영,멸콩TV,2025-10-22T09:44:25Z,PT1H4M,Clip,66409,14635,613
L-3nV2GD3_o,https://www.youtube.com/watch?v=L-3nV2GD3_o,"박민영, 김예지 한동훈 공천이라고?",제준뉴스,2025-11-18T03:00:32Z,PT7M51S,Clip,17351,1548,119
hdiKjNT1QDE,https://www.youtube.com/watch?v=hdiKjNT1QDE,이 여배우가 박민영과 인사는커녕 말도 안 섞었던 이유#shorts,곰이슈,2024-03-18T07:15:00Z,PT58S,Shorts,768931,3474,295
gpYfxxq9-xw,https://www.youtube.com/watch?v=gpYfxxq9-xw,상위 𝟬.𝟭% 𝑽𝑽𝑰𝑷 박민영 앞에서 욕하고 갑질하던 인성 쓰레기 𝑽𝑰𝑷의 최후ㅎㄷㄷ사이다 참교육 신작 드라마《컨피던스맨𝐾𝑅》5-6화 몰아보기,어바웃타임 (About time),2025-09-22T08:00:05Z,PT20M58S,Clip,670851,2676,36
k9W_EQ8jVpA,https://www.youtube.com/watch?v=k9W_EQ8jVpA,회사 사람들 보는 앞에서 바람피운 전남친 참교육 하기 #shorts #기상청사람들 #박민영 #송강,1분드라마모음zip,2024-01-05T05:35:00Z,PT30S,Shorts,1610985,17527,113
KZIcasCr5pw,https://www.youtube.com/watch?v=KZIcasCr5pw,[QUICK VIEW🔥] 소시오패스 박민영이 메인 빌런을 마음먹고 참교육하면 일어나는 일♨ | #컨피던스맨KR 1-2회 몰아보기 | TV CHOSUN 250906 방송 외,TVCHOSUN DRAMA,2025-09-27T01:00:22Z,PT36M2S,Clip,74976,364,14
d_WIefZ5v00,https://www.youtube.com/watch?v=d_WIefZ5v00,"궁지 몰린 박민영 ""한동훈 재기 불가""",제준뉴스,2025-11-17T22:00:50Z,PT10M10S,Clip,44955,3087,268
YcNJyA2CCBA,https://www.youtube.com/watch?v=YcNJyA2CCBA,장동혁 쐐기를 박았다! 내부분탕 척결! #장동혁 #박민영 #대변인단,BJ톨,2025-09-16T01:02:30Z,PT52S,Shorts,138077,22723,1138
76HGR6q-qT8,https://www.youtube.com/watch?v=76HGR6q-qT8,"[오늘 이 뉴스] ""박민영 아직 사과도 없어"".. '사표 왜 안 받나' 직격 (2025.11.19/MBC뉴스)",MBCNEWS,2025-11-19T05:32:29Z,PT7M46S,Clip,40946,1143,571
LQhNZIBGw9M,https://www.youtube.com/watch?v=LQhNZIBGw9M,사이다발언 #박민영대변인 #뭐하고자빠졌다가,킵고잉,2025-09-24T17:40:57Z,PT10S,Shorts,920733,0,0
fx8mMWB8QQc,https://www.youtube.com/watch?v=fx8mMWB8QQc,[LIVE 멸콩토크] 장예찬&박민영,멸콩TV,2025-11-26T10:06:38Z,PT59M31S,Clip,38469,7308,248
yefvT6FFNmw,https://www.youtube.com/watch?v=yefvT6FFNmw,"박민영, 분노의 샤우팅! ""암세포는 잘라내야 합니다"" [금요비대위]",매일신문,2025-08-27T06:56:39Z,PT39M50S,Clip,102719,7485,2216
_MSuqi4CrJ0,https://www.youtube.com/watch?v=_MSuqi4CrJ0,[LIVE 멸콩토크] 장예찬&박민영,멸콩TV,2025-11-19T10:33:12Z,PT54M46S,Clip,48384,10961,867
cxbYD5xQKs0,https://www.youtube.com/watch?v=cxbYD5xQKs0,문재인 덕에 정치 입문한 국힘 대변인?,한국일보(hankookilbo.com),2025-07-16T11:01:09Z,PT45S,Shorts,10779,284,79
dQmiQ3K3K-o,https://www.youtube.com/watch?v=dQmiQ3K3K-o,너 지금 나한테 이러는 거 니 와이프는 아니? #shorts #기상청사람들 #박민영 #송강,1분드라마모음zip,2024-01-19T05:35:00Z,PT50S,Shorts,610632,4725,67
Ke7z_cuDZ2E,https://www.youtube.com/watch?v=Ke7z_cuDZ2E,결혼이 현실인 이유 #shorts #기상청사람들 #박민영 #송강,1분드라마모음zip,2024-01-18T04:33:00Z,PT59S,Shorts,814023,5652,230
EEAiLudGfJg,https://www.youtube.com/watch?v=EEAiLudGfJg,"김예지, '장기 적출' 언급한 박민영 허위 사실 유포로 고소…""더 이상 침묵할 수 없었다""｜지금 이 뉴스",JTBC News,2025-11-18T02:21:55Z,PT1M50S,Clip,112274,2788,1568
SlXNi-lO3MU,https://www.youtube.com/watch?v=SlXNi-lO3MU,어딘가 수상한 집 보러 온 사람들 #컨피던스맨kr #박민영 #주종혁 #박희순 #이이경,어바웃타임 (About time),2025-09-14T13:36:07Z,PT1M,Shorts,3267778,11951,15
