video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
wCNjTjWd100,https://www.youtube.com/watch?v=wCNjTjWd100,자폐스펙트럼을 가졌지만 압도적 승소율의 천재 변호사 박은빈(우영우)이 세상이 가진 편견을 박살내주는 대.꿀.잼. 필수시청 드라마 [이상한 변호사 우영우] 채널 ENA,고몽,2022-07-02T01:00:31Z,PT33M59S,Clip,20020271,154559,9071
9FtTjZXxhj0,https://www.youtube.com/watch?v=9FtTjZXxhj0,"이상한 변호사 우영우, 아..돈까스 먹고 싶은데..🙄 #Shorts",튀기미 Twikimi,2022-07-09T13:15:00Z,PT24S,Shorts,15842292,242609,1285
CyXlIw5aYpk,https://www.youtube.com/watch?v=CyXlIw5aYpk,배우 박은빈 묻히는 장면 ㅋㅋㅋㅋㅋ,야케준yakejun,2022-10-27T15:40:35Z,PT7S,Shorts,13826284,77488,4531
G7zVz4VUT8E,https://www.youtube.com/watch?v=G7zVz4VUT8E,흉악범은 사이다가 답이죠👊 망언하는 범죄자 참교육 하는 판사 박은빈.zip #이판사판 #모았캐치 #SBSCatch,SBS Catch,2021-12-01T08:15:01Z,PT25M16S,Clip,12372359,46497,2141
yYWcgxsc5f0,https://www.youtube.com/watch?v=yYWcgxsc5f0,[박은빈] 뿌엥 너무해 🤣 #박은빈 #이상한변호사우영우,"기승전빈, 언제나 박은빈🐰🍀",2022-07-21T09:45:32Z,PT11S,Shorts,12054161,0,622
MfbNUDn8HXs,https://www.youtube.com/watch?v=MfbNUDn8HXs,[KB국민은행 ✕ 박은빈] 국민 모두의 꿈을 키우는 은행 (30s),KB국민은행,2025-07-11T10:20:55Z,PT31S,Shorts,10298512,295,35
JYB3d5lw9f8,https://www.youtube.com/watch?v=JYB3d5lw9f8,국민과 함께하는 희망 스타트! (꿍따리 샤바라 Song by 박은빈)_Full ver.,KB금융그룹,2024-04-28T23:00:47Z,PT1M41S,Clip,10238492,7410,642
7VEnOx0PQ7s,https://www.youtube.com/watch?v=7VEnOx0PQ7s,시청률 1%의 기적 #박은빈 #수상소감 #이상한변호사 #이상한변호사우영우 #우영우 #백상예술대상,오늘의 수상자,2025-01-11T01:23:14Z,PT51S,Shorts,11127834,221875,2449
it3XNqNgeSw,https://www.youtube.com/watch?v=it3XNqNgeSw,냅다 잘 추는 박은빈🫢 #ParkEunBin #ShutDown #Shorts,나무엑터스 NAMOOACTORS Official,2022-11-09T00:04:04Z,PT39S,Shorts,9448881,321395,3537
vTSubURsLlo,https://www.youtube.com/watch?v=vTSubURsLlo,[박은빈] NG 내는 장면도 멋진 천재 변호사 우영우...가 아니라 박은빈🐳,휘뿐세상,2022-07-05T11:05:38Z,PT11S,Shorts,9714995,0,985
T1FeFSHOgQ0,https://www.youtube.com/watch?v=T1FeFSHOgQ0,광수 딱밤에 쓰러지는 박은빈 #런닝맨,SBS 옛날 예능 - 빽능,2023-10-17T08:00:13Z,PT1M,Shorts,8454686,104791,1790
UZbWRY6LYf8,https://www.youtube.com/watch?v=UZbWRY6LYf8,바로들킨전소민박은빈 #Shorts,런닝맨 - 스브스 공식 채널,2021-09-04T02:06:37Z,PT48S,Shorts,8271411,131936,1274
ZYznT0K7img,https://www.youtube.com/watch?v=ZYznT0K7img,웬만한 가수 학살하는 여배우 노래실력 TOP5,간주점프,2024-03-13T11:31:54Z,PT59S,Shorts,7895822,81086,2072
3aRtJHfsN4g,https://www.youtube.com/watch?v=3aRtJHfsN4g,[59회 백상] TV부문 대상 - 박은빈 | JTBC 230428 방송,백상예술대상,2023-04-28T12:40:16Z,PT9M26S,Clip,7367991,122772,12107
zPFftAaT-8c,https://www.youtube.com/watch?v=zPFftAaT-8c,마라맛이였던 박은빈의 판사 시절 #shorts #박은빈 #이판사판,SBS 옛날 드라마 - 빽드,2022-07-19T08:00:32Z,PT56S,Shorts,7342903,127369,903
