video_id,video_title,shortType,comment_id,parent_id,isReply,author,text,publishedAt,likeCount
HHH8ydzxLDg,[#신사장프로젝트] 싸움이면 뭐~든 해결해 드림🪄 MZ 세대 사랑싸움까지도 완벽 해결하는 한석규ㅋㅋㅋ | #번개클립,Clip,UgyuXGmTXVDqaak0omp4AaABAg,,0,@tvNDENT,"주먹의 시대는 끝났다👊
데미지 MAX '말빨'로 승부한다💥

믿고 보는 배우 한석규의 사이다 협상극

〈신사장 프로젝트〉 
[월화] 저녁 8:50 방송 | tvN",2025-10-14T00:02:31Z,3
HHH8ydzxLDg,[#신사장프로젝트] 싸움이면 뭐~든 해결해 드림🪄 MZ 세대 사랑싸움까지도 완벽 해결하는 한석규ㅋㅋㅋ | #번개클립,Clip,UgzPRx10YdD-cQlQUXl4AaABAg,,0,@예현신-p6b,"어제는  횟수 안나가고 ... 
무슨 협상모음집을 '하는거에욧??
일주일기다리는데...
짜증났습니당",2025-10-14T07:40:20Z,2
wdk6Rc3egeo,[#신사장프로젝트] 7-8화 요약 | 엄청난 존재를 숨기고 사는 수상한 치킨집 사장..?🫢 | #번개클립,Clip,Ugxm4KhoHXbBMDh1cCB4AaABAg,,0,@tvNDENT,"주먹의 시대는 끝났다👊
데미지 MAX '말빨'로 승부한다💥

믿고 보는 배우 한석규의 사이다 협상극

〈신사장 프로젝트〉 
[월화] 저녁 8:50 방송 | tvN",2025-10-14T00:03:10Z,0
PEaokdUBrlA,신사장 프로젝트 9화 예고편｜100만 달러의 주인… 준이는 왜 죽었나?,Clip,UgwMF6T5xX3TeUak_3p4AaABAg,,0,@금빛김,판사인디 어캐변호사 말안됩니다,2025-10-11T00:13:12Z,1
xV2RMO86vww,[#신사장프로젝트] 아들 해친 범인에게 동료까지 잃게 생겼다... | #산지직송,Clip,Ugzq1519v9F86BmqSnB4AaABAg,,0,@DiggleClassic,"주먹의 시대는 끝났다👊
데미지 MAX '말빨'로 승부한다💥

믿고 보는 배우 한석규의 사이다 협상극

〈신사장 프로젝트〉 
[월화] 저녁 8:50 방송 | tvN

#tvN #신사장프로젝트 #ShinsProject
#한석규 #배현성 #이레
#같이달려tvN #스트리밍은TVING",2025-10-14T00:13:13Z,0
xV2RMO86vww,[#신사장프로젝트] 아들 해친 범인에게 동료까지 잃게 생겼다... | #산지직송,Clip,UgyGsfETnWeiDAlKgfp4AaABAg,,0,@최은순-j7r,내일밤?,2025-10-14T02:53:55Z,0
JHPYfU4nOc8,[#신사장프로젝트] 썸남 아닌 썸남 앞에 낯선 여자가 등장했다? 자기도 모르게 질투하는 시온이 ㅋㅋㅋ | #번개클립,Clip,UgwuIpszS3rZN0VVwRx4AaABAg,,0,@tvNDENT,"주먹의 시대는 끝났다👊
데미지 MAX '말빨'로 승부한다💥

믿고 보는 배우 한석규의 사이다 협상극

〈신사장 프로젝트〉 
[월화] 저녁 8:50 방송 | tvN",2025-10-13T01:03:45Z,0
JHPYfU4nOc8,[#신사장프로젝트] 썸남 아닌 썸남 앞에 낯선 여자가 등장했다? 자기도 모르게 질투하는 시온이 ㅋㅋㅋ | #번개클립,Clip,UgzLqeLPykk5ayH9oYN4AaABAg,,0,@buristay,귀엽다 ㅎ,2025-10-11T10:11:26Z,0
JHPYfU4nOc8,[#신사장프로젝트] 썸남 아닌 썸남 앞에 낯선 여자가 등장했다? 자기도 모르게 질투하는 시온이 ㅋㅋㅋ | #번개클립,Clip,UgweUztaSanpqE3U9AF4AaABAg,,0,@amberk7985,둘이 너무 안 어울림,2025-10-11T07:01:46Z,0
JHPYfU4nOc8,[#신사장프로젝트] 썸남 아닌 썸남 앞에 낯선 여자가 등장했다? 자기도 모르게 질투하는 시온이 ㅋㅋㅋ | #번개클립,Clip,UgwxPRJ0OvPoZuVlL3V4AaABAg,,0,@balad9020,00:55 – 이 멜로디는 중독성이 강해요. 🎶 한 번 들으면 멈출 수 없어요!,2025-10-11T02:55:16Z,0
O9m3I3wQ_SM,[#신사장프로젝트] 작정하고 전세사기 치는 사기꾼들을 위해 제대로 말아드립니다. 강강약약 신사장의 참교육💥 | #번개클립,Clip,UgypMBF9vMVaUYw7h094AaABAg,,0,@tvNDENT,"주먹의 시대는 끝났다👊
데미지 MAX '말빨'로 승부한다💥

믿고 보는 배우 한석규의 사이다 협상극

〈신사장 프로젝트〉 
[월화] 저녁 8:50 방송 | tvN",2025-10-13T01:04:04Z,0
e8xMm8HMbrY,신사장 프로젝트 9화 예고 진짜 빌런이 나타났다.,Shorts,Ugwg813U_qbUJxENc7R4AaABAg,,0,@김바바나,목베개는 다이소 거야,2025-10-08T19:01:30Z,0
