video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
HHH8ydzxLDg,https://www.youtube.com/watch?v=HHH8ydzxLDg,[#신사장프로젝트] 싸움이면 뭐~든 해결해 드림🪄 MZ 세대 사랑싸움까지도 완벽 해결하는 한석규ㅋㅋㅋ | #번개클립,tvN D ENT,2025-10-13T22:30:03Z,PT18M54S,Clip,56185,296,2
wdk6Rc3egeo,https://www.youtube.com/watch?v=wdk6Rc3egeo,[#신사장프로젝트] 7-8화 요약 | 엄청난 존재를 숨기고 사는 수상한 치킨집 사장..?🫢 | #번개클립,tvN D ENT,2025-10-13T22:30:13Z,PT17M53S,Clip,22262,151,1
PEaokdUBrlA,https://www.youtube.com/watch?v=PEaokdUBrlA,신사장 프로젝트 9화 예고편｜100만 달러의 주인… 준이는 왜 죽었나?,영화드라마톡톡,2025-10-08T21:00:29Z,PT9M30S,Clip,17250,102,2
R3tUQGmLy70,https://www.youtube.com/watch?v=R3tUQGmLy70,"마지막경고,진짜악은병원장이였다?![9화폭풍예고미리보기]#신사장프로젝트  #한석규 #배현성  #이레 #kdrama #드라마추천",명작픽(Pick),2025-10-08T11:00:53Z,PT59S,Shorts,14009,112,0
xV2RMO86vww,https://www.youtube.com/watch?v=xV2RMO86vww,[#신사장프로젝트] 아들 해친 범인에게 동료까지 잃게 생겼다... | #산지직송,디글 클래식 :Diggle Classic,2025-10-13T22:30:21Z,PT16M2S,Clip,8751,61,2
JHPYfU4nOc8,https://www.youtube.com/watch?v=JHPYfU4nOc8,[#신사장프로젝트] 썸남 아닌 썸남 앞에 낯선 여자가 등장했다? 자기도 모르게 질투하는 시온이 ㅋㅋㅋ | #번개클립,tvN D ENT,2025-10-11T02:00:16Z,PT11M41S,Clip,8376,36,4
e8xMm8HMbrY,https://www.youtube.com/watch?v=e8xMm8HMbrY,신사장 프로젝트 9화 예고 진짜 빌런이 나타났다.,GW5758X,2025-10-08T13:12:54Z,PT42S,Shorts,6903,35,1
O9m3I3wQ_SM,https://www.youtube.com/watch?v=O9m3I3wQ_SM,[#신사장프로젝트] 작정하고 전세사기 치는 사기꾼들을 위해 제대로 말아드립니다. 강강약약 신사장의 참교육💥 | #번개클립,tvN D ENT,2025-10-11T02:00:24Z,PT16M50S,Clip,3913,22,1
T44aBwrkKdw,https://www.youtube.com/watch?v=T44aBwrkKdw,[#신사장프로젝트] 협상 전문가에게 존재하는 끈질긴 악연... 15년 전 아들을 죽인 살인자🤬,디글 :Diggle,2025-10-14T22:31:00Z,PT19M33S,Clip,3117,26,1
GtNTUzu27eQ,https://www.youtube.com/watch?v=GtNTUzu27eQ,[#신사장프로젝트] 힝( • ᴖ • ｡) 그 집 너~무 맘에 들어! 부동산 사기꾼 잡으려고 열연하는 필립X시온 ㅋㅋ | #번개클립,tvN D ENT,2025-10-12T02:00:15Z,PT13M19S,Clip,2651,14,0
QvYveWA6gBM,https://www.youtube.com/watch?v=QvYveWA6gBM,#신사장프로젝트 | 시온이는 조필립이 꼴뵈기 싫어졌다 #한석규 #배현성 #이레 #신사장프로젝트8화,드라마중독자,2025-10-09T22:00:28Z,PT39S,Shorts,4132,17,0
JiaqUBn5qgo,https://www.youtube.com/watch?v=JiaqUBn5qgo,#직장인들 #신사장프로젝트 #박미선암투병 #임시완사마귀 #환승연애4 #임영웅불후의명곡 #조용필콘서트 #나훈아콘서트 #핑크마트,핑크마트 어른용품,2025-10-08T12:40:29Z,PT59S,Shorts,4377,23,1
mOKXMzJLdDI,https://www.youtube.com/watch?v=mOKXMzJLdDI,9화에서 드디어 밝혀질 충격적인 진실,드라마한잔,2025-10-09T10:01:26Z,PT53S,Shorts,4130,23,0
uHxEsGFDCgg,https://www.youtube.com/watch?v=uHxEsGFDCgg,😱😏 This man’s plans are unmatched... | Shin Project Kdrama trailer | 신사장 프로젝트,Abyss Scenes,2025-10-14T17:01:23Z,PT15S,Shorts,5642,68,4
V205Nv8y9Ec,https://www.youtube.com/watch?v=V205Nv8y9Ec,신사장프로젝트[9회예고] 직원들 월급 가로채는 악덕 사장놈 두꺼운 낯짝 좀 보세요!!,한군데만 판다,2025-10-09T07:36:41Z,PT28M14S,Clip,2084,6,0
VPyuRRTLatU,https://www.youtube.com/watch?v=VPyuRRTLatU,신사장 프로젝트 윤동이의 백만 불 계좌에 숨겨진 비밀,무비노트,2025-10-10T02:00:30Z,PT12S,Shorts,3776,14,0
XG6_L91uydQ,https://www.youtube.com/watch?v=XG6_L91uydQ,[신사장 프로젝트 9회 예고] “설득은 사람한테나 하지” 신사장의 냉정한 정의 선언 – 뇌피셜 소설,드사세 : 드라마로 사랑과 세상을 배웠어요!,2025-10-09T08:00:27Z,PT14M31S,Clip,2120,9,0
rRp5BEW9Gy4,https://www.youtube.com/watch?v=rRp5BEW9Gy4,#신사장프로젝트 | 윤동희의 칼에 쓰러진 최철 #한석규 #배현성 #최성오 #이레 #신사장프로젝트8화,드라마중독자,2025-10-09T15:52:16Z,PT34S,Shorts,3101,14,0
mrjg8C1rpCc,https://www.youtube.com/watch?v=mrjg8C1rpCc,신사장 프로젝트 8화 예고편_복수에 미친 신사장과 진실을 숨긴 윤동희의 대결 #kdrama #한석규 #배현성 #이레 #드라마,무비N드라마,2025-10-08T12:17:29Z,PT57S,Shorts,6485,6,0
