video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
-Zi7aO6P_U0,https://www.youtube.com/watch?v=-Zi7aO6P_U0,[#신사장프로젝트] 떠들썩한 동네 싸움에 해결사 등장!🌟 세탁소 갑질하는 건물주 바로 정리하는 신사장😎,디글 :Diggle,2025-10-28T15:30:00Z,PT18M38S,Clip,52934,330,4
iAXcQdE8KE8,https://www.youtube.com/watch?v=iAXcQdE8KE8,[#신사장프로젝트] 하루 아침에 세상이 무너졌던 그날...15년 만에 아들 죽음의 진실에 대해 알게 된 신사장 | #번개클립,tvN D ENT,2025-10-27T15:30:29Z,PT19M44S,Clip,75362,424,17
2hc6JvE98bg,https://www.youtube.com/watch?v=2hc6JvE98bg,감옥에서 마주친 두 사람.. 비참한 최후를 맞은 병원장 #신사장프로젝트 EP.12 | tvN 251028 방송,tvN DRAMA,2025-10-28T12:41:48Z,PT3M4S,Clip,35260,213,13
Z3UvYhAqMLM,https://www.youtube.com/watch?v=Z3UvYhAqMLM,[#신사장프로젝트] 살인범이 감옥에서 만난 병원장에게 벌인 일ㄷㄷ | #산지직송,디글 클래식 :Diggle Classic,2025-10-28T15:30:19Z,PT15M1S,Clip,12413,84,1
n8LJr4hhOh8,https://www.youtube.com/watch?v=n8LJr4hhOh8,[#신사장프로젝트] 제대로 걸려들었다⚡ 병원장을 함정에 빠트린 신사장의 날카로운 전략💥,디글 :Diggle,2025-10-27T15:30:30Z,PT13M15S,Clip,36329,242,2
HVu51xhI7MU,https://www.youtube.com/watch?v=HVu51xhI7MU,//체포 완료// 드디어 잡힌 병원장과 범인! #신사장프로젝트 EP.11 | tvN 251027 방송,tvN DRAMA,2025-10-27T12:47:07Z,PT2M44S,Clip,22327,108,8
C0U2JK5PUhg,https://www.youtube.com/watch?v=C0U2JK5PUhg,[#신사장프로젝트] 재판까지 안 가고도 해결해 드립니다^^ 갈등 조정 서울지법 TF팀 결성한 신사장즈✨ | #번개클립,tvN D ENT,2025-10-28T15:31:00Z,PT13M57S,Clip,10166,68,3
VVwtGM72v8A,https://www.youtube.com/watch?v=VVwtGM72v8A,[#신사장프로젝트] 15년 전 그날에 멈춘 아들의 시간... 마침내 진실을 밝힌 한석규🥹,디글 :Diggle,2025-10-27T15:31:00Z,PT19M44S,Clip,9401,81,4
JhiCNEdh6Ng,https://www.youtube.com/watch?v=JhiCNEdh6Ng,[M/V] 김준석 - 신사장 프로젝트 :: 신사장 프로젝트(Shin's Project) OST Special,모스트콘텐츠 MOSTCONTENTS,2025-10-28T03:00:32Z,PT2M14S,Clip,334,0,1
crnR5yFLypA,https://www.youtube.com/watch?v=crnR5yFLypA,병원장의 실체를 밝혀라! 신사장 팀의 완벽 공조 #신사장프로젝트 EP.11 | tvN 251027 방송,tvN DRAMA,2025-10-27T12:35:28Z,PT3M11S,Clip,11241,82,1
2MEI0GGLgdY,https://www.youtube.com/watch?v=2MEI0GGLgdY,[#신사장프로젝트] 살인을 주도하고 전혀 반성 없는 병원장에 완전히 이성 잃은 한석규ㄷㄷ | #번개클립,tvN D ENT,2025-10-27T15:31:00Z,PT13M15S,Clip,9124,69,2
-pIlzpONxUk,https://www.youtube.com/watch?v=-pIlzpONxUk,[#신사장프로젝트] 폐업하고 도망간 헬스장 사기꾼도 신사장한테 걸리면 참교육 엔딩^^ | #번개클립,tvN D ENT,2025-10-26T02:00:00Z,PT17M48S,Clip,7948,46,2
zspiZ13PQ5E,https://www.youtube.com/watch?v=zspiZ13PQ5E,[#신사장프로젝트] 드디어 밝혀지는 그날의 진실 | #산지직송,디글 클래식 :Diggle Classic,2025-10-27T15:31:00Z,PT16M29S,Clip,5797,50,5
FBc8RQhPXfQ,https://www.youtube.com/watch?v=FBc8RQhPXfQ,"[#신사장프로젝트] 9-10화 요약 | 15년 전 아들을 죽인 평생의 원수, 살인범의 배후를 찾은 신사장😠 | #번개클립",tvN D ENT,2025-10-26T02:00:14Z,PT19M45S,Clip,15824,99,1
q0G_S25UVeg,https://www.youtube.com/watch?v=q0G_S25UVeg,[#신사장프로젝트] 교도소에서 재회한 살인범?!😨 호화 생활 누리다가 결국 끔찍한 최후 맞은 병원장 | #번개클립,tvN D ENT,2025-10-28T15:30:30Z,PT15M,Clip,74892,461,21
PILr4T_QkSI,https://www.youtube.com/watch?v=PILr4T_QkSI,[#신사장프로젝트] 생각지도 못한 살인자와 병원장 조합ㄷㄷ | #산지직송,디글 클래식 :Diggle Classic,2025-10-24T14:02:00Z,PT15M2S,Clip,3376,21,1
3bWf0R5k0Bc,https://www.youtube.com/watch?v=3bWf0R5k0Bc,[#신사장프로젝트] 잠자는 사자의 코털을 건드렸다..🔥 드디어 완전히 흑화한 신사장 | #번개클립,tvN D ENT,2025-10-26T02:00:04Z,PT18M57S,Clip,2978,16,1
zFvDeZ36tvM,https://www.youtube.com/watch?v=zFvDeZ36tvM,[#신사장프로젝트] 눈에서 정의의 광기가 보인다..🔥 사기꾼 선배 변호사 참교육하는 배현성ㄷㄷ | #번개클립,tvN D ENT,2025-10-25T02:01:06Z,PT15M25S,Clip,2374,15,1
RYIe4AJ0EUE,https://www.youtube.com/watch?v=RYIe4AJ0EUE,갈등조정 TF팀 결성! 끝나지 않은 신사장 프로젝트,wavve 웨이브,2025-10-30T06:00:21Z,PT42S,Shorts,1120,3,0
lcDgaKsVi7A,https://www.youtube.com/watch?v=lcDgaKsVi7A,[스페셜 선공개] 시온이 앞에선 리액션 부자🤗 VS 필립이 앞에선 시큰둥🥱 극과 극 쇼핑 나들이🛍 #신사장프로젝트 EP.11,tvN DRAMA,2025-10-23T23:30:15Z,PT1M15S,Clip,16001,172,12
4-bfYPFCR-s,https://www.youtube.com/watch?v=4-bfYPFCR-s,"[신입 엔딩] TF팀 면접 보러 온 김동준, 여전한 신사장 팀의 하루! #신사장프로젝트 EP.12 | tvN 251028 방송",tvN DRAMA,2025-10-28T12:53:07Z,PT2M46S,Clip,8682,126,6
sWv861WWbQ4,https://www.youtube.com/watch?v=sWv861WWbQ4,[#신사장프로젝트] 당당히 신설된 갈등 조정 TF팀✨ 신사장 프로젝트는 앞으로도 계속된다!😄,디글 :Diggle,2025-10-28T15:31:00Z,PT13M57S,Clip,5538,42,4
RFKkGdCcXTQ,https://www.youtube.com/watch?v=RFKkGdCcXTQ,[#신사장프로젝트] 낙하산이 한 명 더 늘었다;;; | #산지직송,디글 클래식 :Diggle Classic,2025-10-28T15:31:00Z,PT16M51S,Clip,8858,60,2
