video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
h8TRreWtEEA,https://www.youtube.com/watch?v=h8TRreWtEEA,[문채원] 악의꽃 명장면,문채원하세요,2024-07-16T10:27:00Z,PT58S,Shorts,26054,429,9
gErzS01huJ4,https://www.youtube.com/watch?v=gErzS01huJ4,【𝗣𝗹𝗮𝘆𝗹𝗶𝘀𝘁】악의 꽃,웩웩웩,2025-03-23T04:16:54Z,PT53M21S,Clip,144721,8128,184
08gvn4GhTrQ,https://www.youtube.com/watch?v=08gvn4GhTrQ,그녀의 체육복을 훔치지만 않았었더라면... | 악의 꽃,마이너 리뷰 갤러리,2021-11-21T09:30:00Z,PT15M49S,Clip,284953,4675,417
RQNpXiLIF1M,https://www.youtube.com/watch?v=RQNpXiLIF1M,(가사) 악의 꽃 (Flower of Evil) OST Full Album,쩜쩜쩜,2020-09-23T22:36:12Z,PT10M38S,Clip,41088,319,15
duVifovmMso,https://www.youtube.com/watch?v=duVifovmMso,[MV] 임연(LIMYEON) - In My Heart (악의 꽃 OST) Flower of Evil OST Part 2,youngJU_the muze,2020-08-21T07:31:50Z,PT3M54S,Clip,281268,1738,40
DanpW7u1Iyw,https://www.youtube.com/watch?v=DanpW7u1Iyw,너 정말 몰라? #악의꽃,오곡팝 Five grain pop,2024-01-29T11:15:02Z,PT58S,Shorts,28286,376,13
e6WW5FesIBA,https://www.youtube.com/watch?v=e6WW5FesIBA,[MV] 도코(DOKO) - Psycho [악의 꽃 (Flower of Evil) OST Part 1],DOM 덤스튜디오,2020-08-06T18:01:08Z,PT3M8S,Clip,1253134,23167,892
pSeQ82c9VPc,https://www.youtube.com/watch?v=pSeQ82c9VPc,※눈물의 모녀상봉※ 우리 은하 무사해줘서 고마워 ㅠㅠ #악의꽃 | Flower of Evil EP.15,tvN DRAMA,2020-09-17T14:04:56Z,PT2M3S,Clip,670864,6412,183
_GpFwBk2YOo,https://www.youtube.com/watch?v=_GpFwBk2YOo,[MV] (Im Yeon) 임연 - In My Heart 악의 꽃 Flowers of Evil OST Part.3,Windz Oz,2020-12-10T15:16:01Z,PT3M51S,Clip,18580,254,6
bKIu8S6kj8E,https://www.youtube.com/watch?v=bKIu8S6kj8E,[악의 꽃 OST Part 3] 신용재 (SHIN YONG JAE) (2F) - Feel You MV,Stone Music Entertainment,2020-09-09T09:00:14Z,PT3M29S,Clip,5767759,74087,2549
hvTy5zVmuPk,https://www.youtube.com/watch?v=hvTy5zVmuPk,심리적 불쾌함 G.O.A.T. 만화. 결말 해석. | [악의 꽃] 리뷰,쐐기나방은 설명충,2025-07-26T03:12:33Z,PT15M57S,Clip,67750,1105,69
YLoh86ZKb0w,https://www.youtube.com/watch?v=YLoh86ZKb0w,Lee Joon Gi 20240511 Spring Again FM | In My Heart | 악의 꽃 OST |  이준기  | イジュンギ | Flower of evil,Lucky Yin,2024-05-15T11:36:14Z,PT3M40S,Clip,11461,392,36
ZPulltL55f0,https://www.youtube.com/watch?v=ZPulltL55f0,[과거회상] 드디어 태어난 딸에게 이준기가 느끼는 감정 #악의꽃 | Flower of Evil EP.11,tvN DRAMA,2020-09-02T13:54:49Z,PT1M38S,Clip,817521,9085,338
9kXf75h5wUs,https://www.youtube.com/watch?v=9kXf75h5wUs,[MV] Feel You - Shin Yong Jae (2F) (신용재) | Flower of Evil (악의 꽃) OST Part 3 [Full Version],phii1244,2020-09-03T08:15:00Z,PT3M45S,Clip,2685597,28396,838
1CcgmbvteJY,https://www.youtube.com/watch?v=1CcgmbvteJY,"며느리만 모르는 아들의 비밀이 도대체,,,,#악의꽃 #shorts",드라맛집,2025-09-08T09:00:02Z,PT57S,Shorts,230189,631,0
CIZkZal_iLU,https://www.youtube.com/watch?v=CIZkZal_iLU,[FULL ALBUM] Flower Of Evil (악의 꽃) OST Part. 1-3 | Soundtrack,Samchon 삼촌,2020-08-21T14:53:55Z,PT8M40S,Clip,209793,2408,92
MfUp5afH_hA,https://www.youtube.com/watch?v=MfUp5afH_hA,[케미검증단] (알고보니)승부욕의 화신들♨ #악의꽃 꽃벤져스☞게임 케미마저 찰떡♥ ㅋㅋㅋ | 악의 꽃 Flower of Evil EP.5,tvN DRAMA,2020-08-10T02:05:01Z,PT12M1S,Clip,379888,7717,388
-_2jYyewJKQ,https://www.youtube.com/watch?v=-_2jYyewJKQ,[악의 꽃 OST Part 3] 신용재 (SHIN YONG JAE) - Feel You (MV.ver)ㅣCover By 박세은,박세은Se Eun,2020-09-15T09:00:00Z,PT3M45S,Clip,92904,1562,130
UGmTHV-w16o,https://www.youtube.com/watch?v=UGmTHV-w16o,사이코패스 맞아...? 감정없는 이준기를 애교쟁이 댕댕이로 만들어버리는 문채원💚🐶 | 악의꽃,샾잉 #ing,2020-10-07T14:00:04Z,PT12M50S,Clip,348016,4582,151
wAl7Fapwbh8,https://www.youtube.com/watch?v=wAl7Fapwbh8,[Flower of Evil 악의 꽃 OST Part 2] 임연 (LIMYEON) - In My Heart MV,Sour Daily,2020-08-19T11:51:26Z,PT3M49S,Clip,2012873,25233,794
Y6knep2OQX0,https://www.youtube.com/watch?v=Y6knep2OQX0,신용재(2F)(Shin Yong Jae) - Feel You | 악의 꽃 (Flower of Evil) OST Part 3,kDrama Full OST,2020-09-03T03:05:51Z,PT3M29S,Clip,321433,5293,293
ItO8TWhE5QQ,https://www.youtube.com/watch?v=ItO8TWhE5QQ,[메이킹] 잔인한데 스윗하고 슬픈데 행복한 온′도차′ 최강 #악의꽃 14-15화 메이킹 모음.zip #악의꽃 | Flower of Evil EP.16,tvN DRAMA,2020-09-17T23:53:51Z,PT6M31S,Clip,515576,10800,703
cdNRVDIxjAM,https://www.youtube.com/watch?v=cdNRVDIxjAM,악마가 웃는 이유 (악의 꽃),또재 DDOJAE,2022-11-14T06:34:01Z,PT34S,Shorts,14325,106,2
CMvfj4iRL0M,https://www.youtube.com/watch?v=CMvfj4iRL0M,어떻게 칼을 들이대! 이준기에게 사자후 내지르는 문채원 #악의꽃 | Flower of Evil EP.14,tvN DRAMA,2020-09-16T14:02:45Z,PT3M18S,Clip,144274,2231,154
ohMspT1jVSY,https://www.youtube.com/watch?v=ohMspT1jVSY,너네 찐사랑인 거 너만 몰라..ㅠㅁㅠ 부산 발령 간다는 차지원에 동공지진 나는 도현수!! | 악의꽃,tvN D ENT,2020-10-06T11:00:11Z,PT15M28S,Clip,232790,3134,177
umRP-UDP0kE,https://www.youtube.com/watch?v=umRP-UDP0kE,지명수배자가 18년동안 잡히지 않은 충격이유!#악의 꽃 #드라마 #문채원 #shorts #장희진 #손종학 #김지훈 #최대훈 #이준기,드라맛집,2025-09-20T04:01:09Z,PT50S,Shorts,32940,200,2
vKRPRSi4wxA,https://www.youtube.com/watch?v=vKRPRSi4wxA,(가사)임연(LIMYEON) - In My Heart _ 악의 꽃 (Flower of Evil) OST Part 2,쩜쩜쩜,2020-09-03T23:07:36Z,PT3M56S,Clip,9431,97,10
7Fv8PRcIqRI,https://www.youtube.com/watch?v=7Fv8PRcIqRI,[이준기]K_drama Festivalㅣ 악의꽃ost_IN MY HEART,준기배우,2025-04-30T22:48:17Z,PT3M35S,Clip,2124,120,16
ehKyzBEWvL8,https://www.youtube.com/watch?v=ehKyzBEWvL8,10화#하이라이트#이준기X문채원 이 부부가 범인을 잡는 법 #악의꽃 | Flower of Evil EP.10,tvN DRAMA,2020-08-27T15:07:15Z,PT13M42S,Clip,319418,3285,369
aJyCDLFfIWI,https://www.youtube.com/watch?v=aJyCDLFfIWI,"[#악의꽃] ""선배가 한번만 봐줘"" 이준기를 위해서 무릎까지 꿇고 비는 문채원 ㅠㅠ,, 문채원 눈물 연기에 마음이 다 아려옴,, | #Diggle",tvN D ENT,2021-01-17T11:00:01Z,PT7M48S,Clip,19269,344,8
HGE3WneOwAI,https://www.youtube.com/watch?v=HGE3WneOwAI,희대의 싸이코패스 이준기를 건드린 조직보스의 최후[악의꽃] #즐거움앳홈파티,고몽,2020-12-08T09:15:51Z,PT47M47S,Clip,5119720,33741,1918
