video_id,video_title,shortType,comment_id,parent_id,isReply,author,text,publishedAt,likeCount
RQNpXiLIF1M,(가사) 악의 꽃 (Flower of Evil) OST Full Album,Clip,UgyMEwHExZCoVoHH9Ip4AaABAg,,0,@jjeomjjeomjjeom,"(가사) 악의 꽃 (Flower of Evil) OST Full Album
00:02    도코(DOKO) - Psycho 
03:07    임연(LIMYEON) - In My Heart 
06:45  신용재(2F)(Shin Yong Jae) - Feel You",2020-09-24T02:10:03Z,9
RQNpXiLIF1M,(가사) 악의 꽃 (Flower of Evil) OST Full Album,Clip,UgzijMhfhRkEZVu69BZ4AaABAg,,0,@mariachristinasabatinicris6898,In my heart é especial,2023-02-05T04:36:39Z,0
RQNpXiLIF1M,(가사) 악의 꽃 (Flower of Evil) OST Full Album,Clip,Ugwbmrv7aAyqlFjePxF4AaABAg,,0,@mikashin5940,너무  좋다 정말 👍,2022-11-05T16:01:56Z,0
RQNpXiLIF1M,(가사) 악의 꽃 (Flower of Evil) OST Full Album,Clip,UgyH1_hy_I7c0fkoYlV4AaABAg,,0,@포카포장좋아하는사람,8~,2022-10-15T00:12:53Z,1
RQNpXiLIF1M,(가사) 악의 꽃 (Flower of Evil) OST Full Album,Clip,UgxfT7YD1ozZO7RozuN4AaABAg,,0,@SH-p2t,명품 배우 이준기,2022-07-30T06:42:51Z,1
RQNpXiLIF1M,(가사) 악의 꽃 (Flower of Evil) OST Full Album,Clip,UgwnjPeHmkpguGBDz5l4AaABAg,,0,@山本起志子,素敵なOST〜ジュンギくん主演のドラマに使って下さり　ありがとうございます🙇場面が思い浮かびます〜それ程　曲　ドラマの内容　演じる皆さんに　とても合ってると思います🤗🕺,2021-11-27T08:51:44Z,3
RQNpXiLIF1M,(가사) 악의 꽃 (Flower of Evil) OST Full Album,Clip,UgwtqoA4Vgiiu5V65i54AaABAg,,0,@류지희-s1q,노래 드라마 다 세련되서 좋아요,2021-11-11T07:27:00Z,1
RQNpXiLIF1M,(가사) 악의 꽃 (Flower of Evil) OST Full Album,Clip,UgxRZod1YdKt-EWkf0N4AaABAg,,0,@jjeomjjeomjjeom,"https://youtu.be/TX8Ymfc-6oU   한국인 90%가 틀리는 한국어-  헷갈리기 쉬운 한국어 맞춤법 테스트 : 당신의 한글 맞춤법 실력은?
https://youtu.be/HErSlEAX_9I   배꼽빠지게 웃긴 우리말 잘못된 띄어쓰기 (19성인급표현)퀴즈식 무슨표현일지 맞춰보시며 보세요
https://youtu.be/WRejrtV17J4     틀린 맞춤법 오타 대참사. 웃긴 간판 전단지 사진모음
https://youtu.be/uupVNQOFY1s    19! 가수들 의사랑해  야해지는 노래제목모음  띄어쓰기실수 대폭소 진짜 웃겨요  잼있어서 영상 만들어봤어요
저의 세컨채널 영상들입니다. 많은 시청 응원 해주세요. 감사합니다. ^^ 오늘도 즐건 하루 되세요",2020-10-17T02:24:21Z,1
RQNpXiLIF1M,(가사) 악의 꽃 (Flower of Evil) OST Full Album,Clip,UgyUJcRSCLNZzCCJt0B4AaABAg,,0,@jjeomjjeomjjeom,"노래추천: 환불원정대  https://youtu.be/Ru-Cp1uRJ5A [가사,1시간] 환불원정대 DON'T TOUCH ME  (Refund Sisters DON'T TOUCH ME 1HOUR)",2020-10-10T15:05:05Z,2
RQNpXiLIF1M,(가사) 악의 꽃 (Flower of Evil) OST Full Album,Clip,UgyNjFndkQVDzf28bP54AaABAg,,0,@Tinytopia8,My Favorite drama Favorite music of this year,2020-09-24T14:14:42Z,5
RQNpXiLIF1M,(가사) 악의 꽃 (Flower of Evil) OST Full Album,Clip,Ugwi5EruEJNigaiI-Yt4AaABAg,,0,@lucyc3474,Love Lee Joon-gi 💜 💛 💚 🧡,2020-09-24T14:08:38Z,4
