video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
RQNpXiLIF1M,https://www.youtube.com/watch?v=RQNpXiLIF1M,(가사) 악의 꽃 (Flower of Evil) OST Full Album,쩜쩜쩜,2020-09-23T22:36:12Z,PT10M38S,Clip,41100,319,15
duVifovmMso,https://www.youtube.com/watch?v=duVifovmMso,[MV] 임연(LIMYEON) - In My Heart (악의 꽃 OST) Flower of Evil OST Part 2,youngJU_the muze,2020-08-21T07:31:50Z,PT3M54S,Clip,281287,1738,40
_GpFwBk2YOo,https://www.youtube.com/watch?v=_GpFwBk2YOo,[MV] (Im Yeon) 임연 - In My Heart 악의 꽃 Flowers of Evil OST Part.3,Windz Oz,2020-12-10T15:16:01Z,PT3M51S,Clip,18601,254,6
aJyCDLFfIWI,https://www.youtube.com/watch?v=aJyCDLFfIWI,"[#악의꽃] ""선배가 한번만 봐줘"" 이준기를 위해서 무릎까지 꿇고 비는 문채원 ㅠㅠ,, 문채원 눈물 연기에 마음이 다 아려옴,, | #Diggle",tvN D ENT,2021-01-17T11:00:01Z,PT7M48S,Clip,19283,344,8
bKIu8S6kj8E,https://www.youtube.com/watch?v=bKIu8S6kj8E,[악의 꽃 OST Part 3] 신용재 (SHIN YONG JAE) (2F) - Feel You MV,Stone Music Entertainment,2020-09-09T09:00:14Z,PT3M29S,Clip,5769824,74100,2551
e6WW5FesIBA,https://www.youtube.com/watch?v=e6WW5FesIBA,[MV] 도코(DOKO) - Psycho [악의 꽃 (Flower of Evil) OST Part 1],DOM 덤스튜디오,2020-08-06T18:01:08Z,PT3M8S,Clip,1253289,23167,892
pSeQ82c9VPc,https://www.youtube.com/watch?v=pSeQ82c9VPc,※눈물의 모녀상봉※ 우리 은하 무사해줘서 고마워 ㅠㅠ #악의꽃 | Flower of Evil EP.15,tvN DRAMA,2020-09-17T14:04:56Z,PT2M3S,Clip,670940,6413,183
wAl7Fapwbh8,https://www.youtube.com/watch?v=wAl7Fapwbh8,[Flower of Evil 악의 꽃 OST Part 2] 임연 (LIMYEON) - In My Heart MV,Sour Daily,2020-08-19T11:51:26Z,PT3M49S,Clip,2013560,25234,794
ZPulltL55f0,https://www.youtube.com/watch?v=ZPulltL55f0,[과거회상] 드디어 태어난 딸에게 이준기가 느끼는 감정 #악의꽃 | Flower of Evil EP.11,tvN DRAMA,2020-09-02T13:54:49Z,PT1M38S,Clip,817717,9086,338
UGmTHV-w16o,https://www.youtube.com/watch?v=UGmTHV-w16o,사이코패스 맞아...? 감정없는 이준기를 애교쟁이 댕댕이로 만들어버리는 문채원💚🐶 | 악의꽃,샾잉 #ing,2020-10-07T14:00:04Z,PT12M50S,Clip,348248,4584,151
mdJAzq6TcBw,https://www.youtube.com/watch?v=mdJAzq6TcBw,[악의꽃 OST] 신용재(SHIN YONG JAE) -  Feel You(필유) 가사ㅣLyricㅣsmay,승메이 smay,2020-09-05T05:13:12Z,PT3M28S,Clip,66129,374,16
CIZkZal_iLU,https://www.youtube.com/watch?v=CIZkZal_iLU,[FULL ALBUM] Flower Of Evil (악의 꽃) OST Part. 1-3 | Soundtrack,Samchon 삼촌,2020-08-21T14:53:55Z,PT8M40S,Clip,209847,2409,92
9kXf75h5wUs,https://www.youtube.com/watch?v=9kXf75h5wUs,[MV] Feel You - Shin Yong Jae (2F) (신용재) | Flower of Evil (악의 꽃) OST Part 3 [Full Version],phii1244,2020-09-03T08:15:00Z,PT3M45S,Clip,2686130,28399,838
tO-IDgofK70,https://www.youtube.com/watch?v=tO-IDgofK70,신용재 SHIN YONG JAE - Feel You (악의 꽃 OST) LIVE,신용재,2020-09-28T10:00:11Z,PT3M29S,Clip,926754,29618,2254
ohMspT1jVSY,https://www.youtube.com/watch?v=ohMspT1jVSY,너네 찐사랑인 거 너만 몰라..ㅠㅁㅠ 부산 발령 간다는 차지원에 동공지진 나는 도현수!! | 악의꽃,tvN D ENT,2020-10-06T11:00:11Z,PT15M28S,Clip,232873,3134,177
-_2jYyewJKQ,https://www.youtube.com/watch?v=-_2jYyewJKQ,[악의 꽃 OST Part 3] 신용재 (SHIN YONG JAE) - Feel You (MV.ver)ㅣCover By 박세은,박세은Se Eun,2020-09-15T09:00:00Z,PT3M45S,Clip,92916,1562,130
Y6knep2OQX0,https://www.youtube.com/watch?v=Y6knep2OQX0,신용재(2F)(Shin Yong Jae) - Feel You | 악의 꽃 (Flower of Evil) OST Part 3,kDrama Full OST,2020-09-03T03:05:51Z,PT3M29S,Clip,321521,5294,293
MfUp5afH_hA,https://www.youtube.com/watch?v=MfUp5afH_hA,[케미검증단] (알고보니)승부욕의 화신들♨ #악의꽃 꽃벤져스☞게임 케미마저 찰떡♥ ㅋㅋㅋ | 악의 꽃 Flower of Evil EP.5,tvN DRAMA,2020-08-10T02:05:01Z,PT12M1S,Clip,379911,7718,388
ItO8TWhE5QQ,https://www.youtube.com/watch?v=ItO8TWhE5QQ,[메이킹] 잔인한데 스윗하고 슬픈데 행복한 온′도차′ 최강 #악의꽃 14-15화 메이킹 모음.zip #악의꽃 | Flower of Evil EP.16,tvN DRAMA,2020-09-17T23:53:51Z,PT6M31S,Clip,515605,10801,703
CMvfj4iRL0M,https://www.youtube.com/watch?v=CMvfj4iRL0M,어떻게 칼을 들이대! 이준기에게 사자후 내지르는 문채원 #악의꽃 | Flower of Evil EP.14,tvN DRAMA,2020-09-16T14:02:45Z,PT3M18S,Clip,144297,2231,154
tPyHIuxHHRY,https://www.youtube.com/watch?v=tPyHIuxHHRY,신용재 (2F) (Shin Yong Jae) - Feel You [악의 꽃 (Flower of Evil) OST],Forget Me-Not,2020-09-04T00:45:21Z,PT3M31S,Clip,483,10,0
roCLdoGbEV8,https://www.youtube.com/watch?v=roCLdoGbEV8,12화#하이라이트#(평범하지는 않지만)가족입니다_이준기X문채원 #악의꽃 | Flower of Evil EP.12,tvN DRAMA,2020-09-09T15:07:07Z,PT12M,Clip,378257,5046,370
ra8T-KQzO_Q,https://www.youtube.com/watch?v=ra8T-KQzO_Q,"[#악의꽃] 맨날 으르렁거리는데 세상 젤 친한 것 같은 이준기X서현우 ㅋㅋ 다시봐도 이 두 사람 케미가 너무 재밌다,, | #Diggle",tvN D ENT,2021-01-17T11:00:14Z,PT10M19S,Clip,13059,252,5
