video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
UIfkMjNcXN0,https://www.youtube.com/watch?v=UIfkMjNcXN0,[#오월의청춘 전편요약] (3시간) 잊을 수 없는😥 그 시절 오월의 청춘💗 #이도현 #고민시 #금새록 #숏드모아잼 | KBS 방송,KBS Drama,2024-05-04T05:27:40Z,PT3H5M46S,Clip,1631776,12977,519
5kbyogjEk_c,https://www.youtube.com/watch?v=5kbyogjEk_c,Days In Memory (기억의 나날),Jung Joon-Il - Topic,2021-05-24T03:25:25Z,PT3M55S,Clip,359728,1554,6
uHWwmqkBpIE,https://www.youtube.com/watch?v=uHWwmqkBpIE,Winter of May (오월의 겨울),Kim Bum-soo - Topic,2021-06-01T09:04:27Z,PT4M27S,Clip,605219,2606,10
1u_hNkphIj0,https://www.youtube.com/watch?v=1u_hNkphIj0,Starry Night (별이 쏟아지는 밤),RYEOWOOK - Topic,2021-05-18T09:17:32Z,PT4M19S,Clip,426672,2339,0
jqwD9vRfOdM,https://www.youtube.com/watch?v=jqwD9vRfOdM,"엇갈린 운명,, 군인과 의사가 되어 만난 친구😢",wavve 웨이브,2024-05-17T05:00:25Z,PT59S,Shorts,111596,1950,28
InQawTXeLRA,https://www.youtube.com/watch?v=InQawTXeLRA,눈뜨고 볼수없는 장면ㅠ.ㅠ 총에 맞은 고민시 군인에게 끌려간 이도현 [오월의 청춘] | KBS 210608 방송,KBS Drama,2021-06-08T13:36:42Z,PT3M13S,Clip,324090,2961,270
S186oPBpMwQ,https://www.youtube.com/watch?v=S186oPBpMwQ,[하이라이트] 오월의 청춘 7-8회 //달달+애틋한 두 사람// 다시보기   [오월의 청춘] | KBS 방송,KBS Drama,2021-05-28T07:48:50Z,PT30M2S,Clip,2670868,20892,829
bszq6YPDgP8,https://www.youtube.com/watch?v=bszq6YPDgP8,위험에 빠진 시민들을 지켜준 순경 아저씨ㅠ #웨이브 #드라마 #오월의청춘,1분 드라마 숏츠,2025-05-23T03:00:48Z,PT40S,Shorts,13697049,137623,4248
7jheZN8YB18,https://www.youtube.com/watch?v=7jheZN8YB18,황희태한테 처음 설레던 순간,1일2도현,2021-07-20T05:27:00Z,PT36S,Shorts,357109,12754,86
P2VNuRVmoco,https://www.youtube.com/watch?v=P2VNuRVmoco,광주 사람들이 겪은 일ㄷㄷ #웨이브 #드라마 #오월의청춘,1분 드라마 숏츠,2025-05-23T01:00:23Z,PT44S,Shorts,7752453,87545,3506
iZvELzlU-k4,https://www.youtube.com/watch?v=iZvELzlU-k4,"[＃주간급상승] 아직 여운에서 못 벗어남ㅠㅠ 잊을 수 없는 오월, 이제야 답장할 수 있게 된 편지를 쓰며... [오월의 청춘] | KBS 방송",KBS Drama,2021-06-15T07:15:57Z,PT6M40S,Clip,229605,4389,212
AkEYuivhdPs,https://www.youtube.com/watch?v=AkEYuivhdPs,실종된 그녀를 찾는 이도현... 그녀를 떠오르는 노래를 듣고 눈물 폭발ㅠ [오월의 청춘] | KBS 210608 방송,KBS Drama,2021-06-08T13:41:30Z,PT2M57S,Clip,362597,5687,290
gOfEF2FOwak,https://www.youtube.com/watch?v=gOfEF2FOwak,[#오월의청춘] 눈물 없이는 볼 수 없었던 명희태의 기도문 & 편지 ㅣ KBS 210608 방송,KBS 한국방송,2021-06-22T01:00:16Z,PT8M8S,Clip,51749,1750,63
DSyZ4RnC7fU,https://www.youtube.com/watch?v=DSyZ4RnC7fU,[하이라이트] 오월의 청춘 11-12회 //가슴 먹먹한// 오월의 마지막  [오월의 청춘] | KBS 방송,KBS Drama,2021-06-10T09:43:39Z,PT32M59S,Clip,2406774,24328,2306
s7Hnz5G0iEk,https://www.youtube.com/watch?v=s7Hnz5G0iEk,이도현 고민시 오월의 청춘 전설의 국밥씬 (feat.곱상한 도련님),한두자 Handu_za,2021-06-02T02:20:34Z,PT1M21S,Clip,222247,2916,47
pRfaYO3h3Mw,https://www.youtube.com/watch?v=pRfaYO3h3Mw,너무 보고 싶어서 보이는 환상인가..? 다시는 보지 못할 거 같았던 사람이 내 눈앞에 있다☆ [오월의 청춘] | KBS 210607 방송,KBS Drama,2021-06-07T13:42:05Z,PT2M57S,Clip,124842,2183,84
ZbYGjjrKoqE,https://www.youtube.com/watch?v=ZbYGjjrKoqE,"[오월의 청춘] 명희태 기도문, 희태의 답장 모음 | 이도현X고민시",dada dada,2021-06-12T13:57:10Z,PT1M57S,Clip,16163,531,4
O0ojGz1RsL4,https://www.youtube.com/watch?v=O0ojGz1RsL4,오월의 청춘 OST  '너에게 하고 싶은 말' - 유해준,유해준 TV,2024-08-04T11:25:02Z,PT3M32S,Clip,655806,1757,85
OOmc1iS0LNE,https://www.youtube.com/watch?v=OOmc1iS0LNE,무차별 폭행 광주거리에서 고통받는  두 남매ㅠㅠ [오월의 청춘] | KBS 210531 방송,KBS Drama,2021-05-31T13:51:13Z,PT2M35S,Clip,84783,640,53
bXobwSITPk0,https://www.youtube.com/watch?v=bXobwSITPk0,[#하이라이트#] 오월의 청춘 1-2회 //설레는 마음으로// 달달하게 감상하기!,KBS 한국방송,2021-05-07T09:45:02Z,PT26M35S,Clip,1651671,16852,1033
nOHN7oqYlns,https://www.youtube.com/watch?v=nOHN7oqYlns,[MV] Kwak Jin Eon(곽진언) _ My Spring Days(나의 오월),1theK (원더케이),2021-05-11T09:00:13Z,PT3M34S,Clip,459739,8882,280
GNfr5a8SChM,https://www.youtube.com/watch?v=GNfr5a8SChM,[하이라이트] 오월의 청춘 9-10회 // 분노+맴찢 주의 // 계속되는 위기 속 두 사람ㅠㅠ [오월의 청춘] | KBS 방송,KBS Drama,2021-06-05T04:31:45Z,PT32M48S,Clip,1679996,13970,951
d8CPcAn06Z0,https://www.youtube.com/watch?v=d8CPcAn06Z0,※설움폭발※ 내가 아빠 딸이라서..? 독일에 못가는 이유!  [오월의 청춘] | KBS 210524 방송,KBS Drama,2021-05-24T13:20:56Z,PT3M,Clip,92923,798,46
nYzSGokG76Y,https://www.youtube.com/watch?v=nYzSGokG76Y,[사이다 엔딩] 후회 따윈 이제 그만!! 사랑의 도피를 선택한 두 사람♥ [오월의 청춘] | KBS 210517 방송,KBS Drama,2021-05-17T13:55:45Z,PT2M43S,Clip,123957,2923,225
m3Bio8pLDug,https://www.youtube.com/watch?v=m3Bio8pLDug,"고민시를 구하려다 총에 맞은 최승훈, 결국 가족 모두로부터 버림받은 오만석 [오월의 청춘] | KBS 210608 방송",KBS Drama,2021-06-08T13:16:08Z,PT2M57S,Clip,678720,3712,146
Y7i085YYhZY,https://www.youtube.com/watch?v=Y7i085YYhZY,[오월의 청춘] 맨날 더 좋아하는 쪽이 더 지지 항상 #shorts,드라마 망붕러,2023-01-14T16:03:23Z,PT19S,Shorts,24610,588,2
VBweKZcA1xY,https://www.youtube.com/watch?v=VBweKZcA1xY,※슬픔 주의※ 바람막이 같았던 삶... 마지막 편지에 쓰인 아버지의 진심 [오월의 청춘] | KBS 210608 방송,KBS Drama,2021-06-08T13:11:29Z,PT3M,Clip,112621,1259,40
t3mmt86H6LM,https://www.youtube.com/watch?v=t3mmt86H6LM,※설렘 폭발※ 기나긴 슬픈 해어짐 끝에 다시 만난 두 사람♥ [오월의 청춘] | KBS 210525 방송,KBS Drama,2021-05-25T13:45:18Z,PT2M15S,Clip,83823,2095,107
2kStQqpGC98,https://www.youtube.com/watch?v=2kStQqpGC98,동생들의 순수한(?) 팩폭☆ 약혼은 안했지만 붙어다니는 친구 사이! [오월의 청춘] | KBS 210518 방송,KBS Drama,2021-05-18T13:33:32Z,PT2M15S,Clip,193115,3705,136
U780a1OdFqc,https://www.youtube.com/watch?v=U780a1OdFqc,[Ep.12] 더글로리 망나니 여정 선배 결혼식 #더글로리 #이도현  l [ 오월의청춘]  KBS방송,KBS Drama Classic,2022-08-10T08:30:14Z,PT15M21S,Clip,53807,468,16
ibl3-nbsjYQ,https://www.youtube.com/watch?v=ibl3-nbsjYQ,‘고아는 제가 아니라 아버지예요’ 계속해서 아버지에게 반항하는 이도현! [오월의 청춘] | KBS 210607 방송,KBS Drama,2021-06-07T13:31:37Z,PT2M58S,Clip,147529,1452,27
q8u0y97GE_A,https://www.youtube.com/watch?v=q8u0y97GE_A,약속 잡기 힘들 때 이렇게 해보세요! #이도현 #쇼츠 #shorts [#오월의 청춘],KBS Drama Classic,2023-04-05T23:42:53Z,PT43S,Shorts,137552,3781,24
eygyKXltUN0,https://www.youtube.com/watch?v=eygyKXltUN0,[엔딩] 다시 만날 그날을 위해 2021년 첫번째 5월에... [오월의 청춘] | KBS 210608 방송,KBS Drama,2021-06-08T13:54:55Z,PT1M54S,Clip,160825,2633,282
yvADcs7twQ4,https://www.youtube.com/watch?v=yvADcs7twQ4,[오월의청춘] 마지막회 마지막 장면,도현쓰ss,2021-07-02T23:18:31Z,PT54S,Shorts,17050,96,3
rBHrdrPKEM0,https://www.youtube.com/watch?v=rBHrdrPKEM0,아들에게도 자비 없는 아버지! 이도현이 광주에 내려온 사실을 없애려하는 오만석♨ [오월의 청춘] | KBS 210607 방송,KBS Drama,2021-06-07T13:11:05Z,PT2M58S,Clip,126804,1482,61
