video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
XFEYqfeBtQg,https://www.youtube.com/watch?v=XFEYqfeBtQg,호메로스 《일리아스》 2시간 요약 및 해설 — 분노에서 연민까지,인문학이랑,2025-08-12T09:59:04Z,PT1H52M34S,Clip,291697,5508,257
KO29iaJ9fcI,https://www.youtube.com/watch?v=KO29iaJ9fcI,"""케이팝 데몬 헌터스 143초 병맛 요약""",Dummyworld,2025-07-26T10:30:12Z,PT2M23S,Clip,1684231,19825,655
OIcLd2_I7VQ,https://www.youtube.com/watch?v=OIcLd2_I7VQ,진격의 거인 1분 요약  #attackontitan #nutshell #titan,우주농부 Alien farmer,2025-05-18T07:41:51Z,PT1M18S,Clip,15497055,242242,2637
AIInr4Tk5C8,https://www.youtube.com/watch?v=AIInr4Tk5C8,인생 25초 요약,월붕이,2024-03-16T09:10:43Z,PT27S,Shorts,4561511,150564,2159
cxHNNw69Lkg,https://www.youtube.com/watch?v=cxHNNw69Lkg,사상 최악의 전쟁 '2차세계대전' 요약 [ENG SUB] 역알못도 시간순삭 당하는 전쟁사,쏨작가의지식사전,2021-05-17T13:16:33Z,PT22M35S,Clip,3614305,29716,1603
9Ab47ZWEdHw,https://www.youtube.com/watch?v=9Ab47ZWEdHw,인사이드아웃2 요약 #인사이드아웃2 #인사이드아웃 #insideout2 #insideout #nutshell,우주농부 Alien farmer,2024-06-26T08:56:36Z,PT57S,Shorts,85522507,2515290,5287
szlSLI7TGOE,https://www.youtube.com/watch?v=szlSLI7TGOE,귀멸의 칼날 무한열차 요약 완전판,상상 커머스,2025-05-12T10:15:06Z,PT4M31S,Clip,599323,7286,275
ODQfENMxyws,https://www.youtube.com/watch?v=ODQfENMxyws,"【미국 증시 오늘의 요약】 트럼프 ""차기 연준 의장 곧 발표"" (케빈 해셋 유력?) | 블랙프라이데이 소비 '역대급' 터졌다?  -  2025/12/02",오선의 미국 증시 라이브,2025-12-02T23:20:00Z,PT3M32S,Clip,24850,841,45
5t_T4MfM4Ss,https://www.youtube.com/watch?v=5t_T4MfM4Ss,윤대통령 업적 1분 요약,GROUND C 그라운드씨,2025-02-10T22:00:03Z,PT1M,Shorts,211035,39131,1330
2xYaTQ6zNQY,https://www.youtube.com/watch?v=2xYaTQ6zNQY,귀멸의 칼날 3기 병맛 요약,상상 커머스,2023-06-26T21:45:01Z,PT2M15S,Clip,1828257,23905,1216
ZIuB18tfwBY,https://www.youtube.com/watch?v=ZIuB18tfwBY,진격의 거인 2분 요약,소맥거핀,2023-11-26T09:00:21Z,PT2M25S,Clip,25768391,376275,6462
-yz5_l61QHk,https://www.youtube.com/watch?v=-yz5_l61QHk,"해리포터 시리즈 요약 노래 (上, 下편 통합)",유요,2022-12-13T08:04:58Z,PT8M12S,Clip,4504567,34786,2611
y1wM4eaKWQo,https://www.youtube.com/watch?v=y1wM4eaKWQo,오징어게임 123 요약,징중부,2025-06-30T09:01:31Z,PT50S,Shorts,1720556,40924,740
kf3yttrUJ6k,https://www.youtube.com/watch?v=kf3yttrUJ6k,"성경 66권 핵심 요약, 창세기 부터 요한계시록까지 단숨에 이해됩니다ㅣ성경말씀ㅣ성경핵심",성경기도,2025-08-04T13:01:31Z,PT2H22M52S,Clip,216033,6357,918
IiT0Ukldeec,https://www.youtube.com/watch?v=IiT0Ukldeec,6·25 전쟁 요약 노래 (上~下편 통합),유요,2024-09-15T00:30:10Z,PT8M55S,Clip,2529440,15362,3080
YQ1zGegYH-A,https://www.youtube.com/watch?v=YQ1zGegYH-A,"[요약바리] 참 좋았었는데,, 나의 X와의 추억 여행,,☆ | 양세찬 | 장도바리바리 시즌3",TEO 테오,2025-12-01T00:00:43Z,PT16M56S,Clip,69467,711,34
jZ_H-Ss2wC4,https://www.youtube.com/watch?v=jZ_H-Ss2wC4,파피 플레이타임 챕터4 요약,소맥거핀,2025-07-05T09:01:07Z,PT7M30S,Clip,17097375,134540,5432
HIX0CBpYDYI,https://www.youtube.com/watch?v=HIX0CBpYDYI,"1차 세계대전 요약 노래 (上, 下편 통합)",유요,2025-05-29T21:45:01Z,PT4M57S,Clip,572894,2843,531
7ioNT3ZIc5k,https://www.youtube.com/watch?v=7ioNT3ZIc5k,마크 인생 30초 요약,원소,2025-03-18T12:42:27Z,PT29S,Shorts,2873100,241709,1077
c-KMCsHXVn8,https://www.youtube.com/watch?v=c-KMCsHXVn8,12.3 업데이트 프리뷰 라이브 방송 초스피드 요약 정리 [아이온2/1440p],김상드,2025-12-02T13:00:56Z,PT4M40S,Clip,2309,22,14
hGXANkSXxbo,https://www.youtube.com/watch?v=hGXANkSXxbo,서울의 봄 2분 요약 노래 [12·12 사태],유요,2023-12-05T07:37:04Z,PT1M47S,Clip,2525908,17673,1319
