video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
bcp7HxKA8Do,https://www.youtube.com/watch?v=bcp7HxKA8Do,"[태풍 홈비디오 #2] 압스트리트 보이즈 - 연습실 테이프, 무대 전편 공개",이준호 LEE JUNHO,2025-10-14T08:00:03Z,PT10M58S,Clip,41758,4865,799
vSdE-XaRsVQ,https://www.youtube.com/watch?v=vSdE-XaRsVQ,날아차기쯤은 간단한 짐승돌 이준호😍 #태풍상사,tvN DRAMA,2025-10-14T14:01:46Z,PT55S,Shorts,11470,591,39
I03FvkUsCHk,https://www.youtube.com/watch?v=I03FvkUsCHk,압스트리트 보이즈 태풍이 안무연습 영상🤗 #이준호 #준호브이로그 #LEEJUNHO #태풍상사 #typhoonfamily,Giant_Tree ,2025-10-14T08:28:03Z,PT53S,Shorts,10928,1209,62
oRry3dqljNE,https://www.youtube.com/watch?v=oRry3dqljNE,Big Boy 😍🫠 #이준호 #LEEJUNHO #준호 #JUNHO#태풍상사 #TYPHOONFAMILY #강태풍,Kiwii,2025-10-14T09:25:53Z,PT18S,Shorts,5743,644,10
J1bI_UndIKo,https://www.youtube.com/watch?v=J1bI_UndIKo,[3화 예고] 진선규의 불쇼에 신난 이준호ㅋㅋ #태풍상사,디글 클래식 :Diggle Classic,2025-10-14T08:30:19Z,PT30S,Shorts,9602,145,11
WpfWm41VkRg,https://www.youtube.com/watch?v=WpfWm41VkRg,[숙명여대] 척척박사의 하루 EP.1 기계시스템학부 이준호 교수님 편｜교수님 릴레이 브이로그🎥,Sookmyung Women's University 숙명여자대학교,2025-10-15T00:22:35Z,PT1M30S,Clip,3619,180,18
g81E3Tq8G9I,https://www.youtube.com/watch?v=g81E3Tq8G9I,The Evolution of LEE JUN HO #leejunho #이준호 #shorts #kdrama #evolution #태풍상사,ai_nomadin,2025-10-14T13:27:51Z,PT59S,Shorts,4895,275,6
UenvB7hzQKc,https://www.youtube.com/watch?v=UenvB7hzQKc,Let's Break Up 💔#KingTheLand #이준호 #임윤아 #Junho #Yoona #kdrama #Shorts  #LOL,ClipRush,2025-10-14T13:01:05Z,PT58S,Shorts,3290,148,1
ubyqJ46glJU,https://www.youtube.com/watch?v=ubyqJ46glJU,"오은영 선생님이 필요한 자식 참교육, 화난 아빠 #태풍상사 #이준호 #김민하 #k드라마 #드라마",Neonix Studios,2025-10-14T11:26:48Z,PT38S,Shorts,1425,11,0
yIMdC2CyYww,https://www.youtube.com/watch?v=yIMdC2CyYww,족구신동이준호성장기 #족구 #족구신동이준호 #후포한마음 #족구동호회 #야족 #즐족,후포한마음 ,2025-10-14T10:43:13Z,PT48S,Shorts,1091,6,0
1OCPOtGcUaY,https://www.youtube.com/watch?v=1OCPOtGcUaY,"오은영 선생님이 필요한 자식 참교육, 사과하는 아버지   #태풍상사 #이준호 #김민하 #k드라마 #드라마",Neonix Studios,2025-10-14T11:14:54Z,PT59S,Shorts,888,12,0
9CVkZOInZF8,https://www.youtube.com/watch?v=9CVkZOInZF8,"염력까지 써서 회사 살리는 상사MAN 이준호, 사장 #태풍상사 #이준호 #김민하 #드라마 #k드라마",Neonix Studios,2025-10-14T10:04:56Z,PT48S,Shorts,1023,6,0
aNAuLBEJ3xU,https://www.youtube.com/watch?v=aNAuLBEJ3xU,"오은영 선생님이 필요한 자식 참교육, 혼란스러운 아들  #태풍상사 #이준호 #김민하 #k드라마 #드라마",Neonix Studios,2025-10-14T11:20:16Z,PT51S,Shorts,1102,11,0
a8p46fc--xc,https://www.youtube.com/watch?v=a8p46fc--xc,"염력까지 써서 회사 살리는 상사MAN 이준호, 트랙 #태풍상사 #이준호 #김민하 #k드라마 #드라마",Neonix Studios,2025-10-14T09:28:31Z,PT53S,Shorts,1179,8,0
m2bF8T3q7xs,https://www.youtube.com/watch?v=m2bF8T3q7xs,아시아 아티스트 어워즈 예선 1위 이준호!,핫플TV,2025-10-14T08:33:05Z,PT36S,Shorts,1094,7,0
XrDN-xmrWds,https://www.youtube.com/watch?v=XrDN-xmrWds,"염력까지 써서 회사 살리는 상사MAN 이준호, 사장 2 #태풍상사 #이준호 #김민하 #드라마 #k드라마",Neonix Studios,2025-10-14T10:18:14Z,PT1M,Shorts,1053,27,0
Bif50JkOPqU,https://www.youtube.com/watch?v=Bif50JkOPqU,"윤아, 이준호의 ‘탄탄한 몸매’에 깜짝! 촬영장 초토화된 리액션 공개🔥",1995 Chaeneol,2025-10-14T15:20:31Z,PT4M12S,Clip,351,7,0
FkIPsIHkHMw,https://www.youtube.com/watch?v=FkIPsIHkHMw,콘서트 100회 이상 한 아이돌 짬바 인간 턴테이블💛 #이준호 #LEEJUNHO #준호브이로그 #태풍상사 #typhoonfamily,Giant_Tree ,2025-10-14T23:09:29Z,PT34S,Shorts,3413,439,12
_wTsdKF-Q7Q,https://www.youtube.com/watch?v=_wTsdKF-Q7Q,김민하가 입만 열어도 웃음 터지는 이준호🤣 #태풍상사,tvN DRAMA,2025-10-15T02:02:00Z,PT41S,Shorts,8707,203,17
eMoxFfJAF_s,https://www.youtube.com/watch?v=eMoxFfJAF_s,🔥🌀 #typhoonfamily #이준호 #leejunho  #typhoonfamily #O3Collective #O3CLTV  #JUNHO  #leejunho,Dinorah Urzúa,2025-10-14T20:55:49Z,PT7S,Shorts,564,81,2
doRbjf11bms,https://www.youtube.com/watch?v=doRbjf11bms,태풍상사_아! 숨이 막힌다 #스트리밍중 #이준호 #김민하 #김민석 #강태풍 #드라마,고독한분석가,2025-10-14T09:30:32Z,PT1M,Shorts,1399,11,0
ACHy8LhuTBg,https://www.youtube.com/watch?v=ACHy8LhuTBg,[태풍상사] 오렌지족 사장 이준호의 출근복장 변천사  #태풍상사 #이준호 #김민하 #tvN,드온,2025-10-14T09:00:15Z,PT40S,Shorts,43,7,0
