video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
sr92N22JgeI,https://www.youtube.com/watch?v=sr92N22JgeI,내 딸은 싸이코패스입니다.,지무비 : G Movie,2024-10-31T08:00:41Z,PT2H8M49S,Clip,2630682,17522,661
BzFvBIqKBHc,https://www.youtube.com/watch?v=BzFvBIqKBHc,"[#이토록친밀한배신자] 최종회 요약본 | 네 명의 죽음에 얽힌 단 한 사람! 결정적 증거? ＂엄마, 아빠가 죽인 거야＂ 한석규와 채원빈은 가까워질 수 있을까? MBC241115방송",MBCdrama,2024-11-15T14:10:00Z,PT19M58S,Clip,886946,5887,868
VPZa8r5RjsY,https://www.youtube.com/watch?v=VPZa8r5RjsY,[#이토록친밀한배신자 | 6-7회 숏주행] 선생님 그렇게 안 봤는데..👎거짓말하면 다 걸리는 한석규 진실의 눈👁️채원빈의 살벌한 계획은 성공할 수 있을까? MBC241102방송,엠뚜루마뚜루 : MBC 공식 종합 채널,2024-11-06T13:00:40Z,PT38M34S,Clip,217439,995,76
9nMx_qKNsCk,https://www.youtube.com/watch?v=9nMx_qKNsCk,인간쓰레기를 단 3초만에 파악하는 '프로파일러 한석규'.. 이번 상대는 공부보다 거짓말이 더 쉬운 천재 딸? 연출이 영화급인 미친 드라마 ≪이토록 친밀한 배신자≫1~2화 완벽 분석,김시선,2024-10-13T01:00:05Z,PT54M16S,Clip,3285331,24142,933
VsWM188hgqw,https://www.youtube.com/watch?v=VsWM188hgqw,[#이토록친밀한배신자 | 8-9회 숏주행] 초등학생 아들 속여서 살인자 만드는 엄마🤬 아무것도 모르고 잘해주는 노재원ㅠㅠ 채원빈 때문에 한석규 다시 멘붕💫MBC241109방송,엠뚜루마뚜루 : MBC 공식 종합 채널,2024-11-13T13:00:41Z,PT38M48S,Clip,143826,633,37
UXBAprdeSqw,https://www.youtube.com/watch?v=UXBAprdeSqw,"[이토록 친밀한 배신자] 살벌한 캐릭터랑은 180도 다른 '이친자' 배우들 찐 모습, MBC 241011 방송",MBCdrama,2024-10-12T14:23:34Z,PT59S,Shorts,438675,10966,171
AalNUZCHyAc,https://www.youtube.com/watch?v=AalNUZCHyAc,반전 개미쳤다.. ≪이토록 친밀한 배신자 3 ~ 4화≫ 결말까지 미쳤다ㅜ IQ290 프로파일러 아빠와 거짓말 10단 딸이 벌이는 연쇄살인 + 머리싸움 스릴러 1위,김시선,2024-10-20T01:00:07Z,PT52M44S,Clip,1049993,7914,492
S4vFclycK4M,https://www.youtube.com/watch?v=S4vFclycK4M,[몰아보기]#이토록친밀한배신자 최종회 | 핸들이 고장난 8t 트럭보다 무서운 채원빈🔪오연수 죽음의 진실 알고 복수심에 눈 돌아감🫣 결국 피 흘리는 한석규? MBC241115방송,엠뚜루마뚜루 : MBC 공식 종합 채널,2024-11-15T14:40:00Z,PT19M58S,Clip,100224,561,32
HcSOfoJSIbg,https://www.youtube.com/watch?v=HcSOfoJSIbg,"[#이토록친밀한배신자 | 6-7회 숏주행] 피칠갑 두른 채원빈을 빼낸 한석규, 수갑 꺼내다?🫨 유오성 눈 뒤집힌 이유💥 범인 대체 누구세요ㅠㅠ MBC241102방송",드파밍,2024-11-06T10:00:15Z,PT38M34S,Clip,64434,309,28
xuHTjL89kjg,https://www.youtube.com/watch?v=xuHTjL89kjg,"≪이토록 친밀한 배신자≫5화.. 역대급 반전 또 미쳤다.. 장태수 분노 폭발ㄷㄷ 아빠는 한국 NO.1 프로파일러, 딸은 싸이코패스 연쇄 살인마, 엄마는 시체 유기를 했다고..?",지무비 : G Movie,2024-10-27T01:00:37Z,PT27M56S,Clip,1551327,12727,819
