video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
5DtkOKAWqBY,https://www.youtube.com/watch?v=5DtkOKAWqBY,임시완 축하공연 BSA OPENING PERFORMANCE [제4회 청룡시리즈어워즈] [제4회 청룡시리즈어워즈] | KBS 250718 방송,KBS Entertain,2025-07-18T12:24:22Z,PT7M54S,Clip,2400082,54226,2342
iaYvXYVae3o,https://www.youtube.com/watch?v=iaYvXYVae3o,임시완의 이상형,햅삐HAPPY,2023-02-17T03:02:38Z,PT41S,Shorts,3899650,67990,1137
oBE74lXid10,https://www.youtube.com/watch?v=oBE74lXid10,경찰에 잡혀도 웃는 싸이코패스 임시완 #스마트폰을떨어뜨렸을뿐인데,무인극장,2025-01-14T08:00:40Z,PT58S,Shorts,1173654,20642,118
BxzWvZY35c4,https://www.youtube.com/watch?v=BxzWvZY35c4,Take Me Home,Release - Topic,2023-12-23T09:04:17Z,PT3M41S,Clip,575402,3055,0
qkhuK4RelW4,https://www.youtube.com/watch?v=qkhuK4RelW4,충청도에서 춤 못 추는 수준! #임시완 #강혜원 #shorts,숏씨네(short cine),2023-12-19T06:04:01Z,PT1M,Shorts,277115,6570,71
Sl2GR8GLiC8,https://www.youtube.com/watch?v=Sl2GR8GLiC8,"만난 지 1분 만에 친해짐.🐶 임시완과 구조견 세 친구 츄츄, 히히, 보슬이의 환상 케미 #헬로리틀러브 I ELLE KOREA",엘르 코리아_ELLE KOREA,2025-11-03T09:58:30Z,PT4M10S,Clip,31408,204,21
GcEJxsZ4pwE,https://www.youtube.com/watch?v=GcEJxsZ4pwE,🏆두고두고 회자될 '청룡시리즈어워즈' 역대급 오프닝👏🏻👏🏻 프런트맨 앞에서 끼부리는 333번 참가자 임시완🕺🏻 l 제4회 청룡시리즈어워즈 ㅣ KBS 250718 방송,KBS 한국방송,2025-07-19T05:20:55Z,PT8M42S,Clip,2786069,35252,2548
2xHgLP9appg,https://www.youtube.com/watch?v=2xHgLP9appg,시완아 맘에 안드니,이민정 MJ,2025-06-19T06:36:30Z,PT33S,Shorts,393259,3100,36
zh8tAaMd_YE,https://www.youtube.com/watch?v=zh8tAaMd_YE,일상 속에서도 은은하게 돌아있는 임시완,1분순삭,2025-05-23T14:24:02Z,PT59S,Shorts,1198133,8415,92
Ua62A1PeycY,https://www.youtube.com/watch?v=Ua62A1PeycY,밥먹자는 이병헌의 말에 집까지 쳐들어간 임시완 #짠한형신동엽 #임시완 #이병헌 #오징어게임 #shorts,김쇼츠,2024-12-30T09:00:27Z,PT56S,Shorts,42294,565,10
1AZGttC_Kf4,https://www.youtube.com/watch?v=1AZGttC_Kf4,이전 소속사 얘기를 들은 광희와 임시완의 반응 차이,밥형식,2025-02-02T02:16:00Z,PT22S,Shorts,981360,12993,76
pD0rTiGKsio,https://www.youtube.com/watch?v=pD0rTiGKsio,이병헌이 임시완하게 말 함부로 못하는 이유,함께해요,2025-03-15T12:55:02Z,PT55S,Shorts,258448,3795,84
z2RlZWIC7ZQ,https://www.youtube.com/watch?v=z2RlZWIC7ZQ,YIM SIWAN 임시완 - BSA OPENING PERFORMANCE [The 4th BSA] | KBS WORLD TV 250815,KBS WORLD TV,2025-08-15T10:40:00Z,PT8M18S,Clip,3963,193,4
cLDtbIhhMw4,https://www.youtube.com/watch?v=cLDtbIhhMw4,개그코드 동기화 완료,이민정 MJ,2025-06-18T08:17:51Z,PT38S,Shorts,3760411,40387,270
y7Sfpgrc1Nw,https://www.youtube.com/watch?v=y7Sfpgrc1Nw,오징어게임 조유리 임시완 운명이라는 이유,핫레이다,2025-01-21T07:05:28Z,PT35S,Shorts,540758,8419,100
oZLcFkRAFhc,https://www.youtube.com/watch?v=oZLcFkRAFhc,최악의 빌런 찌질이 연기 천재 임시완,폭스토리,2025-07-18T11:30:20Z,PT46S,Shorts,423395,6602,150
7Gh2-_jO3pA,https://www.youtube.com/watch?v=7Gh2-_jO3pA,임시완이 같이 연기하기 힘들다고 폭로한 여배우,잇슈왕,2023-06-20T03:20:49Z,PT19S,Shorts,159494,1944,18
csoN4zaTUlI,https://www.youtube.com/watch?v=csoN4zaTUlI,임시완 사투리가 킬포네 #gd #지드래곤 #굿데이 #임시완 #데이식스 #day6 #정형돈,LAS,2025-04-18T04:11:48Z,PT43S,Shorts,105614,1231,12
D7uvqYNXvok,https://www.youtube.com/watch?v=D7uvqYNXvok,플러팅 계의 창과 방패 이병헌X임시완 #유퀴즈온더블럭,tvN D ENT,2023-08-10T11:30:05Z,PT49S,Shorts,4571298,62394,463
aBVchHT4QJk,https://www.youtube.com/watch?v=aBVchHT4QJk,"[굿데이 풀버전] 짙은 감성의 임시완 ＂TOMBOY＂ 풀버전🥰, MBC 250302 방송",MBCentertainment,2025-03-09T07:53:04Z,PT2M17S,Clip,156566,3116,259
AD6sNOesbe8,https://www.youtube.com/watch?v=AD6sNOesbe8,임시완의 상황별 사투리,넷플리즈,2024-03-03T12:35:00Z,PT59S,Shorts,270948,11528,104
eoBMjvbP5MI,https://www.youtube.com/watch?v=eoBMjvbP5MI,웃긴걸로 유명한 임시완,햅삐HAPPY,2023-12-09T03:00:21Z,PT17S,Shorts,20274,249,6
9JWYHNdm8Bw,https://www.youtube.com/watch?v=9JWYHNdm8Bw,출 거 다 추고 이병헌 눈치 보는 임시완ㅋㅋ🕺🏻 [제4회 청룡시리즈어워즈] | KBS 방송,KBS Entertain,2025-07-22T08:51:04Z,PT44S,Shorts,1876552,15537,156
m3p_a5Tmt-M,https://www.youtube.com/watch?v=m3p_a5Tmt-M,임시완 ZIN짜 왜케 잘함,햅삐HAPPY,2023-02-20T03:00:17Z,PT13S,Shorts,3555836,91043,417
6f0sz0UXAng,https://www.youtube.com/watch?v=6f0sz0UXAng,임시완 변천사 Im Siwan Evolution,Star Timeline,2025-10-20T09:30:03Z,PT37S,Shorts,79796,1424,17
4ZPlFKH5gjg,https://www.youtube.com/watch?v=4ZPlFKH5gjg,[M/V] 임시완 - Take Me Home :: 소년시대(Boyhood) OST Part.4,모스트콘텐츠 MOSTCONTENTS,2023-12-23T09:00:03Z,PT3M41S,Clip,361448,0,267
WkWwHOPxXfk,https://www.youtube.com/watch?v=WkWwHOPxXfk,임신한 조유리와 애아빠 임시완..? #조유리 #오징어게임 #임시완,댕댕요정,2024-12-27T08:51:19Z,PT54S,Shorts,316918,8163,197
8c4FvN6Jq1M,https://www.youtube.com/watch?v=8c4FvN6Jq1M,너무 귀여운 겨울 가나디 임시완 #바퀴달린집2,tvN D ENT,2025-01-08T09:00:07Z,PT53S,Shorts,6379707,231786,704
