video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
-VbdrO8ItJQ,https://www.youtube.com/watch?v=-VbdrO8ItJQ,악마 특: 죽기 직전까지 도발함😈 | [지옥에서 온 판사] 11회 | 디즈니+,Disney Plus Korea 디즈니 플러스 코리아,2024-10-26T05:00:00Z,PT59S,Shorts,29279,798,13
uzs3hbREefQ,https://www.youtube.com/watch?v=uzs3hbREefQ,지옥에서 온 판사 1-2회 에피소드를 한 방에 몰아보기😈✨ (by.고몽) | 지옥에서 온 판사 | SBS,SBS ,2024-10-07T07:00:36Z,PT40M32S,Clip,275327,1643,83
30FfrW6-T9k,https://www.youtube.com/watch?v=30FfrW6-T9k,제시(Jessi) - Boomerang '지옥에서 온 판사' OST Part.1 Official M/V #지옥에서온판사 #TheJudgefromhell #OST #SBSCatch,SBS Catch,2024-09-28T09:00:02Z,PT2M29S,Clip,109607,1138,0
Q3agUurTFcc,https://www.youtube.com/watch?v=Q3agUurTFcc,말로 검사 때려잡는 판사 박신혜👊 #Shorts #지옥에서온판사 #TheJudgefromhell #SBSCatch,SBS Catch,2024-09-26T06:10:00Z,PT59S,Shorts,1216595,21107,256
o5Ws9JnBXXc,https://www.youtube.com/watch?v=o5Ws9JnBXXc,하필이면ㅋ 600살 먹은 지옥에서 온 판사가..! 대한민국 인간 쓰레기들을 대청소하기 시작했다 🔥 집행유예..?! 풉킥 그딴 건 개나 줘! 최소 100년씩≪지옥에서 온 판사≫,김시선,2024-09-29T01:00:33Z,PT45M1S,Clip,3364591,23024,1096
kJj1-cY5agk,https://www.youtube.com/watch?v=kJj1-cY5agk,지옥에서 온 판사 1-2회 에피소드를 한 방에 몰아보기✨ (by.지무비) | 지옥에서 온 판사 | SBS,SBS ,2024-10-07T08:00:34Z,PT34M24S,Clip,164977,1064,38
IER2MG7Gn3k,https://www.youtube.com/watch?v=IER2MG7Gn3k,선미 - Crossroad '지옥에서 온 판사' OST Part.2 Official M/V #지옥에서온판사 #TheJudgefromhell #OST #SBSCatch,SBS Catch,2024-10-12T09:00:24Z,PT3M54S,Clip,206684,2068,145
ZwaxR6KPPKU,https://www.youtube.com/watch?v=ZwaxR6KPPKU,지옥에서 온 판사 총 14부작 몰아보기,시네버스JK,2024-11-10T09:00:35Z,PT38M20S,Clip,608,4,0
EqBF0UQg1Yk,https://www.youtube.com/watch?v=EqBF0UQg1Yk,이 영상은 13초 동안 박신혜가 계속 예쁜 영상입니다. #shorts | 지옥에서 온 판사 | SBS,SBS ,2024-09-26T05:00:09Z,PT14S,Shorts,203529,6234,151
yPUz5JNJpBc,https://www.youtube.com/watch?v=yPUz5JNJpBc,정의는 죽었다며 냅다 사람 패는 판사 박신혜ㅋㅋ 범죄자들 눈눈이이 제대로 해주고 사이다 터트림💥 | 지옥에서 온 판사 | SBS,SBS ,2024-09-21T15:45:06Z,PT20M,Clip,1282501,10085,746
k-qYxsXxB64,https://www.youtube.com/watch?v=k-qYxsXxB64,드디어 밝혀진 사탄의 정체와 연쇄살인마가 된 이유💥 #shorts | 지옥에서 온 판사 | SBS,SBS ,2024-10-26T15:00:59Z,PT1M,Shorts,103205,1816,30
MkJRNDZkjlk,https://www.youtube.com/watch?v=MkJRNDZkjlk,엄마를 경찰에 신고하기 위해 탈출한 아이! | [지옥에서 온 판사] 4회 | 디즈니+,Disney Plus Korea 디즈니 플러스 코리아,2024-09-29T07:00:18Z,PT50S,Shorts,187455,2768,18
Hp1siPJCf2U,https://www.youtube.com/watch?v=Hp1siPJCf2U,오해 마세요 빛나도 600살이에요✨ 만나기만 하면 싸우는 천사영옥과 악마신혜ㅋㅋ #shorts | 지옥에서 온 판사 | SBS,SBS ,2024-10-22T07:28:53Z,PT1M,Shorts,476491,8954,96
3vwYIDFB16U,https://www.youtube.com/watch?v=3vwYIDFB16U,가해자 도발해서 상황 뒤집는 판사?! | [지옥에서 온 판사] 6회 | 디즈니+,Disney Plus Korea 디즈니 플러스 코리아,2024-10-06T05:00:04Z,PT47S,Shorts,247326,4170,17
qZyqeEbeBPk,https://www.youtube.com/watch?v=qZyqeEbeBPk,악마 모임 호구조사에 걸릴 뻔한 김재영 박신혜의 임기응변은? 뽀삐🐶  #shorts | 지옥에서 온 판사 | SBS,SBS ,2024-10-05T03:00:42Z,PT58S,Shorts,398780,6205,38
WZeOdqtZ82g,https://www.youtube.com/watch?v=WZeOdqtZ82g,[#습멘터리] 지옥에서 온 판사 배우들과 함께 보는 1~4회 코멘터리😈❤ | 지옥에서 온 판사 | SBS,SBS ,2024-10-02T05:00:21Z,PT29M43S,Clip,208511,3061,159
rdJ0MRow2uo,https://www.youtube.com/watch?v=rdJ0MRow2uo,"[최종회 엔딩] ""내가 누구냐면 지옥에서 온 판사😈"" 여전히 예쁘고 여전히 정의로운 강빛나✨ |  지옥에서 온 판사 | SBS",SBS ,2024-11-02T14:15:03Z,PT1M,Shorts,153757,4915,127
WeBRLu8invw,https://www.youtube.com/watch?v=WeBRLu8invw,[ 지옥에서 온 판사 ] 몰아보기 5화 6화! 심판의 시작! 다중인격 살인마 양승빈의 최후는?,드라마숏톡,2024-10-07T14:58:58Z,PT5M28S,Clip,13784,52,0
Z_RVLOUeNOc,https://www.youtube.com/watch?v=Z_RVLOUeNOc,"[스페셜 선공개] MZ 판사가 떴다?! 판결도, 복장도 맘대로인 박신혜에 뒷목 잡는 상사 | 지옥에서 온 판사 | SBS",SBS ,2024-09-21T01:00:33Z,PT1M20S,Clip,32504,365,32
W4uuEx1yy3I,https://www.youtube.com/watch?v=W4uuEx1yy3I,[3-4회 요약] 보험금 노린 남편 살인 + 아동학대범?! 내가 놀아줄 테니깐 너도 한번 웃어봐😉 | 지옥에서 온 판사 | SBS,SBS ,2024-09-28T15:00:37Z,PT14M55S,Clip,294472,2477,287
-3LxXDAB5Ls,https://www.youtube.com/watch?v=-3LxXDAB5Ls,'지옥에서 온 판사' Special Track - Gehenna Official M/V #지옥에서온판사 #TheJudgefromhell #OST #SBSCatch,SBS Catch,2024-10-28T03:00:00Z,PT3M19S,Clip,32751,573,26
GvUHHw4Ic5Q,https://www.youtube.com/watch?v=GvUHHw4Ic5Q,"[10회 엔딩] ""내가 당신 지킬 거야"" 목숨 걸고 서로를 지키는 신혜와 재영 #shorts | 지옥에서 온 판사 | SBS",SBS ,2024-10-19T14:45:01Z,PT59S,Shorts,62373,2276,57
LdULomYWUmw,https://www.youtube.com/watch?v=LdULomYWUmw,최애(=빛나)앞에서 흑화한 악마 아롱이 | [지옥에서 온 판사] 11회 | 디즈니+,Disney Plus Korea 디즈니 플러스 코리아,2024-10-26T05:00:13Z,PT57S,Shorts,87250,2423,34
uLnSC-fAMao,https://www.youtube.com/watch?v=uLnSC-fAMao,지옥에서 온 판사 박신혜 결혼식 vs 실제 박신혜 결혼식 #박신혜결혼식 #박신혜웨딩드레스 #지옥에서온판사,결세아,2024-11-10T04:07:00Z,PT37S,Shorts,89946,998,6
-jAZOSb4lv4,https://www.youtube.com/watch?v=-jAZOSb4lv4,지옥에서 온 판사 3-4회 에피소드를 한 방에 몰아보기😈✨ (by.고몽) | 지옥에서 온 판사 | SBS,SBS ,2024-10-02T09:00:00Z,PT36M43S,Clip,598788,3461,152
vTf2W5lHMSg,https://www.youtube.com/watch?v=vTf2W5lHMSg,"입주민들이 범상치 않다,, 어디로 튈지 모르는 황천빌라 사람들 속에 살아가는 악마 박신혜😎 #지옥에서온판사 #TheJudgefromhell #SBSCatch",SBS Catch,2024-10-01T07:00:41Z,PT12M36S,Clip,337607,2401,77
