video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
o8OP-caWG_s,https://www.youtube.com/watch?v=o8OP-caWG_s,꽁냥꽁냥 서로 챙겨주는 최우식❤️정소민~심쿵,뽀잉LoOks,2025-10-15T07:03:00Z,PT19S,Shorts,253588,1774,30
dM96eQEeSEo,https://www.youtube.com/watch?v=dM96eQEeSEo,자리 바꿔달라는데 바로 거부한 남자의 이유 #우주메리미 #정소민 #최우식,짧드드,2025-10-12T08:00:49Z,PT35S,Shorts,26027013,350861,1906
4AIQnN2Dqos,https://www.youtube.com/watch?v=4AIQnN2Dqos,이 영상부터 저 최우식은 섹시스타입니다. ..!☞☜,요정재형,2025-10-19T08:00:02Z,PT57M18S,Clip,669804,13139,937
ezY_Gi3HNlU,https://www.youtube.com/watch?v=ezY_Gi3HNlU,“정해인 vs 최우식“~닮은 듯 다른 케미..심쿵💕,뽀잉LoOks,2025-10-12T07:03:00Z,PT14S,Shorts,131297,917,27
WGvvTsuMDfg,https://www.youtube.com/watch?v=WGvvTsuMDfg,박보영이 최우식에게 지고 싶지 않은 이유,인셈블,2025-02-13T09:00:30Z,PT34S,Shorts,242189,4754,35
Lf3l0J0oIjE,https://www.youtube.com/watch?v=Lf3l0J0oIjE,긴장하면 자꾸 고장나는 최우식ㅋㅋㅋ #멜로무비 #melomovie #netflix,씨네플레이 CINEPLAY,2025-02-12T07:14:27Z,PT31S,Shorts,323830,4396,44
exw7qtOJlzY,https://www.youtube.com/watch?v=exw7qtOJlzY,최우식 데뷔 전부터 현재까지 얼굴 변천사,연예공장,2025-06-26T09:00:09Z,PT43S,Shorts,16603,160,5
axdz-fZNNwE,https://www.youtube.com/watch?v=axdz-fZNNwE,웃기는게 체질이다 #출장소통의신 #서진이네 #뷔 #BTS #김태형 #박서준 #최우식,ggil ggil,2025-03-02T04:01:37Z,PT51S,Shorts,1705664,9883,25
V-7VpQ2jtcU,https://www.youtube.com/watch?v=V-7VpQ2jtcU,순두부보다 더 말랑이는 최우식💜정소민 OX 인터뷰! #우주메리미 #Shorts #SBSCatch,SBS Catch,2025-09-22T06:57:41Z,PT2M22S,Clip,118358,3171,98
YjxonrgxnPU,https://www.youtube.com/watch?v=YjxonrgxnPU,"최우식, 소심한 태세전환💨 #최우식 #정소민 #우주메리미 #제작발표회 #드라마",K-Culture NOW by 연합뉴스,2025-10-11T14:00:50Z,PT48S,Shorts,103223,1037,12
