video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
bWjNcMDHRc0,https://www.youtube.com/watch?v=bWjNcMDHRc0,"[#태풍상사] 척하면 척, 벌써부터 완벽 케미 자랑하는 태풍상사 능력 모음.zip✨ | #번개클립",tvN D ENT,2025-10-14T22:30:10Z,PT9M28S,Clip,2264,176,23
OR0Q80iiAbw,https://www.youtube.com/watch?v=OR0Q80iiAbw,"[3화 예고] 이준호, 입사하자마자 위기!? 궁지에 몰린 태풍상사의 운명은..? #태풍상사 EP.3",tvN DRAMA,2025-10-12T13:44:21Z,PT38S,Shorts,305536,1190,250
UELBkLUIJhk,https://www.youtube.com/watch?v=UELBkLUIJhk,"[1-2화 요약] 압구정 날라리→초짜 사장이 된 이준호, IMF 위기 속 태풍상사를 지켜라🔥 #태풍상사 EP.2",tvN DRAMA,2025-10-12T23:00:27Z,PT5M15S,Clip,12948,780,98
cMloLJ_WPMM,https://www.youtube.com/watch?v=cMloLJ_WPMM,[#태풍상사] 🫷온몸으로 트럭 막기🫸 거래처의 수상함 알아채고 바닥에 드러누운 이준호!?🚛,디글 :Diggle,2025-10-12T15:31:00Z,PT8M24S,Clip,32766,361,44
sQF_yQHTlLI,https://www.youtube.com/watch?v=sQF_yQHTlLI,[태풍상사 3화 예고] 대방섬유 반품하고 회사 살아난다,드라마퀸 (Drama Queen),2025-10-13T21:45:54Z,PT4M53S,Clip,19301,354,16
yLnqO5XnOdU,https://www.youtube.com/watch?v=yLnqO5XnOdU,[2화 예고] 부도 위기의 태풍상사에 입성한 이준호🌪️ 진짜 직원이 될 수 있을까? #태풍상사 EP.2,tvN DRAMA,2025-10-11T13:58:18Z,PT40S,Shorts,18879,1035,159
Owf5OYUlrLg,https://www.youtube.com/watch?v=Owf5OYUlrLg,"[하이라이트] 이준호, 초보 상사맨이 된 압구정 날라리😮! 태풍상사, IMF 속 고군분투 생존기 시작🔥 #태풍상사 EP.0",tvN DRAMA,2025-09-29T23:00:33Z,PT3M37S,Clip,117327,2996,388
iVH0S4VRlQ0,https://www.youtube.com/watch?v=iVH0S4VRlQ0,"[태풍상사] 우리 지금 길바닥에 나앉은 거야?🫨 1997년 IMF, 태풍상사의 운명은?!🌀ㅣ티저 | TVING",TVING,2025-10-05T05:00:45Z,PT1M3S,Clip,26406,949,84
VBwQajN4TP8,https://www.youtube.com/watch?v=VBwQajN4TP8,Tae Poong's Dad has a Secret? | Typhoon Family (태풍상사) REVIEW [EP 2] NETFLIX #shorts  #itsmea1s0z,itsmeA1S0Z,2025-10-12T15:45:37Z,PT1M1S,Clip,240,2,2
6i94W69XD_s,https://www.youtube.com/watch?v=6i94W69XD_s,[2화 선공개] 프로페셔널한 태풍상사즈✨ 그리고 눈알만 도르륵 굴리는 신입 이준호의 첫 출근 ㅇ_ㅇ! #태풍상사 EP.2,tvN DRAMA,2025-10-11T23:30:06Z,PT2M32S,Clip,78375,1675,229
wFNHD869D_Y,https://www.youtube.com/watch?v=wFNHD869D_Y,태풍상사 완전정복📊 조직도 한눈에 보기 #태풍상사 EP.0 | tvN 251005 방송,tvN DRAMA,2025-10-05T12:23:44Z,PT2M51S,Clip,8560,481,44
J_pguEbb1Dw,https://www.youtube.com/watch?v=J_pguEbb1Dw,"(스페셜 선공개) 우연한 첫 만남, 이준호에게 자꾸 눈길이 가는 김민하 #태풍상사 EP.0 | tvN 251005 방송",tvN DRAMA,2025-10-05T12:20:13Z,PT3M5S,Clip,390611,5502,803
wTST1-k1y6s,https://www.youtube.com/watch?v=wTST1-k1y6s,[고증맛집] 그 시절 완벽 재현! 태풍상사 사무실 전격 공개 #태풍상사 EP.0 | tvN 251005 방송,tvN DRAMA,2025-10-05T12:31:56Z,PT3M29S,Clip,7988,337,29
UG2OcBVRIDo,https://www.youtube.com/watch?v=UG2OcBVRIDo,[메이킹] 이준호의 하루는 48시간인가요?💦 춤추고 구르고(?) 뛰고 다 하는 첫 출근 비하인드💼 #태풍상사 EP.2,tvN DRAMA,2025-10-13T00:00:35Z,PT9M48S,Clip,33155,2601,337
aUTp0oWkxRA,https://www.youtube.com/watch?v=aUTp0oWkxRA,(스페셜 선공개) 그 시절 연프 출격! 김민석 부탁으로 소개팅 프로그램 나간 이준호 #태풍상사 EP.0 | tvN 251005 방송,tvN DRAMA,2025-10-05T12:13:40Z,PT3M3S,Clip,46309,1735,219
4BeNyF7HipQ,https://www.youtube.com/watch?v=4BeNyF7HipQ,"[1화 선공개] 폼생폼사 이준호, 난 슬플 때 춤을 춰..★ 근데 이제 꽃에 물 주기를 곁들인 화원 댄스🌼 #태풍상사 EP.1",tvN DRAMA,2025-10-10T23:30:02Z,PT1M53S,Clip,33283,1605,297
swhG7WSRItg,https://www.youtube.com/watch?v=swhG7WSRItg,본/방/사/수 태풍상사를 기다리는 시청자 여러분들께 전하는 진심✉️ #태풍상사 EP.0 | tvN 251005 방송,tvN DRAMA,2025-10-05T12:47:27Z,PT1M29S,Clip,10471,862,81
EOR7UbAMAts,https://www.youtube.com/watch?v=EOR7UbAMAts,[FULL] tvN 새 토일드라마 [태풍상사] 제작발표회 다시보기 #태풍상사 EP.0,tvN DRAMA,2025-10-03T01:00:14Z,PT55M7S,Clip,13032,1027,113
_Lftms1AWQc,https://www.youtube.com/watch?v=_Lftms1AWQc,"[#태풍상사] 태풍상사도 피할 수 없었다💥 1997년, IMF 직면하고 쓰러진 대표 성동일.. | #번개클립",tvN D ENT,2025-10-11T15:31:00Z,PT9M17S,Clip,9415,199,20
xEp_CarJ3GQ,https://www.youtube.com/watch?v=xEp_CarJ3GQ,분위기 메이커✨ 이준호X김민하의 현장 비하인드 #태풍상사 EP.0 | tvN 251005 방송,tvN DRAMA,2025-10-05T12:36:16Z,PT3M59S,Clip,12419,1025,88
4ibszygZMIs,https://www.youtube.com/watch?v=4ibszygZMIs,[#태풍상사] IMF 터졌는데 설상가상으로 아버지도 돌아가심... | #산지직송,디글 클래식 :Diggle Classic,2025-10-11T15:31:00Z,PT9M46S,Clip,7238,180,14
Nq1mR28UwEM,https://www.youtube.com/watch?v=Nq1mR28UwEM,[메이킹] 1997년으로 순간이동 했그든요!✨ 열정 넘치는 이준호X김민하X태풍상사즈 포스터&티저 비하인드📸 #태풍상사 EP.0,tvN DRAMA,2025-09-29T00:00:33Z,PT7M35S,Clip,28492,2148,259
wEllmmKwJO0,https://www.youtube.com/watch?v=wEllmmKwJO0,[메이킹] (환) 가족 같은 회사 (영) 이준호 사장님&임직원 총출동✨'태풍상사' 환영회 현장 대공개! #태풍상사 EP.0,tvN DRAMA,2025-09-26T00:01:14Z,PT6M3S,Clip,16386,1441,141
_Z08ZxobbPY,https://www.youtube.com/watch?v=_Z08ZxobbPY,[태풍 홈비디오 #1] 나야 강태풍,이준호 LEE JUNHO,2025-10-10T09:00:06Z,PT15M25S,Clip,45923,5044,565
zejncvtRV8c,https://www.youtube.com/watch?v=zejncvtRV8c,"[1화 예고] “바쁘다 바빠 1997년 사회” 이준호X김민하, 낭만 혹은 위기의 청춘🔥🌪️ #태풍상사 EP.1",tvN DRAMA,2025-10-01T23:01:10Z,PT38S,Shorts,70617,1439,269
AEFquu0y4j4,https://www.youtube.com/watch?v=AEFquu0y4j4,태풍상사의 악연 '표씨네 상선' 여기는 무조건 감옥 간다 #태풍상사 #1화,드라마퀸 (Drama Queen),2025-10-11T21:00:10Z,PT3M39S,Clip,5389,207,12
xPXYbjyA-Ao,https://www.youtube.com/watch?v=xPXYbjyA-Ao,"[성장 티저] 초보 사장 이준호, 태풍상사와 함께 성장 중🔥 ""뭐든지 할 거예요, 회사를 위해서"" #태풍상사 EP.0",tvN DRAMA,2025-09-22T05:01:07Z,PT40S,Shorts,43800,1594,259
vSdE-XaRsVQ,https://www.youtube.com/watch?v=vSdE-XaRsVQ,날아차기쯤은 간단한 짐승돌 이준호😍 #태풍상사,tvN DRAMA,2025-10-14T14:01:46Z,PT55S,Shorts,11014,576,37
sNXRMj_-eec,https://www.youtube.com/watch?v=sNXRMj_-eec,"[종합 예고] 초보 상사맨 이준호가 마주한 1997년 IMF🌀 태풍상사도, 인생도 끝장 위기😯?! #태풍상사 EP.0",tvN DRAMA,2025-09-24T23:01:02Z,PT1M,Shorts,1672101,2003,401
0Vg6_BlfopY,https://www.youtube.com/watch?v=0Vg6_BlfopY,"[태풍상사 2화 예고편 분석] 1997년, 아버지를 잃은 청년의 이야기… 인생을 다시 일으키는 ‘태풍상사’🌪️",드라마Talk,2025-10-11T17:41:46Z,PT10M4S,Clip,5785,169,16
NVwDpIClaOE,https://www.youtube.com/watch?v=NVwDpIClaOE,현재 논란중인 이준호 태풍상사 고증 수준,핫이글,2025-10-13T06:58:14Z,PT1M19S,Clip,29485,458,40
OKOF7NFojd4,https://www.youtube.com/watch?v=OKOF7NFojd4,"[메이킹] 솔리드 났네, 솔리드 났어💫 케미 맛집 태풍상사즈 첫 촬영 현장 공개! (+댄스 본능 못 참는 이준호 사장님🕺) #태풍상사 EP.0",tvN DRAMA,2025-10-04T00:00:30Z,PT4M53S,Clip,24480,1941,246
CHX3_V2HJe8,https://www.youtube.com/watch?v=CHX3_V2HJe8,[Lyric Video] 김민하 - 영원 (태풍상사 OST Part 1)｜리릭비디오｜Stone Music Playlist,Stone Music Entertainment,2025-10-12T09:00:25Z,PT3M49S,Clip,20034,1111,70
5BMOtDSJP5g,https://www.youtube.com/watch?v=5BMOtDSJP5g,[메이킹] '나의 최애에게' 이벤트 - 2025 가장 기대되는 최애 드라마 1위 #태풍상사 커피차 조공 현장,tvN DRAMA,2025-09-23T09:00:09Z,PT6M6S,Clip,26819,1893,224
cLo00BOMx8Y,https://www.youtube.com/watch?v=cLo00BOMx8Y,"[태풍상사] 뭐든지 할 거예요, 회사를 위해ㅣ티저ㅣTVING",TVING,2025-09-28T03:00:57Z,PT44S,Shorts,9772,727,85
uA2Kh6iwYBw,https://www.youtube.com/watch?v=uA2Kh6iwYBw,준호 당신이 몰랐던 사실들 #태풍상사,배우백과사전,2025-10-04T10:01:34Z,PT1M39S,Clip,13351,662,17
KsvF0xNS7_M,https://www.youtube.com/watch?v=KsvF0xNS7_M,[태풍상사 3화 예고] 아버지가 태풍에게 감추었던 이유,드라마퀸 (Drama Queen),2025-10-12T21:00:19Z,PT4M29S,Clip,25738,364,19
pepRyk1gjPA,https://www.youtube.com/watch?v=pepRyk1gjPA,"[사장X경리 티저] 행동파 사장 이준호X논리파 경리 김민하, 환상의 위기 돌파 시너지💼 #태풍상사 EP.0",tvN DRAMA,2025-09-23T23:00:56Z,PT35S,Shorts,28230,1170,139
OzmvgxUg45s,https://www.youtube.com/watch?v=OzmvgxUg45s,[1화 선공개] 댄스 타임으로 울적함 해소하는 태풍ㅋㅋ #태풍상사,tvN DRAMA,2025-10-11T01:00:29Z,PT56S,Shorts,27388,802,56
T3GAygpIZNQ,https://www.youtube.com/watch?v=T3GAygpIZNQ,[3화 예고] 계약 잘못했다가 망하게 생긴 #태풍상사 ❓,tvN D ENT,2025-10-14T07:30:21Z,PT30S,Shorts,16696,171,10
SE7YboJk6jY,https://www.youtube.com/watch?v=SE7YboJk6jY,"[FULL] '어쩌다 사장의 IMF 극복기💵' 이준호-김민하, tvN '태풍상사' 제작발표회 풀영상",iMBC연예,2025-10-01T07:59:05Z,PT44M54S,Clip,10945,1066,108
ueP8lGzBPcs,https://www.youtube.com/watch?v=ueP8lGzBPcs,[태풍상사3화예고]찾았다. 아버지의 유산#tvN #태풍상사 #이준호 #김민하,DDrop,2025-10-12T20:45:05Z,PT8M23S,Clip,13116,202,12
ea6Zxyvk-xs,https://www.youtube.com/watch?v=ea6Zxyvk-xs,[스페셜 선공개] 제사도 없애는 여성 출연자의 애교 작전😉 #태풍상사,디글 클래식 :Diggle Classic,2025-10-05T13:31:03Z,PT57S,Shorts,13287,105,5
QCw_CVhPFF4,https://www.youtube.com/watch?v=QCw_CVhPFF4,[이준호] 250915 태풍상사 신입사원 환영회 역조공 팬이벤트 (4K),잊나라(ITNARA),2025-09-15T16:36:12Z,PT6M31S,Clip,6523,477,17
4fTL7l8eGjk,https://www.youtube.com/watch?v=4fTL7l8eGjk,"[태풍상사] 무너진 건 시대지, 나는 아니야😼 | 티저 | TVING",TVING,2025-09-16T03:00:09Z,PT33S,Shorts,7733,454,40
wHRNSP5ij2U,https://www.youtube.com/watch?v=wHRNSP5ij2U,이준호 덕분에 파이팅 넘치는 #태풍상사 😆,tvN DRAMA,2025-09-30T07:01:08Z,PT35S,Shorts,13519,667,39
t8DYzn4zeSI,https://www.youtube.com/watch?v=t8DYzn4zeSI,태풍상사🌀🌐 서포터즈 제작발표회 화환,이준호 투표팀 (leejunho_voting),2025-10-10T14:32:40Z,PT13S,Shorts,12744,96,2
tnblg5ITKBA,https://www.youtube.com/watch?v=tnblg5ITKBA,[태풍상사 AI] 포스터 속 움직이는 이준호 포착! 낭만 청춘→초보 상사맨 성장 모먼트 공개🌀 #태풍상사 EP.0,tvN DRAMA,2025-09-19T05:00:55Z,PT33S,Shorts,24864,1150,83
Tr-38_F6w6Q,https://www.youtube.com/watch?v=Tr-38_F6w6Q,"[매일TV] '태풍상사' 이준호·김민하 캐스팅 이유 ""정점에 선 배우의 모든 면"" 251001 Typhoon Family, LEE JUNHO, KIM MINHA #Shorts",매일TV,2025-10-01T11:17:48Z,PT1M31S,Clip,4485,176,8
IK89ItVZ_Oc,https://www.youtube.com/watch?v=IK89ItVZ_Oc,[#태풍상사] 친구들이랑 철없이 놀러 다닌 이준호😜 결국 아빠한테 뺨 맞음 엔딩...😓 | #번개클립,tvN D ENT,2025-10-11T15:30:12Z,PT9M40S,Clip,8059,416,49
