video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
UG2OcBVRIDo,https://www.youtube.com/watch?v=UG2OcBVRIDo,[메이킹] 이준호의 하루는 48시간인가요?💦 춤추고 구르고(?) 뛰고 다 하는 첫 출근 비하인드💼 #태풍상사 EP.2,tvN DRAMA,2025-10-13T00:00:35Z,PT9M48S,Clip,7550,1391,199
KsvF0xNS7_M,https://www.youtube.com/watch?v=KsvF0xNS7_M,[태풍상사 3화 예고] 아버지가 태풍에게 감추었던 이유,드라마퀸 (Drama Queen),2025-10-12T21:00:19Z,PT4M29S,Clip,4621,156,10
0rS6buwfv4U,https://www.youtube.com/watch?v=0rS6buwfv4U,#태풍상사 #미우새 #윤민수 #윤후 #노이즈 #현아 #장나라 #나혼자산다 #다이루어질지니 #백번의추억 #조용필 #송가인 #임영웅 #핑크마트,핑크마트 어른용품,2025-10-12T22:19:17Z,PT40S,Shorts,3192,21,0
DEzxB4YVIOk,https://www.youtube.com/watch?v=DEzxB4YVIOk,태풍상사 OST _이준호  Did you see the rainbow? 너무 좋다🥹  #이준호 #태풍상사 #typhoonfamily #태풍상사ost,Giant_Tree ,2025-10-12T23:30:03Z,PT1M30S,Clip,573,109,14
UELBkLUIJhk,https://www.youtube.com/watch?v=UELBkLUIJhk,"[1-2화 요약] 압구정 날라리→초짜 사장이 된 이준호, IMF 위기 속 태풍상사를 지켜라🔥 #태풍상사 EP.2",tvN DRAMA,2025-10-12T23:00:27Z,PT5M15S,Clip,3989,424,54
krxnoHZXqz4,https://www.youtube.com/watch?v=krxnoHZXqz4,#태풍상사 #typhoonfamily #leejunho #kimminha #tvn #netflix #kdrama #kdramaedit #korea #paris #love,Sonyvpe,2025-10-12T19:06:27Z,PT35S,Shorts,1176,29,0
VJKYArgMOMY,https://www.youtube.com/watch?v=VJKYArgMOMY,밥 먹을래! 나랑 같이🫠 응 그래 😂 #이준호 #LEEJUNHO #태풍상사 #typhoonfamily,Giant_Tree ,2025-10-13T00:47:18Z,PT30S,Shorts,6427,258,8
ueP8lGzBPcs,https://www.youtube.com/watch?v=ueP8lGzBPcs,[태풍상사3화예고]찾았다. 아버지의 유산#tvN #태풍상사 #이준호 #김민하,DDrop,2025-10-12T20:45:05Z,PT8M23S,Clip,318,8,1
B4xcFD9ORUU,https://www.youtube.com/watch?v=B4xcFD9ORUU,[이준호] 댄.싱.머.신.강.태.풍🌀 #태풍상사,암욜맨무대존버단,2025-10-13T02:45:35Z,PT46S,Shorts,2017,224,9
pjA-wmFS50Y,https://www.youtube.com/watch?v=pjA-wmFS50Y,[대만반응]대만언론“K드라마 ‘태풍상사’ 한국이 또 하나의 명작드라마를 만들어버렸다!”“이 K드라마가 넷플릭스 1위를 예약했다!”,한류클라쓰TV,2025-10-13T03:15:08Z,PT12M3S,Clip,128,31,4
uOEXnIEEo3U,https://www.youtube.com/watch?v=uOEXnIEEo3U,no more Georgio Armani🥲 #typhoonfamily #kangtaepoong #leejunho #kdrama #kdramaedit #태풍상사 #fyp,GlitchScenes🎬,2025-10-13T00:02:19Z,PT23S,Shorts,1542,28,1
kYrPYlGjP04,https://www.youtube.com/watch?v=kYrPYlGjP04,비주얼 킹 태풍이는요💛 서울 사투리를 쓰거든요~ #이준호 #LEEJUNHO #태풍상사 #typhoonfamily,Giant_Tree ,2025-10-13T03:02:15Z,PT27S,Shorts,1100,192,7
_HxMKOmA0R8,https://www.youtube.com/watch?v=_HxMKOmA0R8,그냥 월요일 vs 🥰🌹웃음 가득 월급날💸🤗 #태풍상사,tvN DRAMA,2025-10-13T00:10:00Z,PT1M1S,Clip,1149,72,3
fM8PCa2sUCw,https://www.youtube.com/watch?v=fM8PCa2sUCw,[중국반응]중국언론“K드라마 ‘태풍상사’ 왜 K드라마가 전 세계 최고인지를 중국은 배워야 한다!”“역시 한국배우들의 연기는 세계 최고다!”,정치클라쓰TV,2025-10-12T23:18:50Z,PT11M7S,Clip,114,24,6
73FMMzAb4-g,https://www.youtube.com/watch?v=73FMMzAb4-g,"《태풍상사》3화 예고편 리뷰🔥1997년 IMF, 청춘들의 뜨거운 생존기!🔥[이준호X김민하] #이준호 #김민하 #성동일 #태풍상사",파란무비,2025-10-13T00:36:47Z,PT6M24S,Clip,24,3,0
EaDvq6A1-pw,https://www.youtube.com/watch?v=EaDvq6A1-pw,태풍상사 1회 2회 IMF에 폭망을 앞둔 아빠의 회사를 살려야한다!,Jay Jun,2025-10-13T01:02:14Z,PT5M39S,Clip,20,2,3
B__aNyNq5k4,https://www.youtube.com/watch?v=B__aNyNq5k4,"[태풍상사] 3회 예고｜🔥지켜냈다고 생각한 순간, 모든 게 무너졌다. #이준호#김민하#강태풍#오미선#tvn드라마",예고한판,2025-10-12T22:00:20Z,PT37S,Shorts,965,7,0
d9iB3rGPMxY,https://www.youtube.com/watch?v=d9iB3rGPMxY,김민하 - 영원 / 태풍상사 OST Part 1,Love Kmusic,2025-10-12T22:07:56Z,PT3M46S,Clip,15,0,0
JRtG6Mu70Gs,https://www.youtube.com/watch?v=JRtG6Mu70Gs,태풍상사 토일드라마 시청률 1위,무드 리뷰,2025-10-13T02:09:51Z,PT5M13S,Clip,6,0,0
ZZiNjogVbkc,https://www.youtube.com/watch?v=ZZiNjogVbkc,"[2PM] Lee Junho | (태풍상사) Typhoon Family EP.2 | tvN, Netflix | 12.10.2025",2pm risna,2025-10-13T01:58:54Z,PT47S,Shorts,321,32,1
YJwBxDFqXiM,https://www.youtube.com/watch?v=YJwBxDFqXiM,[3화 예고] 태풍이 이태리 원단을 지키고 진짜 위기가 찾아온다 #태풍상사,리뷰하는 직장인,2025-10-13T02:17:31Z,PT1M17S,Clip,4,0,0
cNQUxjmFuYY,https://www.youtube.com/watch?v=cNQUxjmFuYY,"[2PM] Lee Junho | (태풍상사) Typhoon Family EP.2 | tvN, Netflix | 12.10.2025",2pm risna,2025-10-13T01:59:04Z,PT30S,Shorts,77,18,0
ZNyF9aq2gSU,https://www.youtube.com/watch?v=ZNyF9aq2gSU,"태풍상사 이준호, 압구정 날라리 충격 근황! 11일 첫 방송, 12일 2회 예고!",[서연] 스타 핫뉴스,2025-10-12T19:03:54Z,PT2M11S,Clip,0,0,0
FUbpMQLdVF8,https://www.youtube.com/watch?v=FUbpMQLdVF8,Typhoon Family (Korean: 태풍상사) #kdrama#2025#Lee Jun-ho#Kim Min-ha,Kdrama mania,2025-10-13T03:57:59Z,PT23S,Shorts,80,3,0
6t1sna1geDo,https://www.youtube.com/watch?v=6t1sna1geDo,[3화 예고] 태풍 엄마까지 셋이 화끈하게 동거하게 된다 #태풍상사,리뷰하는 직장인,2025-10-13T04:31:28Z,PT1M13S,Clip,2,0,0
EA-Dn6TFm6o,https://www.youtube.com/watch?v=EA-Dn6TFm6o,[태풍상사] 오렌지족에서 진짜 대표!! 만렙 경리 든든한 조력과 ‘K-장녀’의 존재감 뿜뿜 #태풍상사 3회 예고 # 태풍상사# 이준호#김민하,드람보슈,2025-10-13T01:53:00Z,PT9M22S,Clip,3,0,0
