video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
6i94W69XD_s,https://www.youtube.com/watch?v=6i94W69XD_s,[2화 선공개] 프로페셔널한 태풍상사즈✨ 그리고 눈알만 도르륵 굴리는 신입 이준호의 첫 출근 ㅇ_ㅇ! #태풍상사 EP.2,tvN DRAMA,2025-10-11T23:30:06Z,PT2M32S,Clip,75128,1651,228
OR0Q80iiAbw,https://www.youtube.com/watch?v=OR0Q80iiAbw,"[3화 예고] 이준호, 입사하자마자 위기!? 궁지에 몰린 태풍상사의 운명은..? #태풍상사 EP.3",tvN DRAMA,2025-10-12T13:44:21Z,PT38S,Shorts,158624,911,163
7hF6T9T-jjQ,https://www.youtube.com/watch?v=7hF6T9T-jjQ,나야 강태풍 😎 #이준호 #LEEJUNHO #태풍상사 #TyphoonFamily,이준호 LEE JUNHO,2025-10-07T08:30:20Z,PT41S,Shorts,86962,5494,417
_Z08ZxobbPY,https://www.youtube.com/watch?v=_Z08ZxobbPY,[태풍 홈비디오 #1] 나야 강태풍,이준호 LEE JUNHO,2025-10-10T09:00:06Z,PT15M25S,Clip,39920,4648,545
4BeNyF7HipQ,https://www.youtube.com/watch?v=4BeNyF7HipQ,"[1화 선공개] 폼생폼사 이준호, 난 슬플 때 춤을 춰..★ 근데 이제 꽃에 물 주기를 곁들인 화원 댄스🌼 #태풍상사 EP.1",tvN DRAMA,2025-10-10T23:30:02Z,PT1M53S,Clip,32792,1592,297
KCYz4R7WD_k,https://www.youtube.com/watch?v=KCYz4R7WD_k,태풍상사 이준호 데뷔 이전부터 현재까지  레전드변천사 Lee Junho  #shorts #이준호 #태풍상사 #강태풍  #킹더랜드 #2PM #Lee Junho #드라마 #레전드변천사,별은니가슴에,2025-10-07T11:42:58Z,PT58S,Shorts,64385,1861,51
UG2OcBVRIDo,https://www.youtube.com/watch?v=UG2OcBVRIDo,[메이킹] 이준호의 하루는 48시간인가요?💦 춤추고 구르고(?) 뛰고 다 하는 첫 출근 비하인드💼 #태풍상사 EP.2,tvN DRAMA,2025-10-13T00:00:35Z,PT9M48S,Clip,24267,2288,296
iAE66Yxzk-Q,https://www.youtube.com/watch?v=iAE66Yxzk-Q,[태풍상사] 압스트리스보이즈 강태풍 본체갈아넣은 춤선🕺🏻 #태풍상사 #TyphoonFamily #태풍출근 #강태풍 #이준호 #LEEJUNHO #준호 #JUNHO #ジュノ#李俊昊,쿠리밎🍦,2025-10-11T19:17:46Z,PT9S,Shorts,50411,610,12
cMloLJ_WPMM,https://www.youtube.com/watch?v=cMloLJ_WPMM,[#태풍상사] 🫷온몸으로 트럭 막기🫸 거래처의 수상함 알아채고 바닥에 드러누운 이준호!?🚛,디글 :Diggle,2025-10-12T15:31:00Z,PT8M24S,Clip,18794,247,27
yLnqO5XnOdU,https://www.youtube.com/watch?v=yLnqO5XnOdU,[2화 예고] 부도 위기의 태풍상사에 입성한 이준호🌪️ 진짜 직원이 될 수 있을까? #태풍상사 EP.2,tvN DRAMA,2025-10-11T13:58:18Z,PT40S,Shorts,18359,1012,156
