video_id,video_title,shortType,comment_id,parent_id,isReply,author,text,publishedAt,likeCount
sQF_yQHTlLI,[태풍상사 3화 예고] 대방섬유 반품하고 회사 살아난다,Clip,Ugz1PkzmjAL0SnMJgl54AaABAg,,0,@阿部さゆり-e4s,ジュノ新作ドラマ見せてくれてありがとう😌🌸💓いっぱいジュノたん頑張ったね。勇敢で正義感に溢れてすごいね。集中力も忍耐力も精神力も完璧だね新作ドラマ素晴らしいね。スーパーヒーロージュノ王子👑みんな大好き💕🎆💎だよ。かっこいい✨ジュノたんありがとう😌🌸💓😊,2025-10-13T22:32:44Z,0
HvaBw5ujMNk,[태풍상사] 아빠가 남긴 눈물의 통장 😭 #태풍상사 #TyphoonFamily #태풍출근 #강태풍 #이준호 #LEEJUNHO #준호 #JUNHO #ジュノ#李俊昊,Shorts,UgyF23pxM4F7klXVyId4AaABAg,,0,@잊누너-n2u,가슴찡한 명장명 중 하나 강태풍 오열연기💛💛💛,2025-10-13T22:50:26Z,0
HvaBw5ujMNk,[태풍상사] 아빠가 남긴 눈물의 통장 😭 #태풍상사 #TyphoonFamily #태풍출근 #강태풍 #이준호 #LEEJUNHO #준호 #JUNHO #ジュノ#李俊昊,Shorts,UgyuiSVOHXM2Dm3yZX14AaABAg,,0,@阿部さゆり-e4s,ジュノたんつらいね。苦しいね。お父さんのこと思うだけで悲しみと優しさいっぱいの涙💧で溢れていたんだね😢😿ジュノたんの涙💧を見て泣けてきたよ。ドラマでも大切🍀なことが込められているんだね😢💨💨つらかったね。悲しかったねジュノたんいっぱい泣いて優しい涙💧で明日の希望がもてますよにジュノたんの悲しみが少しでもやすらかになれますようにずっとジュノたん大切🍀に思っているよ。😿😢無理に元気にならなくていいんだよ。ジュノたんの優しさと悲しみと苦しみは痛いほどわかるよ😿😢涙💧溢れてとまらなくなったよ。ジュノたん見ているだけで悲しいよ😿😢明日の希望いっしょになって笑って笑って手をつないで歩いていこうね。😢😿🎵🧸🌆,2025-10-13T20:16:46Z,0
kWKyqplIjfs,[#태풍상사] 세상을 떠난 아빠가 적금 통장에 남겼던 감동의 메시지... 결국 오열하는 이준호😭,Clip,UgyNEp2YlJSNj2L5Zn94AaABAg,,0,@Tren-zr1ty,"무덤덤하게 미선이가 전하는 아버지의 마지막 말을 듣고 저때까지도 아버지에 대한 그리움 슬픔을 자각하지 못하다가
통장에 남긴 메세지를 보고 갑자기 터져나오는 울음을 보고 같이 울어버림ㅠ",2025-10-14T00:04:45Z,0
kWKyqplIjfs,[#태풍상사] 세상을 떠난 아빠가 적금 통장에 남겼던 감동의 메시지... 결국 오열하는 이준호😭,Clip,UgzK6-ezJtVBeeQXdLB4AaABAg,,0,@user-wt9tb6mn8q,근데 오열하는 와중에 남모가 청진기 챙거준거 생각나서  또 웃김 ㅋㅋ,2025-10-13T23:41:06Z,0
kWKyqplIjfs,[#태풍상사] 세상을 떠난 아빠가 적금 통장에 남겼던 감동의 메시지... 결국 오열하는 이준호😭,Clip,UgwKuCCsYC39uG3IZ2t4AaABAg,,0,@user-wt9tb6mn8q,아침부터 이 장면을  봐서 출근길에 오열하는 사람 됨...ㅠㅠ 이준호 연기 진짜... ㅠㅠㅠ,2025-10-13T23:40:18Z,1
kWKyqplIjfs,[#태풍상사] 세상을 떠난 아빠가 적금 통장에 남겼던 감동의 메시지... 결국 오열하는 이준호😭,Clip,UgxKfsk9s_LybeSSbft4AaABAg,,0,@Ksj-j2x,"사람들은 꽃이 떨어지면 지는거라고 
꽃은 최선을다해 이기고 있는거야 열매를 맺기위해
나도 나의 열매를 맺기위해 최선을 다하고 있었고 응원해!화잊팅 ❤",2025-10-13T23:39:04Z,1
kWKyqplIjfs,[#태풍상사] 세상을 떠난 아빠가 적금 통장에 남겼던 감동의 메시지... 결국 오열하는 이준호😭,Clip,UgzSeXI3EywyzUu7H7N4AaABAg,,0,@YeonwooPark-f5z,이준호이기에 가능한 강태풍 😊 우는 연기 어쩜 저렇게 슬프게 잘 해 ㅠㅠ,2025-10-13T23:07:49Z,2
kWKyqplIjfs,[#태풍상사] 세상을 떠난 아빠가 적금 통장에 남겼던 감동의 메시지... 결국 오열하는 이준호😭,Clip,UgwmNmW-Y4H_8WxPped4AaABAg,,0,@아잊스크림좋아,이준호가 연기하는 강태풍이 너무 사랑스럽다,2025-10-13T22:57:31Z,2
J8R0fC9krbg,방송은 아무나 하냐~ 남모에게 끌려가는 태풍이😂  #이준호 #LEEJUNHO #태풍상사 #Typhoonfamily,Shorts,Ugyt3OkuO4RcoLfVMl14AaABAg,,0,@ceciliavillegas3473,ME ENCANTA VER Y DISFRUTAR DE MI QUERIDO PRÍNCIPE ✨️JUNHO ✨️ ES LO MAXIMO SIEMPRE TAN PERFECTO CON UN TREMENDO CARISMA CORAZON Y MUCHA PASIÓN 💫👏👏👏👏👏♥️🎉🌹♥️🎉🌹♥️🎉🌹♥️,2025-10-14T00:00:29Z,0
