video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
5P3LlRHu0ig,https://www.youtube.com/watch?v=5P3LlRHu0ig,New drama alert 🚨 | Typhoon family | kdrama #kdrama #typhoonfamily #shorts #leejunho,Dramaditzz,2025-10-14 01:06:36,PT18S,Shorts,18546,0,14
J8R0fC9krbg,https://www.youtube.com/watch?v=J8R0fC9krbg,방송은 아무나 하냐~ 남모에게 끌려가는 태풍이😂  #이준호 #LEEJUNHO #태풍상사 #Typhoonfamily,Giant_Tree ,2025-10-13 23:22:00,PT37S,Shorts,6210,670,18
hYE7PPRuhs0,https://www.youtube.com/watch?v=hYE7PPRuhs0,오렌지족 아들 입떡벌 충격반전🔥넷플릭스 '태풍상사'/90년대 감성 지대루..,씨야무비(Seeya Movie),2025-10-14 07:58:08,PT48S,Shorts,3842,42,0
HawFka2ful4,https://www.youtube.com/watch?v=HawFka2ful4,10월 2주차 드라마 시청률 순위 (10.6 ~ 10.12) #드라마시청률 #드라마추천,설화의 랭킹 다이제스트,2025-10-13 23:00:23,PT6S,Shorts,2298,0,0
sQF_yQHTlLI,https://www.youtube.com/watch?v=sQF_yQHTlLI,[태풍상사 3화 예고] 대방섬유 반품하고 회사 살아난다,드라마퀸 (Drama Queen),2025-10-14 06:45:54,PT4M53S,Clip,2261,105,1
_AUsmjwNkhY,https://www.youtube.com/watch?v=_AUsmjwNkhY,지금봐도 살 떨리는 태풍상사 속 IMF 시대 상황ㅠㅠ｜#태풍상사 #typhoonfamily #OST #영원 #이준호 #김민하｜#Shorts,Stone Music Entertainment,2025-10-14 09:35:12,PT1M,Shorts,1842,6,1
HvaBw5ujMNk,https://www.youtube.com/watch?v=HvaBw5ujMNk,[태풍상사] 아빠가 남긴 눈물의 통장 😭 #태풍상사 #TyphoonFamily #태풍출근 #강태풍 #이준호 #LEEJUNHO #준호 #JUNHO #ジュノ#李俊昊,쿠리밎🍦,2025-10-14 01:27:27,PT1M,Shorts,1496,97,2
HF0iQodr6hk,https://www.youtube.com/watch?v=HF0iQodr6hk,준호 예쁜 춤선과 춤출 때 나오는 개구진 표정 너무 좋아🤗  #이준호 #LEEJUNHO #태풍상사 #typhoonfamily,Giant_Tree ,2025-10-14 08:35:24,PT30S,Shorts,1466,271,14
J9GPM-X3auo,https://www.youtube.com/watch?v=J9GPM-X3auo,씬을 삼켜버리는 충청 사투리 괴물! 이상진의 10년 숙성된 미친 존재감,필모첵 filmocheck,2025-10-14 07:00:19,PT38S,Shorts,1393,14,0
Fo17nzBlJQM,https://www.youtube.com/watch?v=Fo17nzBlJQM,first eye contact 🩷😫#kdrama #shortsfeed #typhoonfamily #shorts #love #kdramaedit,Kdrama Daze,2025-10-14 00:38:45,PT17S,Shorts,1225,0,0
izv6bomJeog,https://www.youtube.com/watch?v=izv6bomJeog,#태풍상사 | 슈트핏이 넘사벽인 태풍상사 이준호 #이준호 #김민하 #김민석,드라마중독자,2025-10-13 22:47:34,PT32S,Shorts,1200,17,1
4L1t2Rz3Cck,https://www.youtube.com/watch?v=4L1t2Rz3Cck,Sugar on my💛,잊나라(ITNARA),2025-10-14 00:19:09,PT13S,Shorts,1161,33,0
Hb00lbE6F-E,https://www.youtube.com/watch?v=Hb00lbE6F-E,[#태풍상사] 1~2화 요약 | 시간은 우리를 기다려주지 않는다... 아버지를 잃고 사무치게 그리워하는 아들😥,디글 :Diggle,2025-10-14 07:31:00,PT9M56S,Clip,1129,40,3
bdAxrHMQato,https://www.youtube.com/watch?v=bdAxrHMQato,"#태풍상사 | 비밀금고 열쇠의 비밀번호는 ""백년대계"" #이준호 #김민하 #김민석",드라마중독자,2025-10-14 07:00:48,PT34S,Shorts,975,4,0
