video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
okLJOK4bTEc,https://www.youtube.com/watch?v=okLJOK4bTEc,[#태풍상사] 태풍상사는 광고도 사장이 찍습니다🫡 직접 찍은 신발 광고로 수출 성공한 태풍상사🎉 | #번개클립,tvN D ENT,2025-10-26T15:30:22Z,PT9M6S,Clip,32975,460,39
ulDEwEQjjTA,https://www.youtube.com/watch?v=ulDEwEQjjTA,[태풍상사 7화 예고] 98년 방콕? 태풍상사의 기적이 시작된다! ㄷㄷ,드라마퀸 (Drama Queen),2025-10-27T21:30:24Z,PT5M12S,Clip,6024,150,17
Z8n1E2LjOhM,https://www.youtube.com/watch?v=Z8n1E2LjOhM,드디어 반응이 온 거래처! 안 살 수 없는 태풍상사 홍보 영상 #태풍상사 EP.6 | tvN 251026 방송,tvN DRAMA,2025-10-26T12:56:31Z,PT1M49S,Clip,27759,844,159
rvqUemxJgnw,https://www.youtube.com/watch?v=rvqUemxJgnw,[#태풍상사] 이준호한테 계속 깝죽거리면 이렇게 됨: 유리창 박살 내고 단번에 서열 정리하는 이준호👊 | #번개클립,tvN D ENT,2025-10-26T15:30:29Z,PT8M36S,Clip,11050,122,17
Z2qHQzHC33w,https://www.youtube.com/watch?v=Z2qHQzHC33w,[#태풍상사] 자꾸 발생하는 위기에 태풍상사 떠나는 직원들ㅠ | #산지직송,디글 클래식 :Diggle Classic,2025-10-22T22:30:12Z,PT9M58S,Clip,2600,22,3
0w7gPEDyDkw,https://www.youtube.com/watch?v=0w7gPEDyDkw,"[7화 예고] 헬멧 수출 위해 태국으로 출장 떠난 이준호X김민하, 가까워지는 두 사람..♥ #태풍상사 EP.7",tvN DRAMA,2025-10-26T13:47:50Z,PT36S,Shorts,43254,1039,153
RSE7_j2WA6g,https://www.youtube.com/watch?v=RSE7_j2WA6g,[태풍상사 7화 예고] 갑자기 나타난 새로운 은인?!,드라마퀸 (Drama Queen),2025-10-27T03:01:18Z,PT2M54S,Clip,16752,285,12
231dj8gjWfc,https://www.youtube.com/watch?v=231dj8gjWfc,[#태풍상사] 3-4화 요약 | 어딜 감히 사기를 쳐?😠 태풍상사에 사기 친 대표 한 방 먹인 강태풍👊 | #번개클립,tvN D ENT,2025-10-21T22:30:01Z,PT9M52S,Clip,23302,219,27
c-KvxzFFfQc,https://www.youtube.com/watch?v=c-KvxzFFfQc,"태풍상사- '나는 사장, 너는 경리'. 사랑해도 될까? #태풍상사 #이준호 #김민하",모노송-모든것을 노래로,2025-10-26T01:30:36Z,PT2M6S,Clip,1165,27,0
BiXdL_yDihY,https://www.youtube.com/watch?v=BiXdL_yDihY,[라이브]  태풍상사 강태풍 사장님 오미선 주임님과 함께하는 특급인터뷰,채널십오야,2025-10-27T14:12:09Z,PT1H44M52S,Clip,127210,4637,294
kCy7IN1m1WA,https://www.youtube.com/watch?v=kCy7IN1m1WA,"""왜, 쫄려?"" 이준호, 사장 자존심 건 1억 계약🔥 #태풍상사 EP.5 | tvN 251025 방송",tvN DRAMA,2025-10-25T13:19:58Z,PT3M10S,Clip,41089,926,193
1Ff5FUxQwxI,https://www.youtube.com/watch?v=1Ff5FUxQwxI,tvN '태풍상사'와 함께하면 즐거움!,tvN DRAMA,2025-10-24T01:00:01Z,PT33S,Shorts,4822,636,88
0p_Ank9hO9A,https://www.youtube.com/watch?v=0p_Ank9hO9A,[#태풍상사] 야유회 미방분 공개🤣 태풍상사즈 최고의 케이크 1등(?) 소감 모음🏆,tvN DRAMA,2025-10-22T08:00:01Z,PT1M36S,Clip,6830,846,109
coBcUu0_10s,https://www.youtube.com/watch?v=coBcUu0_10s,[메이킹] 슈박 소개 영상부터 상사맨 핫데뷔까지🔥 고군분투하는 태풍미선이 왜이리 대견해.. #태풍상사 EP.6,tvN DRAMA,2025-10-27T00:01:02Z,PT10M41S,Clip,25336,1830,212
WjRLFFo-8lA,https://www.youtube.com/watch?v=WjRLFFo-8lA,[태풍상사 (Typhoon Family) OST Part 3] 한 (HAN) (Stray Kids) - 상승기류 (Updraft) MV,Stone Music Entertainment,2025-10-26T09:00:47Z,PT3M5S,Clip,325944,71364,3796
DNRQ5xifxaA,https://www.youtube.com/watch?v=DNRQ5xifxaA,[7화 예고] 돌아온 고마진과 태국 출장 가는 #태풍상사,tvN DRAMA,2025-10-27T10:40:00Z,PT32S,Shorts,22797,654,20
aV6IYZ77YXI,https://www.youtube.com/watch?v=aV6IYZ77YXI,"[태풍상사 7화 예고]깡태풍 태국간 이유, 사내연애시작#tvN #태풍상사 #이준호 #김민하",DDrop,2025-10-26T19:00:02Z,PT8M28S,Clip,51167,423,15
rQ5vq-2VEIY,https://www.youtube.com/watch?v=rQ5vq-2VEIY,이제는 믿고 보는 배우 이준호의 성장드라마 태풍상사 [드라마로보는세상] #tvn드라마,스튜디오눈뜬,2025-10-26T15:53:38Z,PT26M34S,Clip,3151,301,36
54VuRE5oRAg,https://www.youtube.com/watch?v=54VuRE5oRAg,"😳 이 CF, 리복이야? 태풍상사야?",드라마 오지랖,2025-10-27T22:00:08Z,PT37S,Shorts,921,5,0
uwPkkh77ZlE,https://www.youtube.com/watch?v=uwPkkh77ZlE,씩씩했던 준호가 무너진 순간 💦ㅣTVINGㅣ#태풍상사 #Typhoonfamily,TVING,2025-10-27T09:10:01Z,PT2M,Clip,10540,166,10
ERx98fT6z0I,https://www.youtube.com/watch?v=ERx98fT6z0I,[7화 예고] 영업 뛰는 미선 못 믿는 고마진⁉️ #태풍상사,tvN D ENT,2025-10-27T10:40:00Z,PT32S,Shorts,9031,215,12
