video_id,video_title,shortType,comment_id,parent_id,isReply,author,text,publishedAt,likeCount
QJiijYKx_F4,'폭군의셰프' 논란의 마법천자문 이채민 연기,Shorts,Ugy-Qj-4Fow02JM7u6t4AaABAg,,0,@тошкентсити-ю5р,"천재배우 이채민 👍! 👏👏 
~~어쩜 현실처럼 연기를 할까?? 완전 몰입~~~",2025-10-02T04:39:31Z,2
QJiijYKx_F4,'폭군의셰프' 논란의 마법천자문 이채민 연기,Shorts,UgzkbCmySARCES52Ixl4AaABAg,,0,@백신-s1g,감독이 저 정도면 진짜 인정 하는거지,2025-10-02T04:15:25Z,5
QJiijYKx_F4,'폭군의셰프' 논란의 마법천자문 이채민 연기,Shorts,Ugx_zLoOV2Lc0vzIm9N4AaABAg,,0,@enigma7782,"마법 천자문?아니던데? 
 월광보합인데?????",2025-10-02T03:56:05Z,2
QJiijYKx_F4,'폭군의셰프' 논란의 마법천자문 이채민 연기,Shorts,Ugwn_Y85q5PJNgtACpd4AaABAg,,0,@myrnawinters4573,I forgot about the previous episodes After watching the last two episodes  excellent acting. Congratulations from USA,2025-10-02T03:50:51Z,3
QJiijYKx_F4,'폭군의셰프' 논란의 마법천자문 이채민 연기,Shorts,UgwzTgQg51vUHBaluLB4AaABAg,,0,@Woojjujju852,연기를 너무 잘했음...,2025-10-02T03:48:32Z,8
QJiijYKx_F4,'폭군의셰프' 논란의 마법천자문 이채민 연기,Shorts,UgwSyEPUgwFAqOxm3H94AaABAg,,0,@Enhakkore1,좋았음,2025-10-02T03:23:27Z,10
rRzFkxKVp8s,이채민 '폭군의 셰프' 어떻게 찍었길래,Shorts,UgwmzveqflGj-o90ZNp4AaABAg,,0,@김란-y6k2t,정말고생많았어요❤❤❤,2025-10-02T03:20:38Z,3
fjygSeq9d-Q,#LimYoonA #YOONA #윤아 #임윤아 # SNSD #소녀시대 #BonAppetitYourMajesty #폭군의셰프#SulwhasooThailand,Shorts,Ugw2pyD3h47GRD8nxSB4AaABAg,,0,@Lgtmchhadp,울 융공쥬님❤ 조심해서 오세요❤,2025-10-02T02:25:51Z,4
f2UqRyTUenc,#이채민#윤아 현실☺️ yoona leechaemin 폭군의셰프 kdrama bonappetityourmajesty เมนูรักพิชิตใจราชา อิมยุนอา 林允儿 ユナ,Shorts,UgztdRpR0nfEAqy8IRh4AaABAg,,0,@AnamarcelaMarquézborquez,❤❤❤❤❤❤,2025-10-02T04:45:01Z,0
f2UqRyTUenc,#이채민#윤아 현실☺️ yoona leechaemin 폭군의셰프 kdrama bonappetityourmajesty เมนูรักพิชิตใจราชา อิมยุนอา 林允儿 ユナ,Shorts,Ugxc-5p_ag4z-haf86B4AaABAg,,0,@love4forever122,"진짜 잘어울린다 
여자여자한 꽃사슴이랑
남자남자한 늑대❤❤",2025-10-02T04:32:11Z,1
puqGq0O8Lqc,"[폭군의 셰프] 나의 반려가 되어다오🍴: 카더가든 (Car, the garden) - 숙녀에게(Woman)",Clip,UgysoqfqwSc8PptXrxR4AaABAg,,0,@드댕,*자막 키시면 영상 속 대사들을 보실 수 있으십니다,2025-10-02T01:03:36Z,0
puqGq0O8Lqc,"[폭군의 셰프] 나의 반려가 되어다오🍴: 카더가든 (Car, the garden) - 숙녀에게(Woman)",Clip,UgzVeNFR-EhtvToZuJt4AaABAg,,0,@민뀨-k9e,영상 편집 잘하진다👍,2025-10-02T03:43:58Z,0
3YKcHSL23Bo,"폭군의 셰프, 이 드라마 사실은 '권력 암투극'이었습니다! (소름 돋는 해석)",Clip,UgzUF9bdc4RYgE6RiPN4AaABAg,,0,@용용정보TV,"다음 심층 분석 영상을 누구보다 빠르게 만나보고 싶다면, '알림 설정'은 필수입니다! 아직 이 영상을 보지 못한 친구에게 지금 바로 '공유'하여 함께 뜨거운 토론에 참여해보세요!",2025-10-02T00:08:42Z,0
