video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
e0GhgBkRKYk,https://www.youtube.com/watch?v=e0GhgBkRKYk,🔥공개직후 ’23개국 1위’🔥《시청률 310%↑떡상한》 OTT내 한국 드라마 중 역대1위🔥최고 시청률 17.4%🔥수작이라는 평가받은 그 작품’폭군의셰프’,영화볼래?,2025-10-02T10:01:11Z,PT2H56M30S,Clip,56863,417,24
WworxG7qRVw,https://www.youtube.com/watch?v=WworxG7qRVw,이채민 대신 죽음을 택한 순간.. 다시 미래로 향한 임윤아 ㅠㅠ #폭군의셰프 EP.12 | tvN 250928 방송,tvN DRAMA,2025-09-28T13:19:43Z,PT4M57S,Clip,835292,9111,1253
ZGCCRtkoFH4,https://www.youtube.com/watch?v=ZGCCRtkoFH4,[스페셜] '폭군의 셰프' 입궁식 ▶ 퇴궁식?! 폭셰 사전에 💗퇴궁은 없어💗 | 다시 뭉친 임윤아·이채민·강한나·오의식·이주안👩‍🍳🤴 #폭군의셰프 EP.12,tvN DRAMA,2025-10-04T13:40:01Z,PT1H1M56S,Clip,555967,15865,2064
s6WrvGRjllg,https://www.youtube.com/watch?v=s6WrvGRjllg,"[키스엔딩] “네가 돌아가지 않았으면 좋겠다” 이채민, 임윤아를 향한 고백 #폭군의셰프 EP.10 | tvN 250921 방송",tvN DRAMA,2025-09-21T13:35:35Z,PT3M25S,Clip,315687,5268,567
XLqUExRS6mI,https://www.youtube.com/watch?v=XLqUExRS6mI,"다시 앞에 나타난 망운록, 비밀을 깨달은 임윤아 #폭군의셰프 EP.12 | tvN 250928 방송",tvN DRAMA,2025-09-28T13:10:22Z,PT1M35S,Clip,131364,1447,135
-J6piaM_KNc,https://www.youtube.com/watch?v=-J6piaM_KNc,[#폭군의셰프] 고문당한 윤아 보고 제대로 극대노한 폭군ㄷㄷ💥 | #번개클립,tvN D ENT,2025-09-21T15:30:00Z,PT9M50S,Clip,577273,3236,256
QT7ZgJUTNdw,https://www.youtube.com/watch?v=QT7ZgJUTNdw,[#폭군의셰프] 🩷레전드 팔불출 폭군🩷 남장한 윤아가 남자와 단둘이 있자 질투 폭발ㅋㅋㅋ | #번개클립,tvN D ENT,2025-09-13T15:30:16Z,PT9M47S,Clip,139815,1308,29
qHbf6OtCJk8,https://www.youtube.com/watch?v=qHbf6OtCJk8,[폭군의셰프] 퇴궁은 없어 요약을 찵여옴,베지밀D,2025-10-07T15:09:41Z,PT3M28S,Clip,4857,0,10
7dNh9EUBE1c,https://www.youtube.com/watch?v=7dNh9EUBE1c,폭군의쉐프  폭군의 관상인가 !!!   출처:폭군의셰프 ,네버다이 토크,2025-10-12T08:18:00Z,PT4M17S,Clip,47,1,0
7SKVS7e1Hf0,https://www.youtube.com/watch?v=7SKVS7e1Hf0,"이채민, 자신을 일부러 밀어내는 임윤아에 진심 어린 입맞춤 #폭군의셰프 EP.10 | tvN 250921 방송",tvN DRAMA,2025-09-21T12:46:00Z,PT3M51S,Clip,455588,6375,550
JjhHXj8uxVk,https://www.youtube.com/watch?v=JjhHXj8uxVk,일본에서 인기있는 한국드라마 [폭군의 셰프],ぱく家(박가네),2025-09-23T09:00:28Z,PT19M3S,Clip,342114,10005,640
figDLqS4Y44,https://www.youtube.com/watch?v=figDLqS4Y44,[#폭군의셰프] 미래로 돌아온 윤아 앞에 나타난 그리운 얼굴?! 다시 재회한 윤아와 이채민의 눈물 젖은 키스💖 | #번개클립,tvN D ENT,2025-09-28T15:31:01Z,PT9M54S,Clip,725819,8470,791
NHI5DSQ5PKY,https://www.youtube.com/watch?v=NHI5DSQ5PKY,폭군의셰프 실수와 애드리브로 탄생한 장면,일반인의 시선,2025-09-02T11:40:49Z,PT31S,Shorts,1450778,11437,91
Q4LiGx-Kn5w,https://www.youtube.com/watch?v=Q4LiGx-Kn5w,"[최종화 예고] ""가거라, 어서!"" 반정에서 임윤아를 지키기 위한 이채민의 마지막 선택! #폭군의셰프 EP.12",tvN DRAMA,2025-09-27T13:58:39Z,PT39S,Shorts,178331,1803,422
r7gye0n9uBY,https://www.youtube.com/watch?v=r7gye0n9uBY,지영 레스토랑에 알바 면접 보러 온 길금!🔥폭군의 셰프🔥,차국장,2025-09-26T09:01:37Z,PT8M40S,Clip,186324,871,38
HiCfsENWJJ0,https://www.youtube.com/watch?v=HiCfsENWJJ0,"폭군의 셰프 이채민, '좋아요' 안 누른 단 한 장ㅋㅋ",라떼탈출,2025-09-01T10:59:28Z,PT35S,Shorts,164835,1633,49
