video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
IQy2mVENI7k,https://www.youtube.com/watch?v=IQy2mVENI7k,"10월 2일 |  체인소 맨: 레제》, 《폭군의 셰프》,《북극성》 후기",김단군,2025-10-02T00:13:51Z,PT3H13M14S,Clip,0,246,3
dfM7mdOSe0Y,https://www.youtube.com/watch?v=dfM7mdOSe0Y,이채민: 조선의 왕 👑에서 래퍼 & 댄서로 🔥,Korea Media Inc,2025-10-01T22:54:46Z,PT49S,Shorts,1137,117,3
VnNS-dygz1M,https://www.youtube.com/watch?v=VnNS-dygz1M,"폭군의셰프(Bon Appetit, Your Majesty)OST Happy Ending? 눈물 젖은 키스! 김영우 - By Chance, By Fate  #임윤아 #이채민 #ost",Dissem TV - Kdrama MV OST KPOP,2025-10-01T17:48:07Z,PT1M,Shorts,3479,175,0
ilMgEgwdKBo,https://www.youtube.com/watch?v=ilMgEgwdKBo,폭군의셰프 이채민도 현타 제대로 온 그 장면,드라마 온앤온,2025-10-01T22:00:51Z,PT30S,Shorts,15814,252,0
QJiijYKx_F4,https://www.youtube.com/watch?v=QJiijYKx_F4,'폭군의셰프' 논란의 마법천자문 이채민 연기,드라마톡톡,2025-10-02T03:00:34Z,PT46S,Shorts,6566,187,5
Jw2K1NmiBrM,https://www.youtube.com/watch?v=Jw2K1NmiBrM,얄미웠지만 생각나는 아비수? 🤣  #드라마#폭군의셰프,명장면Pick,2025-10-02T01:30:28Z,PT51S,Shorts,707,4,0
fjygSeq9d-Q,https://www.youtube.com/watch?v=fjygSeq9d-Q,#LimYoonA #YOONA #윤아 #임윤아 # SNSD #소녀시대 #BonAppetitYourMajesty #폭군의셰프#SulwhasooThailand,Kpoplove,2025-10-02T01:36:53Z,PT25S,Shorts,1388,58,1
jlLSa40__hE,https://www.youtube.com/watch?v=jlLSa40__hE,폭군의 셰프💥 수비드 요리의 운명?! 최고의 접빈상이 최악의 위기가 된 이유... (2화 하이라이트 #Shorts),짤방소,2025-10-01T22:30:13Z,PT58S,Shorts,654,3,0
rRzFkxKVp8s,https://www.youtube.com/watch?v=rRzFkxKVp8s,이채민 '폭군의 셰프' 어떻게 찍었길래,드근드근,2025-10-02T03:01:05Z,PT28S,Shorts,1306,31,1
ffoJi0mwLZs,https://www.youtube.com/watch?v=ffoJi0mwLZs,Laughing on set ❤️ #임윤아 #LimYoona #이채민 #LeeChaeMin #폭군의셰프 #BonAppetitYourMajesty  lee heon jiyeong,CrucioEdits,2025-10-02T00:00:52Z,PT23S,Shorts,730,33,0
