video_id,video_title,shortType,comment_id,parent_id,isReply,author,text,publishedAt,likeCount
pUlIzmZxOIw,프로보노에서도 계속되는 사랑꾼 정경호 🌹 #프로보노 #정경호 #소녀시대 #소원을말해봐 #수영,Shorts,UgxwmsFtIBREHG7F0mx4AaABAg,,0,@블링융-r7n,ㅋㅋㅋㅋㅋㅋ작가님ㅋㅋㅋㅋㅋㅋ,2025-12-30T01:40:29Z,1
pUlIzmZxOIw,프로보노에서도 계속되는 사랑꾼 정경호 🌹 #프로보노 #정경호 #소녀시대 #소원을말해봐 #수영,Shorts,UgyFeTOA60lweqXzH2h4AaABAg,,0,@벨제붑-o2r,개  멋지다 😊,2025-12-30T00:11:17Z,0
pUlIzmZxOIw,프로보노에서도 계속되는 사랑꾼 정경호 🌹 #프로보노 #정경호 #소녀시대 #소원을말해봐 #수영,Shorts,Ugwm8WwQuOvkZ2jS9y14AaABAg,,0,@HyesukLee-r1y,ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ,2025-12-29T11:57:04Z,1
pUlIzmZxOIw,프로보노에서도 계속되는 사랑꾼 정경호 🌹 #프로보노 #정경호 #소녀시대 #소원을말해봐 #수영,Shorts,Ugw346hnIzyUvcUB6w54AaABAg,,0,@foreverhappy0715,소내시대 수영이 내 여자라고 왜 말을 못해~~ㅋㅋ,2025-12-29T09:28:33Z,5
pUlIzmZxOIw,프로보노에서도 계속되는 사랑꾼 정경호 🌹 #프로보노 #정경호 #소녀시대 #소원을말해봐 #수영,Shorts,UgwYl6M_ckvBWFefO8J4AaABAg,,0,@yunhee0815,설마했는데...소원나올때 빵터짐 ㅋㅋㅋ 이드라마가 작가님이 은근 잼나심,2025-12-29T07:52:21Z,10
pUlIzmZxOIw,프로보노에서도 계속되는 사랑꾼 정경호 🌹 #프로보노 #정경호 #소녀시대 #소원을말해봐 #수영,Shorts,Ugyb31sEYG7byYlJm6h4AaABAg,,0,@보첼리-j7o,역시 소녀시다..ㅋㅋ,2025-12-29T06:34:55Z,3
pUlIzmZxOIw,프로보노에서도 계속되는 사랑꾼 정경호 🌹 #프로보노 #정경호 #소녀시대 #소원을말해봐 #수영,Shorts,UgxRci9EEhqyfumAvpJ4AaABAg,,0,@espark4683,ㅋㅋㅋㅋㅋ사랑꾼이였어ㅋㅋㅋㅋ,2025-12-29T05:22:19Z,4
pUlIzmZxOIw,프로보노에서도 계속되는 사랑꾼 정경호 🌹 #프로보노 #정경호 #소녀시대 #소원을말해봐 #수영,Shorts,Ugz3jShxqtbc4TQWZnN4AaABAg,,0,@9-2-4-9,ing~ 중이잖아? ㅋㅋ,2025-12-29T04:07:18Z,1
pUlIzmZxOIw,프로보노에서도 계속되는 사랑꾼 정경호 🌹 #프로보노 #정경호 #소녀시대 #소원을말해봐 #수영,Shorts,UgxPjei_6yEeTGu9WJh4AaABAg,,0,@김은정-k2n2s,"멋진 🚹.강변.(아니 정경호님)
수영님은 좋겠네요.❤❤❤❤❤❤❤",2025-12-29T03:37:07Z,1
pUlIzmZxOIw,프로보노에서도 계속되는 사랑꾼 정경호 🌹 #프로보노 #정경호 #소녀시대 #소원을말해봐 #수영,Shorts,UgxJBgmw1kO5_Ze3IFt4AaABAg,,0,@burdsilsu3838,"다음  에피소드에  혹  수영이  여경찰관으로  깜짝출연??!!!
차타고 가다가 신호위반으로  수영에게  잡히는?!!?!?!",2025-12-29T02:51:16Z,4
