video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
QlUijL5t2h8,https://www.youtube.com/watch?v=QlUijL5t2h8,[#프로보노] 본인이 쓴 악플 직.접 읽어드립니다^^ 뻔뻔한 악플러 말문 막히게 만드는 정경호의 참교육⚡ | #번개클립,tvN D ENT,2025-12-27T15:30:28Z,PT9M32S,Clip,83806,339,13
GBpCX_eDijU,https://www.youtube.com/watch?v=GBpCX_eDijU,드러난 이면.. 소속사 대표 엄마의 비밀 #프로보노 EP.8 | tvN 251228 방송,tvN DRAMA,2025-12-28T13:27:39Z,PT3M43S,Clip,53134,289,30
AFpf5f2Hvqw,https://www.youtube.com/watch?v=AFpf5f2Hvqw,처벌 못 합니다. #프로보노,드라마디포,2025-12-28T09:19:52Z,PT34S,Shorts,82690,644,20
G5wrVjzGIRw,https://www.youtube.com/watch?v=G5wrVjzGIRw,[#프로보노] 뛰는 최대훈 위에 나는 정경호🔥 손에 땀을 쥐게 하는 치열한 법정 싸움ㄷㄷ | #번개클립,tvN D ENT,2025-12-28T15:30:09Z,PT9M58S,Clip,44042,161,10
pUlIzmZxOIw,https://www.youtube.com/watch?v=pUlIzmZxOIw,프로보노에서도 계속되는 사랑꾼 정경호 🌹 #프로보노 #정경호 #소녀시대 #소원을말해봐 #수영,뫄봐TV,2025-12-28T01:50:24Z,PT12S,Shorts,73524,367,19
ugp5UC6oygs,https://www.youtube.com/watch?v=ugp5UC6oygs,[#프로보노] 법인 카드에 아파트까지 바쳤다 ㄷㄷ💳 남자에게 미쳐 딸이 번 돈을 애먼 데 쓴 엄마😩,디글 :Diggle,2025-12-28T15:31:00Z,PT9M17S,Clip,29959,115,11
X_Yoers7rNI,https://www.youtube.com/watch?v=X_Yoers7rNI,[#프로보노] 툭 건드니까 술술 불던데? 상대 변호사에게 핵심 정보 캔 정경호ㄷㄷ | #산지직송,디글 클래식 :Diggle Classic,2025-12-28T15:30:34Z,PT7M56S,Clip,31202,135,4
L7ODfkOqEbY,https://www.youtube.com/watch?v=L7ODfkOqEbY,"정지소, 횡령을 일삼았던 엄마와의 결단 #프로보노 EP.8 | tvN 251228 방송",tvN DRAMA,2025-12-28T13:37:09Z,PT2M29S,Clip,22227,149,13
R8yxFh7dgjY,https://www.youtube.com/watch?v=R8yxFh7dgjY,[#프로보노] 역사적인 헌법 불합치의 순간😮 소송 사건에서 기적을 만들어 낸 프로보노 팀💫 | #번개클립,tvN D ENT,2025-12-28T15:30:16Z,PT9M53S,Clip,20966,91,11
DshNg0u0XfA,https://www.youtube.com/watch?v=DshNg0u0XfA,[#프로보노] 프로보노 팀 해체라고?! 바로 로펌 대표 찾아가서 거래하는 강다윗ㄷㄷ | #산지직송,디글 클래식 :Diggle Classic,2025-12-27T15:30:19Z,PT9M27S,Clip,17888,96,1
LSIj9ZxvqVw,https://www.youtube.com/watch?v=LSIj9ZxvqVw,"[8화 예고] 엄마가 대표인 소속사, '전속 계약 해지 소송'이 친족상도례?! #프로보노 EP.8",tvN DRAMA,2025-12-27T13:47:01Z,PT49S,Shorts,17876,106,14
lbOzBFJuk4c,https://www.youtube.com/watch?v=lbOzBFJuk4c,"엄마를 상대로 한 소송, 전속계약의 실체 #프로보노 EP.8 | tvN 251228 방송",tvN DRAMA,2025-12-28T12:39:09Z,PT3M25S,Clip,13158,91,9
VZClwdBPf2c,https://www.youtube.com/watch?v=VZClwdBPf2c,"해체를 건 승부, 프로보노 팀 VS 최대훈 로펌 #프로보노 EP.7 | tvN 251227 방송",tvN DRAMA,2025-12-27T13:03:55Z,PT3M56S,Clip,12712,80,2
jCbg3YdMXdw,https://www.youtube.com/watch?v=jCbg3YdMXdw,정경호가 추는 소원을 말해봐🕺ㅣTVINGㅣ#프로보노 #PROBONO,TVING,2025-12-29T10:15:03Z,PT40S,Shorts,22457,120,3
YHEcwYGphn4,https://www.youtube.com/watch?v=YHEcwYGphn4,[#프로보노] 대중이라는 거짓 가면 뒤에 숨어서 저지른 만행들😡 할 짓 없는 사이버 렉카 제대로 참교육한 변호사🔥,디글 :Diggle,2025-12-27T15:31:00Z,PT9M32S,Clip,10779,42,8
z7gdR9C3A0I,https://www.youtube.com/watch?v=z7gdR9C3A0I,[#프로보노] 불합리한 법을 바꾸기 위해서라면... 유명세 이용해서 법 개정하려는 아이돌의 다짐 | #산지직송,디글 클래식 :Diggle Classic,2025-12-28T15:31:00Z,PT9M57S,Clip,10631,67,3
RNXk8UH0FtM,https://www.youtube.com/watch?v=RNXk8UH0FtM,[9화 예고] 과거 정경호가 재판을 조작했다..? 그를 상대로 소송하게 된 프로보노 팀🤯?! #프로보노 EP.9,tvN DRAMA,2025-12-28T13:52:50Z,PT47S,Shorts,10002,78,16
1DlcVa6M-fA,https://www.youtube.com/watch?v=1DlcVa6M-fA,[#프로보노] 슈트 입은 변호사는 두려울 게 없음ㅇㅇ 정장 빼입고 등장한 프로보노 팀 | #산지직송,디글 클래식 :Diggle Classic,2025-12-27T15:31:00Z,PT8M50S,Clip,10515,55,1
XV4Vv_txu3Y,https://www.youtube.com/watch?v=XV4Vv_txu3Y,[#프로보노] 난데없이 떨어진 프로보노 팀의 해체 명령⁉️ 열받아서 바로 대표 찾아간 정경호😠 | #번개클립,tvN D ENT,2025-12-27T15:30:29Z,PT8M40S,Clip,8982,63,3
r_OjsUZpPPk,https://www.youtube.com/watch?v=r_OjsUZpPPk,[#프로보노] 팬싸에서 힘이 되어준 연예인이 나를 기억한다?!🥹 연예인과 찐팬에서 의뢰인과 변호사로 운명적인 재회💗,디글 :Diggle,2025-12-27T15:30:40Z,PT8M47S,Clip,8069,29,1
