video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
vhDIL8i3cNQ,https://www.youtube.com/watch?v=vhDIL8i3cNQ,싸패 박은빈을 건드린 ㅅ범죄자의 최후,폭스토리,2025-06-22T13:30:42Z,PT59S,Shorts,7400751,82270,1002
IKBtOOB5jeg,https://www.youtube.com/watch?v=IKBtOOB5jeg,하필이면 싸패 박은빈을 건드린 간호사,폭스토리,2025-06-20T23:00:20Z,PT1M,Shorts,7103084,75170,497
uoVHrkeG8vc,https://www.youtube.com/watch?v=uoVHrkeG8vc,너무 귀여운거 아님? 하이퍼나이프 무대인사 250317 #박은빈 #parkeunbin #パクウンビン #하이퍼나이프,홍씨네 HONG-CINE ,2025-03-17T14:18:47Z,PT8S,Shorts,6802441,44450,230
-kyXePYk_uw,https://www.youtube.com/watch?v=-kyXePYk_uw,박은빈을 우습게 본 간호사의 최후,곰돌이 쇼츠,2025-03-22T09:00:00Z,PT58S,Shorts,3692748,21534,221
7BrKAA-DXro,https://www.youtube.com/watch?v=7BrKAA-DXro,싸패 박은빈을 무시하는 100살 사이비 교주,폭스토리,2025-06-26T03:00:13Z,PT52S,Shorts,3107874,36373,369
NFeo6ZzwzGg,https://www.youtube.com/watch?v=NFeo6ZzwzGg,환자 깨우세요 #하이퍼나이프,하이퍼나이프(Hyper Knife),2025-04-02T11:46:31Z,PT1M30S,Clip,2362937,45142,161
iwwUulxDT9g,https://www.youtube.com/watch?v=iwwUulxDT9g,타락한 우영우를 덮친 ㅅ범죄자의 최후,폭스토리,2025-06-24T06:05:06Z,PT55S,Shorts,2376271,28727,374
EF6VMjXZfEM,https://www.youtube.com/watch?v=EF6VMjXZfEM,살인을 참는 어이없는 이유 ㅋㅋㅋㅋㅋㅋㅋㅋ,곰돌이 쇼츠,2025-03-27T09:00:21Z,PT43S,Shorts,1749134,15051,145
o0x_EIRnJ1I,https://www.youtube.com/watch?v=o0x_EIRnJ1I,눈까리 돌아있는 박은빈 ㅋㅋㅋ,폭스토리,2025-06-19T05:00:48Z,PT57S,Shorts,2021501,19700,174
WfywbgltkgM,https://www.youtube.com/watch?v=WfywbgltkgM,우영우 이후.. 박은빈 연기 또 미쳤다.. 수술 시 쾌감 999%에 빠져드는 찐광기의 천재약사(?)가 불치에 가까운 초고난이도 뇌 수술의 난제를 푸는 드라마 [하이퍼나이프] 3-4,고몽,2025-03-26T09:00:40Z,PT19M57S,Clip,968449,6904,358
7pvHs2bGbPo,https://www.youtube.com/watch?v=7pvHs2bGbPo,사이코패스 스승 vs 제자,폭스토리,2025-06-24T22:00:09Z,PT51S,Shorts,1597245,12511,108
