video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
_-XZEEpgnno,https://www.youtube.com/watch?v=_-XZEEpgnno,정경호가 수영과 13년째 결혼 안하는 이유,아는인물,2025-04-27T13:56:30Z,PT43S,Shorts,127005,695,31
OlIfqK9FLXU,https://www.youtube.com/watch?v=OlIfqK9FLXU,"어쩐지 정경호가 최수영에게 그렇게 충실할 수밖에 없었군요!그는 여자친구를 위해 재활원에 들어갔습니다!",내가,2025-04-08T09:42:51Z,PT1M,Shorts,70270,384,11
CzcCW3eXQMM,https://www.youtube.com/watch?v=CzcCW3eXQMM,[ENG SUB] 정경호 설인아 차학연 {짠한형} EP. 92 이 회차 대화 없음. 그냥 정경호만 있음ㅋㅋ(혼자만의 세계관이 있었어요),짠한형 신동엽,2025-05-12T09:00:07Z,PT47M58S,Clip,2077640,24461,1481
ih0kF9Oe-BI,https://www.youtube.com/watch?v=ih0kF9Oe-BI,"정경호 씨는 41세의 나이로 세상을 떠났습니다. 그의 죽음은 가슴 아프고 절망적이었고, 진실은 비극적이었습니다.",큰 슬픔,2025-05-30T11:28:36Z,PT10M48S,Clip,4242,10,4
imcHrT3_L68,https://www.youtube.com/watch?v=imcHrT3_L68,할말은 많은데 이미 너무 취한 정경호 모음,최고의1분,2025-05-12T12:43:00Z,PT59S,Shorts,251298,2500,67
1ygLlPRiZ9s,https://www.youtube.com/watch?v=1ygLlPRiZ9s,[ENG SUB] 조우진 박지환 정경호_미국에서 마동석이랑 신동엽이랑 한판 붙은 썰⁉️🫢🥶😱_[짠한형 EP.112],짠한형 신동엽,2025-09-29T09:00:06Z,PT1H6M10S,Clip,1845226,11462,661
9mqdA6L-_lg,https://www.youtube.com/watch?v=9mqdA6L-_lg,스물두살 혜리 잠깐 속은 정경호 ㅋㅋ 겠냐고요 ㅋㅋㅋㅋ #정경호 #혜리 #조우진 풀영상은 혜리 유튜브 채널에서 시청하세요🫶🥰,누나‘s Pick (누나스픽),2025-09-29T05:27:23Z,PT36S,Shorts,238284,525,0
cvOntzQHwSw,https://www.youtube.com/watch?v=cvOntzQHwSw,정경호 어떡해ㅠㅠ 최수영한테 개 혼날 거 같아ㅋㅋㅋ #짠한형신동엽,퍼니쇼츠,2025-05-17T04:50:54Z,PT52S,Shorts,316728,2693,75
xrcH5hNr-d4,https://www.youtube.com/watch?v=xrcH5hNr-d4,유연석과 첫만남 때 정경호가 당황한 이유 #정경호,예능마트,2025-06-01T13:15:08Z,PT1M,Shorts,41627,286,1
wAZb5xOQJBY,https://www.youtube.com/watch?v=wAZb5xOQJBY,새우 논쟁ㅋㅋㅋ #shorts #아이돌,더+이슈,2025-04-19T06:30:30Z,PT55S,Shorts,5593742,59385,159
