video_id,video_url,title,channelTitle,publishedAt,duration,shortType,viewCount,likeCount,commentCount
bWjNcMDHRc0,https://www.youtube.com/watch?v=bWjNcMDHRc0,"[#태풍상사] 척하면 척, 벌써부터 완벽 케미 자랑하는 태풍상사 능력 모음.zip✨ | #번개클립",tvN D ENT,2025-10-14T22:30:10Z,PT9M28S,Clip,2088,166,23
OR0Q80iiAbw,https://www.youtube.com/watch?v=OR0Q80iiAbw,"[3화 예고] 이준호, 입사하자마자 위기!? 궁지에 몰린 태풍상사의 운명은..? #태풍상사 EP.3",tvN DRAMA,2025-10-12T13:44:21Z,PT38S,Shorts,305413,1187,248
UELBkLUIJhk,https://www.youtube.com/watch?v=UELBkLUIJhk,"[1-2화 요약] 압구정 날라리→초짜 사장이 된 이준호, IMF 위기 속 태풍상사를 지켜라🔥 #태풍상사 EP.2",tvN DRAMA,2025-10-12T23:00:27Z,PT5M15S,Clip,12910,780,98
cMloLJ_WPMM,https://www.youtube.com/watch?v=cMloLJ_WPMM,[#태풍상사] 🫷온몸으로 트럭 막기🫸 거래처의 수상함 알아채고 바닥에 드러누운 이준호!?🚛,디글 :Diggle,2025-10-12T15:31:00Z,PT8M24S,Clip,32551,360,44
yLnqO5XnOdU,https://www.youtube.com/watch?v=yLnqO5XnOdU,[2화 예고] 부도 위기의 태풍상사에 입성한 이준호🌪️ 진짜 직원이 될 수 있을까? #태풍상사 EP.2,tvN DRAMA,2025-10-11T13:58:18Z,PT40S,Shorts,18879,1035,159
sQF_yQHTlLI,https://www.youtube.com/watch?v=sQF_yQHTlLI,[태풍상사 3화 예고] 대방섬유 반품하고 회사 살아난다,드라마퀸 (Drama Queen),2025-10-13T21:45:54Z,PT4M53S,Clip,19079,351,16
4BeNyF7HipQ,https://www.youtube.com/watch?v=4BeNyF7HipQ,"[1화 선공개] 폼생폼사 이준호, 난 슬플 때 춤을 춰..★ 근데 이제 꽃에 물 주기를 곁들인 화원 댄스🌼 #태풍상사 EP.1",tvN DRAMA,2025-10-10T23:30:02Z,PT1M53S,Clip,33283,1605,297
_wTsdKF-Q7Q,https://www.youtube.com/watch?v=_wTsdKF-Q7Q,김민하가 입만 열어도 웃음 터지는 이준호🤣 #태풍상사,tvN DRAMA,2025-10-15T02:02:00Z,PT41S,Shorts,7122,154,15
ZGGCGdNw4SE,https://www.youtube.com/watch?v=ZGGCGdNw4SE,"이준호, 이 남자 대체 정체가 뭐야? (ft.태풍상사)",BNP _BUY&PRAY,2025-10-12T06:02:21Z,PT39S,Shorts,1545,5,1
6i94W69XD_s,https://www.youtube.com/watch?v=6i94W69XD_s,[2화 선공개] 프로페셔널한 태풍상사즈✨ 그리고 눈알만 도르륵 굴리는 신입 이준호의 첫 출근 ㅇ_ㅇ! #태풍상사 EP.2,tvN DRAMA,2025-10-11T23:30:06Z,PT2M32S,Clip,78354,1675,229
kWKyqplIjfs,https://www.youtube.com/watch?v=kWKyqplIjfs,[#태풍상사] 세상을 떠난 아빠가 적금 통장에 남겼던 감동의 메시지... 결국 오열하는 이준호😭,디글 :Diggle,2025-10-13T22:30:09Z,PT8M59S,Clip,2976,129,16
_Z08ZxobbPY,https://www.youtube.com/watch?v=_Z08ZxobbPY,[태풍 홈비디오 #1] 나야 강태풍,이준호 LEE JUNHO,2025-10-10T09:00:06Z,PT15M25S,Clip,45893,5041,565
4ibszygZMIs,https://www.youtube.com/watch?v=4ibszygZMIs,[#태풍상사] IMF 터졌는데 설상가상으로 아버지도 돌아가심... | #산지직송,디글 클래식 :Diggle Classic,2025-10-11T15:31:00Z,PT9M46S,Clip,7238,180,14
vSdE-XaRsVQ,https://www.youtube.com/watch?v=vSdE-XaRsVQ,날아차기쯤은 간단한 짐승돌 이준호😍 #태풍상사,tvN DRAMA,2025-10-14T14:01:46Z,PT55S,Shorts,10928,575,37
_Lftms1AWQc,https://www.youtube.com/watch?v=_Lftms1AWQc,"[#태풍상사] 태풍상사도 피할 수 없었다💥 1997년, IMF 직면하고 쓰러진 대표 성동일.. | #번개클립",tvN D ENT,2025-10-11T15:31:00Z,PT9M17S,Clip,9408,199,20
UG2OcBVRIDo,https://www.youtube.com/watch?v=UG2OcBVRIDo,[메이킹] 이준호의 하루는 48시간인가요?💦 춤추고 구르고(?) 뛰고 다 하는 첫 출근 비하인드💼 #태풍상사 EP.2,tvN DRAMA,2025-10-13T00:00:35Z,PT9M48S,Clip,33092,2599,337
SszmUbpgiDo,https://www.youtube.com/watch?v=SszmUbpgiDo,[#태풍상사] 아버지의 사랑을 이제야 깨달아버렸다ㅠ | #산지직송,디글 클래식 :Diggle Classic,2025-10-12T15:31:00Z,PT9M,Clip,7806,245,26
uCjgC3-TBlE,https://www.youtube.com/watch?v=uCjgC3-TBlE,[#태풍상사] 죽은 아빠에게 빚이 있었다고? 냅다 부의함을 가져가려는 사장😧,디글 :Diggle,2025-10-12T15:30:36Z,PT9M17S,Clip,9568,120,5
ZzrrP6nzxIM,https://www.youtube.com/watch?v=ZzrrP6nzxIM,[#태풍상사] 사고 쳐놓고 당당한 아들에 폭발💥 결국 경찰서 앞에서 뺨 후려친 아빠😤,디글 :Diggle,2025-10-11T15:30:23Z,PT9M40S,Clip,11884,293,22
AEFquu0y4j4,https://www.youtube.com/watch?v=AEFquu0y4j4,태풍상사의 악연 '표씨네 상선' 여기는 무조건 감옥 간다 #태풍상사 #1화,드라마퀸 (Drama Queen),2025-10-11T21:00:10Z,PT3M39S,Clip,5389,207,12
NVwDpIClaOE,https://www.youtube.com/watch?v=NVwDpIClaOE,현재 논란중인 이준호 태풍상사 고증 수준,핫이글,2025-10-13T06:58:14Z,PT1M19S,Clip,29300,457,40
yWYFcgZOK8w,https://www.youtube.com/watch?v=yWYFcgZOK8w,"[#태풍상사] ""사랑하는 아들에게.."" 아버지가 떠나고 나서야 뒤늦게 깨달은 진심💧 | #번개클립",tvN D ENT,2025-10-14T22:30:18Z,PT9M23S,Clip,1223,79,13
YmICCW4jjq8,https://www.youtube.com/watch?v=YmICCW4jjq8,[#태풍상사] 친구들의 가짜 연락받고 나간 사이에 그만... 아빠의 임종을 지키지 못한 아들😢,디글 :Diggle,2025-10-11T15:31:00Z,PT9M47S,Clip,9322,179,16
KsvF0xNS7_M,https://www.youtube.com/watch?v=KsvF0xNS7_M,[태풍상사 3화 예고] 아버지가 태풍에게 감추었던 이유,드라마퀸 (Drama Queen),2025-10-12T21:00:19Z,PT4M29S,Clip,25680,364,19
0Vg6_BlfopY,https://www.youtube.com/watch?v=0Vg6_BlfopY,"[태풍상사 2화 예고편 분석] 1997년, 아버지를 잃은 청년의 이야기… 인생을 다시 일으키는 ‘태풍상사’🌪️",드라마Talk,2025-10-11T17:41:46Z,PT10M4S,Clip,5785,169,16
q2TQ1sNkeKw,https://www.youtube.com/watch?v=q2TQ1sNkeKw,너 왜 수능 안 봤어? 😧ㅣTVINGㅣ#태풍상사 #Typhoonfamily,TVING,2025-10-14T09:10:01Z,PT1M44S,Clip,6989,40,1
