video_id,video_title,shortType,comment_id,parent_id,isReply,author,text,publishedAt,likeCount
dfM7mdOSe0Y,이채민: 조선의 왕 👑에서 래퍼 & 댄서로 🔥,Shorts,Ugzjap-XCKp8t1AyKNN4AaABAg,,0,@HarshiniSamarajiva-wr5ss,My favorite off all time 👏,2025-10-02T03:31:48Z,0
dfM7mdOSe0Y,이채민: 조선의 왕 👑에서 래퍼 & 댄서로 🔥,Shorts,UgwxtZIJ66JFrM3YgH54AaABAg,,0,@gayani_ns,So beautiful couple ❤️😍👏👍,2025-10-01T23:07:54Z,2
QJiijYKx_F4,'폭군의셰프' 논란의 마법천자문 이채민 연기,Shorts,Ugx_zLoOV2Lc0vzIm9N4AaABAg,,0,@enigma7782,"마법 천자문?아니던데? 
 월광보합인데?????",2025-10-02T03:56:05Z,1
QJiijYKx_F4,'폭군의셰프' 논란의 마법천자문 이채민 연기,Shorts,Ugwn_Y85q5PJNgtACpd4AaABAg,,0,@myrnawinters4573,I forgot about the previous episodes After watching the last two episodes  excellent acting. Congratulations from USA,2025-10-02T03:50:51Z,1
QJiijYKx_F4,'폭군의셰프' 논란의 마법천자문 이채민 연기,Shorts,UgwzTgQg51vUHBaluLB4AaABAg,,0,@Woojjujju852,연기를 너무 잘했음...,2025-10-02T03:48:32Z,4
QJiijYKx_F4,'폭군의셰프' 논란의 마법천자문 이채민 연기,Shorts,UgwSyEPUgwFAqOxm3H94AaABAg,,0,@Enhakkore1,좋았음,2025-10-02T03:23:27Z,8
fjygSeq9d-Q,#LimYoonA #YOONA #윤아 #임윤아 # SNSD #소녀시대 #BonAppetitYourMajesty #폭군의셰프#SulwhasooThailand,Shorts,Ugw2pyD3h47GRD8nxSB4AaABAg,,0,@Lgtmchhadp,울 융공쥬님❤ 조심해서 오세요❤,2025-10-02T02:25:51Z,2
rRzFkxKVp8s,이채민 '폭군의 셰프' 어떻게 찍었길래,Shorts,UgwmzveqflGj-o90ZNp4AaABAg,,0,@김란-y6k2t,정말고생많았어요❤❤❤,2025-10-02T03:20:38Z,3
puqGq0O8Lqc,"[폭군의 셰프] 나의 반려가 되어다오🍴: 카더가든 (Car, the garden) - 숙녀에게(Woman)",Clip,UgysoqfqwSc8PptXrxR4AaABAg,,0,@드댕,*자막 키시면 영상 속 대사들을 보실 수 있으십니다,2025-10-02T01:03:36Z,0
puqGq0O8Lqc,"[폭군의 셰프] 나의 반려가 되어다오🍴: 카더가든 (Car, the garden) - 숙녀에게(Woman)",Clip,UgzVeNFR-EhtvToZuJt4AaABAg,,0,@민뀨-k9e,영상 편집 잘하진다👍,2025-10-02T03:43:58Z,0
3YKcHSL23Bo,"폭군의 셰프, 이 드라마 사실은 '권력 암투극'이었습니다! (소름 돋는 해석)",Clip,UgzUF9bdc4RYgE6RiPN4AaABAg,,0,@용용정보TV,"다음 심층 분석 영상을 누구보다 빠르게 만나보고 싶다면, '알림 설정'은 필수입니다! 아직 이 영상을 보지 못한 친구에게 지금 바로 '공유'하여 함께 뜨거운 토론에 참여해보세요!",2025-10-02T00:08:42Z,0
ttlA5rymJug,일본반응 | 폭군의 셰프(暴君のシェフ: 2025년)-최종회까지#일본반응#해외반응#중국반응#외국인반응,Clip,UgznBhiPmvtdl_8kybN4AaABAg,,0,@10분미만_해외반응TV,"안녕하세요.
10분미만 해외반응TV입니다.
귀중한 시간을 내주셔서 정말 감사드립니다.

저희 10분미만 해외반응TV는,
다른 채널에서 찾기 힘드신 주제를,
영상으로 제작하기 위해 노력하고 있습니다.

저희 10분미만 해외반응TV의, 
모든 영상은,
재생 시간을 길게 하기 위해,
억지로 내용을 날조하여 만들지 않겠습니다.

다만, 문맥 상 어색한 부분은, 
의역하는 부분이 있음을 알려드립니다.

여러분의 구독, 좋아요, 알림 설정은,
영상 제작에 큰 힘이 됩니다.

행복한 하루 보내세요.😄",2025-10-02T02:47:36Z,0
NdxOCnPF7y4,일본반응 | 폭군의 셰프(暴君のシェフ: 2025년)-최종회까지#일본반응#해외반응#중국반응#외국인반응,Clip,UgzS-sDa0SKGp4h9r4J4AaABAg,,0,@10분미만_해외반응TV,"안녕하세요.
10분미만 해외반응TV입니다.
귀중한 시간을 내주셔서 정말 감사드립니다.

저희 10분미만 해외반응TV는,
다른 채널에서 찾기 힘드신 주제를,
영상으로 제작하기 위해 노력하고 있습니다.

저희 10분미만 해외반응TV의, 
모든 영상은,
재생 시간을 길게 하기 위해,
억지로 내용을 날조하여 만들지 않겠습니다.

다만, 문맥 상 어색한 부분은, 
의역하는 부분이 있음을 알려드립니다.

여러분의 구독, 좋아요, 알림 설정은,
영상 제작에 큰 힘이 됩니다.

행복한 하루 보내세요.😄",2025-10-02T02:47:14Z,0
y862ZxifDLo,#잊으리오  #장민호  #폭군의셰프OST,Shorts,UgxfYGPdTIfCpM2Ki0h4AaABAg,,0,@주원-o5m,뭔가 영상이 장민호 님의 잊으리오~와 어울리네요..  고즈넉한 분위기가 아름답네요...민호님 잊으리오~~ 대박입니다.,2025-10-02T01:07:29Z,3
y862ZxifDLo,#잊으리오  #장민호  #폭군의셰프OST,Shorts,UgxUzbKRy7bP35Ba1rF4AaABAg,,0,@콩순이-d3d,폭군의쉐프  재밌게 봤는데 ost곡을 들으니 반갑고~ 한국적인  정서의 선율이 감동을 더 주네요~😭😭😭😭😭😭😭😭😭😭😭,2025-10-02T00:55:25Z,3
y862ZxifDLo,#잊으리오  #장민호  #폭군의셰프OST,Shorts,UgxaaTgCEIbxPLmcuGN4AaABAg,,0,@장정숙-z7x,최고 명곡 장민호 응원합니다 대박 대박 대박 대박나세요,2025-10-01T23:55:48Z,4
Cv104kLob9s,드라마 '폭군의 셰프' 최종 감상평&캐릭터 그리기,Shorts,UgyJFPZAXiJ__0PLoZl4AaABAg,,0,@studio_soma,"화제의 드라마 ‘폭군의 셰프’ 12화까지 정주행 했습니다. 
드라마에 대한 후기와 인상깊었던 캐릭터를 정리해보자면 
1화부터 통통 튀는 연지영이라는 인물과 진중한 성격의 이헌 두 주인공이 의외의 유머 포인트와 함께 엄청난 케미스트리를 보여주고,  전통과 현대의 음식 조합을 통해서 집중을 시키는 초반을 거쳐 중반부 가장 중요한 사건이였던 명나라 사신과 요리사들과의 요리 경합에서 보여주는 병맛과 유쾌함을 넘나드는 맛 표현 연출을 통해 이 드라마에 완전 빠져드는게 무색하게…

 드라마 중반 이후 이헌과 그의 어머니의 죽음에 대한 진실이 밝혀지는 스토리와 후반 연지영과 이헌의 재회가 너무 급하게 진행되는 느낌이 들어 아쉬웠습니다. 개인적으론 명나라 요리 경합 스토리 분량을 조금 줄이고 후반부 폐비윤씨 죽음의 과정과 반란, 엔딩에서 두 주인공의 재회 부분을 조금 더 디테일하게 설명했으면 조금 더 완성도 있는 작품이 되지 않았을까…하는 생각이 드는 작품이였습니다. 오랜만에 가볍고 재미있게 드라마를 시청하다가 마지막화에서 급하게 마무리한 느낌이 들어서 아쉬운 마음이 더 큰 작품이였습니다.

드라마 속 가장 인상 깊었던 캐릭터는 역시 연희군 이헌이였습니다. 극중 캐릭터를 연기한 신예배우 ‘이채민’의 연기가 한몫하기도 했고, 일찍 부모님을 잃고 그 허전함이 성인이 되어서도 채워지지 않아 예민하고 폭력적인 성향을 보여주다가 연지영이 만들어주는 음식을 통해 어머니의 따스한 사랑을 느끼고 그녀를 사랑하게 되면서 조금씩 자신의 허전한 마음을 채워가며 부드러워지는 모습이 공감이 갔던 캐릭터 였습니다.

여러분은  ‘폭군의 셰프’ 어떻게 보셨나요? 그리고 가장 인상깊었던 캐릭터는 어떤 캐릭터 였나요??",2025-10-01T16:39:00Z,0
